,books
1800,8.891744073480368e-05
1801,9.266955021303147e-05
1802,7.979722431628034e-05
1803,8.079274994088337e-05
1804,8.397040073759854e-05
1805,7.999871741048992e-05
1806,9.394338121637702e-05
1807,9.494410187471658e-05
1808,8.66008922457695e-05
1809,8.48838099045679e-05
1810,0.00010141266830032691
1811,0.00010795191337820143
1812,9.205997048411518e-05
1813,0.00010016392479883507
1814,0.00011434772022766992
1815,9.886890620691702e-05
1816,0.00010745935287559405
1817,0.00010212034976575524
1818,9.733210026752204e-05
1819,0.00010337903222534806
1820,9.334227797808126e-05
1821,0.0001052374136634171
1822,9.351747576147318e-05
1823,9.884026076178998e-05
1824,0.0001084832038031891
1825,0.00010824438504641876
1826,9.754029451869428e-05
1827,0.00011005928536178544
1828,9.69019893091172e-05
1829,9.918018622556701e-05
1830,9.863109880825505e-05
1831,0.00011565964814508334
1832,0.00010195385402766988
1833,0.00010612398909870535
1834,0.00010894759907387197
1835,0.00010802383621921763
1836,0.00010501321958145127
1837,0.00011136660759802908
1838,0.000114183705591131
1839,0.0001092885504476726
1840,0.00011340845230733976
1841,0.00010130166629096493
1842,0.00011098335380665958
1843,0.00010235367517452687
1844,0.00010215485963271931
1845,0.00010513627057662234
1846,0.00010541204392211512
1847,0.00010424336505820975
1848,0.00011016974895028397
1849,0.00012221213546581566
1850,0.00011819617066066712
1851,0.00011430588347138837
1852,0.00011003584222635254
1853,0.00011116375389974564
1854,0.00011292260751361027
1855,0.00011024030391126871
1856,0.00011102539428975433
1857,0.00011180273577338085
1858,0.00011470755271147937
1859,0.00013719280832447112
1860,0.0001120266824727878
1861,0.00011625207116594538
1862,0.00010894278238993138
1863,0.000116178001917433
1864,0.00011326466483296826
1865,0.00011166381591465324
1866,0.00010656059021130204
1867,0.00011046443250961602
1868,0.00011583836021600291
1869,0.0001183410277008079
1870,0.00011881243699463084
1871,0.00011667021317407489
1872,0.0001230564812431112
1873,0.00012423432781361043
1874,0.0001242528232978657
1875,0.00011689731036312878
1876,0.00012937096471432596
1877,0.00012474454706534743
1878,0.00012451464135665447
1879,0.00012581385090015829
1880,0.00012625889212358743
1881,0.00012970382522325963
1882,0.00012391083873808384
1883,0.00012436116230674088
1884,0.00012475023686420172
1885,0.0001227368920808658
1886,0.00013124557153787464
1887,0.00013089837739244103
1888,0.00013437116285786033
1889,0.00013317576667759567
1890,0.0001356095599476248
1891,0.0001497504417784512
1892,0.00013710244093090296
1893,0.00013749278150498867
1894,0.00013635455979965627
1895,0.000137946437462233
1896,0.00014549712068401277
1897,0.00014556784299202263
1898,0.00014206170453689992
1899,0.00014324898074846715
1900,0.00013887358363717794
1901,0.00014679190644528717
1902,0.00014152358926367015
1903,0.0001376004220219329
1904,0.00013498331827577204
1905,0.000138227449497208
1906,0.00013983638200443238
1907,0.00013875607692170888
1908,0.00013425703218672425
1909,0.0001306630001636222
1910,0.0001325070479651913
1911,0.00012932602840010077
1912,0.00012891250662505627
1913,0.00012852590589318424
1914,0.00012708264694083482
1915,0.0001267541665583849
1916,0.00012112619151594117
1917,0.0001224499719683081
1918,0.00011513753997860476
1919,0.00011740993068087846
1920,0.00011761845235014334
1921,0.00011800346692325547
1922,0.00012106549547752365
1923,0.00012597227760124952
1924,0.0001216814634972252
1925,0.00012482612510211766
1926,0.00013266893802210689
1927,0.00013596171629615128
1928,0.00013583582767751068
1929,0.00013736322580371052
1930,0.0001386406656820327
1931,0.00013075448805466294
1932,0.00013202455011196434
1933,0.00013936278992332518
1934,0.00013674730143975466
1935,0.000133772540721111
1936,0.0001312342210439965
1937,0.00013589576701633632
1938,0.0001313540997216478
1939,0.00012717596837319434
1940,0.00012905779294669628
1941,0.0001273920788662508
1942,0.00012278143549337983
1943,0.00012308919394854456
1944,0.00011453289334895089
1945,0.00011257420555921271
1946,0.00011570130300242454
1947,0.00011365531827323139
1948,0.00011128297774121165
1949,0.00010737728734966367
1950,0.0001102550231735222
1951,0.00010999723599525169
1952,0.0001081116424757056
1953,0.00010663457214832306
1954,0.00011107011960120872
1955,0.00010450740956002846
1956,0.00010630927863530815
1957,0.00010437380115035921
1958,0.0001008846884360537
1959,9.772012708708644e-05
1960,0.00010076710168505087
1961,9.928735380526632e-05
1962,9.558787860441953e-05
1963,9.926084749167785e-05
1964,9.557450539432466e-05
1965,9.645522368373349e-05
1966,9.805547597352415e-05
1967,9.559130558045581e-05
1968,9.998622408602387e-05
1969,9.419607522431761e-05
1970,9.115457942243665e-05
1971,8.378997881663963e-05
1972,8.627973875263706e-05
1973,8.031701145227998e-05
1974,7.987475692061707e-05
1975,7.784624176565558e-05
1976,7.623815326951444e-05
1977,7.934113091323525e-05
1978,7.509152055718005e-05
1979,7.435990846715868e-05
1980,7.663763244636357e-05
1981,7.418949098791927e-05
1982,7.573267066618428e-05
1983,7.297337288036942e-05
1984,7.361268217209727e-05
1985,7.568270666524768e-05
1986,7.491956057492644e-05
1987,7.519612699979916e-05
1988,7.41095791454427e-05
1989,7.40345858503133e-05
1990,7.573860784759745e-05
1991,7.531676237704232e-05
1992,7.637608359800652e-05
1993,7.860962796257809e-05
1994,7.82837814767845e-05
1995,7.622702833032236e-05
1996,8.224999328376725e-05
1997,8.293563587358221e-05
1998,8.305649680551142e-05
1999,8.171251829480752e-05
2000,8.111052738968283e-05
2001,8.32336736493744e-05
2002,8.627921488368884e-05
2003,8.334339509019628e-05
2004,8.97248974069953e-05
2005,8.408448775298893e-05
2006,8.671105024404824e-05
2007,8.619589061709121e-05
2008,8.837963832775131e-05
2009,9.071268868865445e-05
