,details
1800,1.732631972117815e-05
1801,1.1669769264699426e-05
1802,1.4445505257754121e-05
1803,1.3843434317095671e-05
1804,1.3125048099027481e-05
1805,1.5109349078556988e-05
1806,1.3982785276311915e-05
1807,1.4060414287087042e-05
1808,1.3394944289757404e-05
1809,1.4281531548476778e-05
1810,1.188481201097602e-05
1811,1.3534559911931865e-05
1812,1.724937101243995e-05
1813,1.478881313232705e-05
1814,1.9591450836742297e-05
1815,2.0216919438098557e-05
1816,1.8002452634391375e-05
1817,2.2018128220224753e-05
1818,2.1930547518422827e-05
1819,2.1815852960571647e-05
1820,2.1077636120026e-05
1821,2.2867943698656745e-05
1822,2.0314653738751076e-05
1823,2.3237716959556565e-05
1824,2.4253560695797205e-05
1825,2.6156927560805343e-05
1826,2.707939529500436e-05
1827,2.812013917719014e-05
1828,2.920859697042033e-05
1829,3.182495493092574e-05
1830,3.0969211366027594e-05
1831,3.535149517119862e-05
1832,3.346826633787714e-05
1833,3.87590225727763e-05
1834,3.394240775378421e-05
1835,3.498672231216915e-05
1836,3.515239950502291e-05
1837,3.389919220353477e-05
1838,3.876657865475863e-05
1839,3.504921551211737e-05
1840,3.374238440301269e-05
1841,3.556863885023631e-05
1842,3.587516039260663e-05
1843,3.634400127339177e-05
1844,3.521483449731022e-05
1845,3.488251968519762e-05
1846,3.676580308820121e-05
1847,3.7805108149768785e-05
1848,3.746200309251435e-05
1849,3.900068622897379e-05
1850,3.8008354749763384e-05
1851,3.877252311212942e-05
1852,3.9277369069168344e-05
1853,3.9867743907961994e-05
1854,3.856094554066658e-05
1855,4.0985210944199935e-05
1856,4.017435639980249e-05
1857,4.043375884066336e-05
1858,4.094086398254149e-05
1859,3.997622843598947e-05
1860,4.1686838812893257e-05
1861,4.359745071269572e-05
1862,4.604171772371046e-05
1863,4.323846587794833e-05
1864,4.276284744264558e-05
1865,4.328997601987794e-05
1866,4.1516344936098903e-05
1867,4.201459523756057e-05
1868,4.06743201892823e-05
1869,4.3701355025405064e-05
1870,4.129373701289296e-05
1871,4.2296553147025406e-05
1872,4.201741103315726e-05
1873,4.359110971563496e-05
1874,4.554261249722913e-05
1875,4.3688145524356514e-05
1876,4.613588680513203e-05
1877,4.486066973186098e-05
1878,4.4735919800587e-05
1879,4.544413968687877e-05
1880,4.556384010356851e-05
1881,4.381330290925689e-05
1882,4.4805736251873896e-05
1883,4.564033588394523e-05
1884,4.575533966999501e-05
1885,4.6542911150027066e-05
1886,4.686431202571839e-05
1887,4.579312007990666e-05
1888,4.628966053132899e-05
1889,4.6143588406266645e-05
1890,4.7325327614089474e-05
1891,4.8465459258295596e-05
1892,4.7715482651256025e-05
1893,4.890403215540573e-05
1894,4.788344449480064e-05
1895,4.769934821524657e-05
1896,4.8524438170716166e-05
1897,4.788935257238336e-05
1898,4.874928708886728e-05
1899,4.72345927846618e-05
1900,4.851535049965605e-05
1901,4.769237420987338e-05
1902,4.9626683903625235e-05
1903,4.9519330787006766e-05
1904,5.027557926950976e-05
1905,4.9637543270364404e-05
1906,4.872783028986305e-05
1907,5.07186668983195e-05
1908,5.1609087677206844e-05
1909,5.153270103619434e-05
1910,5.1143011660315096e-05
1911,5.207461435929872e-05
1912,5.183021130505949e-05
1913,5.2513449190882966e-05
1914,5.17653716087807e-05
1915,5.1189370424253866e-05
1916,5.152818630449474e-05
1917,5.353971937438473e-05
1918,5.335238893167116e-05
1919,5.422508911578916e-05
1920,5.535785385291092e-05
1921,5.400619556894526e-05
1922,5.4870022722752765e-05
1923,5.195481571718119e-05
1924,5.264626815915108e-05
1925,5.140562279848382e-05
1926,5.332153887138702e-05
1927,5.2298095397418365e-05
1928,5.344953387975693e-05
1929,5.208507718634792e-05
1930,5.32775666215457e-05
1931,5.144659007783048e-05
1932,5.16841682838276e-05
1933,5.220327147981152e-05
1934,5.288629836286418e-05
1935,5.0012273277388886e-05
1936,5.050414983998053e-05
1937,5.083289215690456e-05
1938,5.191832678974606e-05
1939,5.022827099310234e-05
1940,5.182313179830089e-05
1941,5.0106093112844974e-05
1942,5.099526242702268e-05
1943,5.1228438678663224e-05
1944,5.3929481509840116e-05
1945,5.455766222439706e-05
1946,5.791027069790289e-05
1947,5.5309163144556805e-05
1948,5.72650897083804e-05
1949,5.4473497584694996e-05
1950,5.784093445981853e-05
1951,5.9348098147893324e-05
1952,6.079604281694628e-05
1953,5.8643941883929074e-05
1954,6.0676142311422154e-05
1955,5.880665412405506e-05
1956,6.0276604926912114e-05
1957,5.8983147027902305e-05
1958,6.018207568558864e-05
1959,6.0734320868505165e-05
1960,6.125460640760139e-05
1961,5.974258965579793e-05
1962,6.0995684179943055e-05
1963,5.9624057030305266e-05
1964,6.061102612875402e-05
1965,5.995019091642462e-05
1966,6.143813516246155e-05
1967,5.8476569392951205e-05
1968,5.9442641941132024e-05
1969,5.908008461119607e-05
1970,5.7686713262228295e-05
1971,5.7327943068230525e-05
1972,5.6719141866778955e-05
1973,5.527190660359338e-05
1974,5.650539605994709e-05
1975,5.407486969488673e-05
1976,5.358949420042336e-05
1977,5.434178456198424e-05
1978,5.5080137826735154e-05
1979,5.529671398107894e-05
1980,5.5862936278572306e-05
1981,5.5814663937781006e-05
1982,5.649149534292519e-05
1983,5.696356311091222e-05
1984,5.6705343013163656e-05
1985,5.698830500477925e-05
1986,5.830887675983831e-05
1987,5.764722664025612e-05
1988,5.826195047120564e-05
1989,5.5905769841047004e-05
1990,5.5837819672888145e-05
1991,5.578819400398061e-05
1992,5.66468843317125e-05
1993,5.547916953219101e-05
1994,5.472292468766682e-05
1995,5.6678476539673284e-05
1996,5.7749297411646694e-05
1997,5.868019798072055e-05
1998,5.8221659855917096e-05
1999,5.7515087974024937e-05
2000,6.1033308156766e-05
2001,6.14246164332144e-05
2002,6.14067685091868e-05
2003,6.2608189182356e-05
2004,6.152395508252084e-05
2005,6.163813668536022e-05
2006,6.0897313232999295e-05
2007,6.053521065041423e-05
2008,5.848126602359116e-05
2009,5.8439618442207575e-05
2010,5.965580203337595e-05
2011,5.916453301324509e-05
2012,5.7971530623035505e-05
2013,5.719031469197944e-05
2014,5.528312976821326e-05
2015,5.60628977837041e-05
2016,5.727903771912679e-05
2017,5.380029324442148e-05
2018,5.1640457968460396e-05
2019,5.356557812774554e-05
