,privacy
1800,2.436637942082598e-06
1801,2.3736497496429365e-06
1802,1.972326572285965e-06
1803,1.7491599919594591e-06
1804,2.7985799988528015e-06
1805,2.379448915235116e-06
1806,2.8181787001813063e-06
1807,2.028765720751835e-06
1808,2.642997515067691e-06
1809,1.7935620917342021e-06
1810,2.6801239982887637e-06
1811,2.4185922029573703e-06
1812,2.1644036678480916e-06
1813,2.0564596070471453e-06
1814,2.2411793452192796e-06
1815,2.0168461105640745e-06
1816,2.2133049242256675e-06
1817,2.1516418655664893e-06
1818,2.29026250053721e-06
1819,2.020775355049409e-06
1820,2.390469944657525e-06
1821,2.6506111225899076e-06
1822,2.58917407336412e-06
1823,2.616590336401714e-06
1824,2.5178635496558854e-06
1825,2.9502855340979295e-06
1826,2.2644003365712706e-06
1827,3.0221262932172976e-06
1828,2.221998329332564e-06
1829,1.989940983548877e-06
1830,2.3423815491696587e-06
1831,2.2952908693696372e-06
1832,4.750962943944614e-06
1833,2.2262188394961413e-06
1834,2.0002078144898405e-06
1835,2.2977581011218717e-06
1836,2.166209014831111e-06
1837,2.161724523830344e-06
1838,2.1054768239991972e-06
1839,2.2730025648343144e-06
1840,2.3743536985421088e-06
1841,2.0847614905505907e-06
1842,2.083156005028286e-06
1843,2.480428975104587e-06
1844,2.181272066081874e-06
1845,2.0898010006931145e-06
1846,2.060089400401921e-06
1847,1.957806261998485e-06
1848,1.9560463897505542e-06
1849,1.969072172869346e-06
1850,2.2493111373478314e-06
1851,1.9837407307932153e-06
1852,1.9072161876465543e-06
1853,2.113360324074165e-06
1854,2.006876002269564e-06
1855,1.9190138118574396e-06
1856,1.9495325886964565e-06
1857,2.0337604382802965e-06
1858,1.8412363260722486e-06
1859,1.9993331079604104e-06
1860,1.926283630382386e-06
1861,1.737091565701121e-06
1862,1.9602202883106656e-06
1863,1.9909446109522833e-06
1864,2.1035639292676933e-06
1865,1.9290780528535834e-06
1866,1.7055790522135794e-06
1867,1.8392057654637028e-06
1868,1.760614736667776e-06
1869,1.7218060293089366e-06
1870,1.7991939103012555e-06
1871,1.7930057083503925e-06
1872,1.6102351310109952e-06
1873,1.6269906382149202e-06
1874,1.6593174905210617e-06
1875,1.7059253423212795e-06
1876,1.6927067463257117e-06
1877,1.5058154758662567e-06
1878,1.5090472516021691e-06
1879,1.488392626924906e-06
1880,1.6776452866906766e-06
1881,1.57097463215905e-06
1882,1.5027952713353443e-06
1883,1.6666971305312472e-06
1884,1.5601926861563697e-06
1885,1.6010008039302193e-06
1886,1.4368451957125217e-06
1887,1.480511286899855e-06
1888,1.581217247803579e-06
1889,1.5694887451900286e-06
1890,1.575163878442254e-06
1891,1.5841757203816087e-06
1892,1.6399729929617024e-06
1893,1.6904856465771445e-06
1894,1.6063073644545511e-06
1895,1.5517750853177859e-06
1896,1.7315165905529284e-06
1897,1.5637440355931176e-06
1898,1.4606439435738139e-06
1899,1.8082519090967253e-06
1900,1.8179213157054619e-06
1901,1.6434935332654277e-06
1902,1.6175588370970218e-06
1903,1.742331505738548e-06
1904,1.6218160681091831e-06
1905,1.6080849718491663e-06
1906,1.7391041637893068e-06
1907,1.501063820796844e-06
1908,1.4744477994099725e-06
1909,1.5071102552610682e-06
1910,1.6345638869097456e-06
1911,1.58863304022816e-06
1912,1.5497433878408629e-06
1913,1.5094117316039046e-06
1914,1.619343379388738e-06
1915,1.5307350622606464e-06
1916,1.378776914862101e-06
1917,1.4437730442296015e-06
1918,1.4710643654325395e-06
1919,1.4418931186810369e-06
1920,1.5718852637292002e-06
1921,1.4787200370847131e-06
1922,1.5949218550304067e-06
1923,1.6817720052131335e-06
1924,1.7090452502088738e-06
1925,1.7311649571638554e-06
1926,1.6501633126608795e-06
1927,2.130729626514949e-06
1928,1.7533624259158387e-06
1929,1.8546052160672843e-06
1930,1.870072424026148e-06
1931,1.961661382665625e-06
1932,2.1213520540186437e-06
1933,1.9059175428992603e-06
1934,1.952549155248562e-06
1935,1.9901701762137236e-06
1936,2.4492551347066183e-06
1937,2.0478794340306194e-06
1938,2.2160554635775043e-06
1939,2.0307634258642793e-06
1940,2.4342168671864783e-06
1941,2.3592056095367298e-06
1942,2.357538960495731e-06
1943,2.126731942553306e-06
1944,2.2492254174721893e-06
1945,2.3424772734870203e-06
1946,2.449176008667564e-06
1947,2.6674058517528465e-06
1948,2.9324028218979947e-06
1949,2.8729825771733886e-06
1950,2.6631232685758732e-06
1951,2.636272711242782e-06
1952,3.038456952708657e-06
1953,2.811998456309084e-06
1954,3.565089627954876e-06
1955,3.0108162718534004e-06
1956,3.354045020387275e-06
1957,2.900099389080424e-06
1958,3.4312677144043846e-06
1959,3.18954698741436e-06
1960,3.3661913221294526e-06
1961,3.452059900155291e-06
1962,3.4384511309326626e-06
1963,3.50904997503676e-06
1964,3.635796474554809e-06
1965,4.096923021279508e-06
1966,4.911887117486913e-06
1967,6.7078490246785805e-06
1968,5.7164043028024025e-06
1969,5.742016128351679e-06
1970,6.8321342041599564e-06
1971,7.0100500124681275e-06
1972,7.894112059148028e-06
1973,8.180619261111133e-06
1974,1.2733703442791011e-05
1975,1.0128514986718073e-05
1976,1.1639630429272074e-05
1977,1.0642153938533738e-05
1978,1.1642071513051633e-05
1979,1.1324922525091097e-05
1980,1.1547902431630064e-05
1981,1.0210967047896702e-05
1982,1.037784659274621e-05
1983,9.908359970722813e-06
1984,1.0008128811023198e-05
1985,1.0633057172526605e-05
1986,1.027588496071985e-05
1987,1.134332524088677e-05
1988,1.0526838195801247e-05
1989,1.1045687642763369e-05
1990,1.0704235137382057e-05
1991,1.1248021110077389e-05
1992,1.1451085811131634e-05
1993,1.1455202184151858e-05
1994,1.2278330359549727e-05
1995,1.2439958481991198e-05
1996,1.305323439737549e-05
1997,1.4365895367518533e-05
1998,1.5019537386251613e-05
1999,1.609800528967753e-05
2000,1.7850054064183496e-05
2001,1.8894423192250542e-05
2002,1.8557158909970894e-05
2003,1.817255724745337e-05
2004,1.817967313400004e-05
2005,1.7568705516168848e-05
2006,1.7419044525013305e-05
2007,1.7204523828695528e-05
2008,1.695549872238189e-05
2009,1.677140244282782e-05
2010,1.8347822333453223e-05
2011,1.7686692444840446e-05
2012,1.565819366078358e-05
2013,1.5943816833896562e-05
2014,1.7276684957323596e-05
2015,1.7974254660657607e-05
2016,1.891612737381365e-05
2017,1.7636588381719775e-05
2018,1.7094715076382272e-05
2019,1.7897717043524608e-05
