,user
1800,2.936664600383665e-07
1801,3.6455369922805403e-07
1802,5.046464366387227e-07
1803,4.1207556478184415e-07
1804,4.485528961595264e-07
1805,2.2183878911619104e-07
1806,3.1449596349375497e-07
1807,3.5663566677612835e-07
1808,3.035630129488709e-07
1809,2.4432983991573565e-07
1810,3.119488383163116e-07
1811,6.68902202960453e-07
1812,2.6469299996279005e-07
1813,3.1121496135710913e-07
1814,3.232154597299086e-07
1815,4.7622296506233397e-07
1816,3.6797894154005917e-07
1817,3.466615510205884e-07
1818,4.082994564669207e-07
1819,2.78222699989783e-07
1820,2.446843438974611e-07
1821,3.371226569015562e-07
1822,4.2714532355603296e-07
1823,3.9413941976818023e-07
1824,4.085454179403314e-07
1825,5.07435117924615e-07
1826,6.676195312138589e-07
1827,4.778696052198939e-07
1828,4.227734962114482e-07
1829,6.212862899701577e-07
1830,5.504596742866852e-07
1831,5.097214170746156e-07
1832,2.0316294921940425e-06
1833,4.4631116224991274e-07
1834,5.787337613583077e-07
1835,5.060432499703893e-07
1836,5.617594638351875e-07
1837,6.192137220750737e-07
1838,7.243074833240826e-07
1839,8.648548828205094e-07
1840,8.299396085931221e-07
1841,6.678503154944337e-07
1842,6.938548153812008e-07
1843,8.137585041367856e-07
1844,8.670226065987663e-07
1845,7.701059416831413e-07
1846,9.832244813878788e-07
1847,8.564233553443046e-07
1848,6.820702083132346e-07
1849,8.532798005944642e-07
1850,7.407199973386014e-07
1851,1.0117767033079872e-06
1852,7.523535145992355e-07
1853,9.633068884795648e-07
1854,1.016275518850307e-06
1855,9.626922974348417e-07
1856,1.0171621624976979e-06
1857,9.95846221485408e-07
1858,9.8713792340277e-07
1859,1.120558977163455e-06
1860,1.01688362974528e-06
1861,1.1334643659210997e-06
1862,1.385290602229361e-06
1863,1.7172591242342605e-06
1864,1.5863719227127149e-06
1865,1.3561269724959857e-06
1866,1.7092548887376324e-06
1867,1.695141804702871e-06
1868,1.675788212196494e-06
1869,1.5731608300484368e-06
1870,1.8022187759925146e-06
1871,1.7390523225913057e-06
1872,1.5102015140655567e-06
1873,1.7313569742327672e-06
1874,1.5917178188828984e-06
1875,1.7658377373663825e-06
1876,1.7298431203016662e-06
1877,2.042156211246038e-06
1878,2.401726987955044e-06
1879,2.1736918824899476e-06
1880,2.2829383397038328e-06
1881,2.3824966319807572e-06
1882,2.14971328205138e-06
1883,2.15933960134862e-06
1884,3.0145458822516957e-06
1885,2.6833833999262424e-06
1886,2.7781254630099284e-06
1887,2.5644112611189485e-06
1888,2.7620001219474943e-06
1889,2.413038373560994e-06
1890,2.7708026664186036e-06
1891,2.79692744697968e-06
1892,2.758019718385185e-06
1893,2.8017759632348316e-06
1894,2.5980166356021073e-06
1895,2.505334123270586e-06
1896,2.6032478217530297e-06
1897,2.9929492484370712e-06
1898,3.1305442007578677e-06
1899,2.964507530123228e-06
1900,4.968724624632159e-06
1901,3.1900140129437204e-06
1902,3.659683898149524e-06
1903,3.6851563436357537e-06
1904,4.245871423336212e-06
1905,4.431815796124283e-06
1906,5.032434273744002e-06
1907,4.676092430599965e-06
1908,5.310680535330903e-06
1909,5.4329602789948694e-06
1910,4.895282472716644e-06
1911,5.393628271121997e-06
1912,5.676893579220632e-06
1913,5.874027010577265e-06
1914,6.261135240492877e-06
1915,6.3245356614061166e-06
1916,6.2626459111925215e-06
1917,6.15130556980148e-06
1918,6.025395123288035e-06
1919,6.329579264274798e-06
1920,6.5241206357313786e-06
1921,6.50294532533735e-06
1922,6.8474541876639705e-06
1923,6.174076588649768e-06
1924,5.934529326623306e-06
1925,6.339208084682468e-06
1926,5.449784566735616e-06
1927,5.656246230500983e-06
1928,5.8230698414263315e-06
1929,5.511505605682032e-06
1930,5.742964276578277e-06
1931,5.208637503528735e-06
1932,5.704020622943062e-06
1933,5.3055027819937095e-06
1934,6.198650225996971e-06
1935,5.496676294569625e-06
1936,6.007105184835382e-06
1937,5.690214038622798e-06
1938,5.9383628467912786e-06
1939,6.038648734829621e-06
1940,5.938263711868785e-06
1941,6.1650880525121465e-06
1942,6.631917585764313e-06
1943,7.038671810732922e-06
1944,7.412347713398049e-06
1945,7.824065505701583e-06
1946,6.935903002158739e-06
1947,8.656519639771432e-06
1948,7.668997568544e-06
1949,8.076021003944334e-06
1950,8.02182148618158e-06
1951,8.26325049274601e-06
1952,8.81240612216061e-06
1953,8.529562364856247e-06
1954,9.08063884708099e-06
1955,9.9806848083972e-06
1956,1.0468816071806941e-05
1957,9.24361575016519e-06
1958,9.519056220597122e-06
1959,1.001089003693778e-05
1960,1.0087869668495841e-05
1961,1.0974942597385962e-05
1962,1.1075570910179522e-05
1963,1.1725960575859062e-05
1964,1.2224189049447887e-05
1965,1.3043383660260588e-05
1966,1.4141736755846068e-05
1967,1.6053183571784757e-05
1968,1.7477115761721507e-05
1969,1.9426206563366577e-05
1970,2.1492331143235788e-05
1971,2.1298716092132963e-05
1972,2.4039947675191797e-05
1973,2.4153279809979722e-05
1974,2.737748400249984e-05
1975,2.9279755835887045e-05
1976,2.9340186301851645e-05
1977,3.4621250961208716e-05
1978,3.530149842845276e-05
1979,3.493712210911326e-05
1980,3.712865145644173e-05
1981,4.039782288600691e-05
1982,4.633780918084085e-05
1983,5.2067778597120196e-05
1984,5.3274536185199395e-05
1985,5.713849895983003e-05
1986,5.84413246542681e-05
1987,5.7569428463466465e-05
1988,5.5224703828571364e-05
1989,5.562953811022453e-05
1990,5.8391382481204346e-05
1991,5.6213179050246254e-05
1992,5.8021967561217025e-05
1993,5.651765241054818e-05
1994,5.779761340818368e-05
1995,5.954630978521891e-05
1996,5.741789209423587e-05
1997,6.266450509428978e-05
1998,6.298822700046003e-05
1999,6.317548104561865e-05
2000,6.197009497554973e-05
2001,6.327284791041166e-05
2002,7.154227932915092e-05
2003,7.867018575780094e-05
2004,6.878490967210382e-05
2005,6.450074579333887e-05
2006,6.714085611747578e-05
2007,5.973614315735176e-05
2008,5.955746746622026e-05
2009,6.266932177823037e-05
2010,6.432501686504111e-05
2011,6.437023694161326e-05
2012,5.738653271691874e-05
2013,5.200782106840052e-05
2014,5.414717452367768e-05
2015,6.342832057271153e-05
2016,4.777480717166327e-05
2017,4.173617344349623e-05
2018,4.107184213353321e-05
2019,4.402739432407543e-05
