,any
1800,0.001825085375458002
1801,0.0018856094684451818
1802,0.0018101290334016085
1803,0.0018722034292295575
1804,0.0016729754861444235
1805,0.0017941227415576577
1806,0.0017824550159275532
1807,0.0018221711507067084
1808,0.0019182127434760332
1809,0.0019574458710849285
1810,0.0018272543093189597
1811,0.0020789874251931906
1812,0.0023947814479470253
1813,0.002057405421510339
1814,0.0019714271184056997
1815,0.0018959690351039171
1816,0.002158872550353408
1817,0.002025812631472945
1818,0.0019959150813519955
1819,0.001981668407097459
1820,0.0020159061532467604
1821,0.0019521168433129787
1822,0.001914098160341382
1823,0.0020099510438740253
1824,0.0018839469412341714
1825,0.0018893792293965816
1826,0.002010384341701865
1827,0.0018857833929359913
1828,0.00182913092430681
1829,0.0018816489027813077
1830,0.001836785115301609
1831,0.001851285807788372
1832,0.002150218468159437
1833,0.0017935211071744561
1834,0.0018106100615113974
1835,0.0017943684943020344
1836,0.001918623223900795
1837,0.0018646613461896777
1838,0.0018599096219986677
1839,0.0018064422765746713
1840,0.001817737938836217
1841,0.0017866330454126
1842,0.001764624030329287
1843,0.0018312539905309677
1844,0.0017312633572146297
1845,0.0018182076746597886
1846,0.0017865560948848724
1847,0.0017762294737622142
1848,0.0017164221499115229
1849,0.0017236265121027827
1850,0.0017110895132645965
1851,0.0017942150589078665
1852,0.001725079258903861
1853,0.0017597735859453678
1854,0.001658679568208754
1855,0.0016963990638032556
1856,0.0016815115232020617
1857,0.0016737229889258742
1858,0.0016538550844416022
1859,0.0016481856582686305
1860,0.0016603891272097826
1861,0.0017393145244568586
1862,0.0017513480270281434
1863,0.0016996924532577395
1864,0.0016803659964352846
1865,0.001700677676126361
1866,0.0017054821364581585
1867,0.001691350364126265
1868,0.0017165953759104013
1869,0.0017034821212291718
1870,0.0017328246030956507
1871,0.0016965261893346906
1872,0.001829411368817091
1873,0.001685904455371201
1874,0.0016888667596504092
1875,0.0016873786225914955
1876,0.001712642959319055
1877,0.0017173044616356492
1878,0.0016414716374129057
1879,0.001635872875340283
1880,0.0015859140548855066
1881,0.0015898733399808407
1882,0.0016305329045280814
1883,0.0015535193961113691
1884,0.0016192422481253743
1885,0.0015551791293546557
1886,0.0015996608417481184
1887,0.001648015109822154
1888,0.0016287656035274267
1889,0.001632551196962595
1890,0.0015720336232334375
1891,0.0015887209447100759
1892,0.0015639537014067173
1893,0.0015472628874704242
1894,0.00164081621915102
1895,0.0016073879087343812
1896,0.001565873739309609
1897,0.001564442995004356
1898,0.0015319163212552667
1899,0.0015139873139560223
1900,0.0015180587070062757
1901,0.001550849061459303
1902,0.00148817989975214
1903,0.0015401769196614623
1904,0.0015376961091533303
1905,0.0015454198000952601
1906,0.001591270207427442
1907,0.0016077895415946841
1908,0.0015738771762698889
1909,0.0016413001576438546
1910,0.0015221330104395747
1911,0.0016278323018923402
1912,0.0016266214661300182
1913,0.0016536081675440073
1914,0.0016542163211852312
1915,0.0016327366465702653
1916,0.0016028119716793299
1917,0.0016040096525102854
1918,0.0015555701684206724
1919,0.001614607754163444
1920,0.001543935388326645
1921,0.0015724889235571027
1922,0.0015196427702903748
1923,0.0014918234664946795
1924,0.0014765930827707052
