,were
1800,0.0025908604729920626
1801,0.0022841638419777155
1802,0.002593323588371277
1803,0.0024496912956237793
1804,0.0026579457335174084
1805,0.0027658010367304087
1806,0.0025329135823994875
1807,0.002538237953558564
1808,0.0024306506384164095
1809,0.0024858859833329916
1810,0.0025374607648700476
1811,0.002560639986768365
1812,0.002795117674395442
1813,0.0025463670026510954
1814,0.002831567544490099
1815,0.002718264004215598
1816,0.0028271223418414593
1817,0.002856678329408169
1818,0.002762498799711466
1819,0.0025311261415481567
1820,0.002819678746163845
1821,0.002591036958619952
1822,0.002629674971103668
1823,0.0026876614429056644
1824,0.002665890147909522
1825,0.0027345679700374603
1826,0.0027327220886945724
1827,0.002825689036399126
1828,0.002737420378252864
1829,0.0027821448165923357
1830,0.0027120804879814386
1831,0.002733540954068303
1832,0.002611295087262988
1833,0.0027718732599169016
1834,0.002646438078954816
1835,0.002672444796189666
1836,0.002675487659871578
1837,0.0026071711909025908
1838,0.00263452110812068
1839,0.0026840451173484325
1840,0.0027335630729794502
1841,0.0027114551048725843
1842,0.0026469542644917965
1843,0.0026454420294612646
1844,0.0027199306059628725
1845,0.002632001880556345
1846,0.0026313974522054195
1847,0.002669142559170723
1848,0.0026401823852211237
1849,0.002700478071346879
1850,0.002562078880146146
1851,0.002528962679207325
1852,0.0025501172058284283
1853,0.0025685958098620176
1854,0.002553072525188327
1855,0.0026379888877272606
1856,0.002610960975289345
1857,0.0025091185234487057
1858,0.002521163085475564
1859,0.0024947552010416985
1860,0.0024787497241050005
1861,0.0024780139792710543
1862,0.0024455697275698185
1863,0.002500096568837762
1864,0.0024988786317408085
1865,0.0025010542012751102
1866,0.0024879754055291414
1867,0.0024217094760388136
1868,0.002380254678428173
1869,0.0024279956705868244
1870,0.002389155328273773
1871,0.0023924591951072216
1872,0.0024344264529645443
1873,0.0023457263596355915
1874,0.002333337441086769
1875,0.0024293833412230015
1876,0.002469087718054652
1877,0.002487079706043005
1878,0.0024090823717415333
1879,0.00241678929887712
1880,0.002457014750689268
1881,0.002393435686826706
1882,0.0024181108456104994
1883,0.0024251656141132116
1884,0.0023580987472087145
1885,0.0023420252837240696
1886,0.002362155122682452
1887,0.0023178192786872387
1888,0.0023955623619258404
1889,0.0022779733408242464
1890,0.0023075120989233255
1891,0.002282198751345277
1892,0.002269131364300847
1893,0.002290703821927309
1894,0.0022994147147983313
1895,0.0022621704265475273
1896,0.002316323108971119
1897,0.00224108318798244
1898,0.002314317272976041
1899,0.002338951453566551
1900,0.0023272293619811535
1901,0.002265329472720623
1902,0.002276330953463912
1903,0.0021988670341670513
1904,0.0022472389973700047
1905,0.002197817200794816
1906,0.002196011831983924
1907,0.0022013247944414616
1908,0.0021962204482406378
1909,0.002101534279063344
1910,0.002156851114705205
1911,0.0021610711701214314
1912,0.0021129196975380182
1913,0.002097212476655841
1914,0.0020772626157850027
1915,0.00207864074036479
1916,0.002112407237291336
1917,0.0020306333899497986
1918,0.002108556916937232
1919,0.0022201593965291977
1920,0.002242374001070857
1921,0.0021382987033575773
1922,0.002192385494709015
1923,0.002187194535508752
1924,0.002221879782155156
1925,0.0022339082788676023
1926,0.0022900274489074945
1927,0.00223611225374043
1928,0.0022768392227590084
1929,0.002245798707008362
1930,0.0022857554722577333
1931,0.002242588670924306
1932,0.002301631961017847
1933,0.0022981527727097273
1934,0.0023627483751624823
1935,0.002296673133969307
1936,0.0023264375049620867
1937,0.0022880523465573788
1938,0.002302503678947687
1939,0.002230712678283453
1940,0.0023116576485335827
1941,0.0022429709788411856
1942,0.0022680084221065044
1943,0.0022713514044880867
1944,0.002277190098538995
1945,0.0022867154330015182
1946,0.0024089396465569735
1947,0.002329604234546423
1948,0.002275552600622177
1949,0.0021904907189309597
1950,0.0022247489541769028
1951,0.0022334675304591656
1952,0.0022797794081270695
1953,0.002232593484222889
1954,0.002224980155006051
1955,0.002218629466369748
1956,0.0022289336193352938
1957,0.0022166725248098373
1958,0.002218482783064246
1959,0.0021702959202229977
1960,0.002209624508395791
1961,0.0021768466103821993
1962,0.002206068951636553
1963,0.002175556728616357
1964,0.0022011129185557365
1965,0.002160614123567939
1966,0.002180451527237892
1967,0.0021664223168045282
1968,0.0021814643405377865
1969,0.002186126308515668
1970,0.0021672891452908516
1971,0.0021812173072248697
1972,0.002135799266397953
1973,0.0020591202192008495
1974,0.0020635854452848434
1975,0.002038242993876338
1976,0.002049726899713278
1977,0.0019994108006358147
1978,0.0020029135048389435
1979,0.001979405526071787
1980,0.0020027761347591877
1981,0.001971166580915451
1982,0.0019786295015364885
1983,0.001970222219824791
1984,0.0019540239591151476
1985,0.0019440760370343924
1986,0.0019402907928451896
1987,0.0019256690284237266
1988,0.0019408500520512462
1989,0.001885601319372654
1990,0.0018937144195660949
1991,0.001895833178423345
1992,0.0018687436822801828
1993,0.0019003578927367926
1994,0.001838733209297061
1995,0.0018030572682619095
1996,0.0018334819469600916
1997,0.001837951480410993
1998,0.0018646446987986565
1999,0.0018419675761833787
2000,0.001898459275253117
2001,0.0018889521015807986
2002,0.0019006890943273902
2003,0.0019144276157021523
2004,0.0019472624408081174
2005,0.001930926344357431
2006,0.0019470499828457832
2007,0.0019681332632899284
2008,0.001989983022212982
2009,0.002031556563451886
2010,0.002036920515820384
2011,0.0020729543175548315
2012,0.0020537711679935455
2013,0.00207653664983809
2014,0.0021404216531664133
2015,0.002111475681886077
2016,0.0020700483582913876
2017,0.002120652236044407
2018,0.0020958096720278263
2019,0.002152504865080118
