,please
1800,6.166201637824997e-05
1801,6.926115020178258e-05
1802,4.489250932238065e-05
1803,6.698677316308022e-05
1804,5.804859392810613e-05
1805,5.3098483476787806e-05
1806,6.492867396445945e-05
1807,5.435170169221237e-05
1808,7.947897393023595e-05
1809,5.720394983654842e-05
1810,6.841491995146498e-05
1811,6.661178485956043e-05
1812,5.5200522183440626e-05
1813,5.3516771004069597e-05
1814,5.034121568314731e-05
1815,4.5765864342683926e-05
1816,6.368887261487544e-05
1817,4.7597946831956506e-05
1818,4.560110028251074e-05
1819,4.6232889872044325e-05
1820,5.485846850206144e-05
1821,5.680704634869471e-05
1822,5.69197436561808e-05
1823,5.705322837457061e-05
1824,5.969532503513619e-05
1825,5.523619256564416e-05
1826,4.781198003911413e-05
1827,4.7502493544016033e-05
1828,4.477321999729611e-05
1829,3.988259777543135e-05
1830,4.839360190089792e-05
1831,4.345992783783004e-05
1832,5.4426516726380214e-05
1833,4.662784340325743e-05
1834,4.454168811207637e-05
1835,4.376290598884225e-05
1836,4.224338772473857e-05
1837,4.4169417378725484e-05
1838,4.238459951011464e-05
1839,4.6018583816476166e-05
1840,4.646902743843384e-05
1841,4.216967136017047e-05
1842,4.406455627758987e-05
1843,4.465936217457056e-05
1844,4.515669206739403e-05
1845,4.1545277781551704e-05
1846,4.154330235905945e-05
1847,4.0176164475269616e-05
1848,4.0418264688923955e-05
1849,3.9024424040690064e-05
1850,4.117274875170551e-05
1851,4.1493178287055343e-05
1852,4.008351606898941e-05
1853,4.285569229978137e-05
1854,4.215934677631594e-05
1855,3.854768510791473e-05
1856,3.9380152884405106e-05
1857,4.0347502363147214e-05
1858,3.884273610310629e-05
1859,3.8611102354479954e-05
1860,4.085695763933472e-05
1861,3.7355934182414785e-05
1862,3.8268652133410797e-05
1863,3.676778942462988e-05
1864,3.901597301592119e-05
1865,3.744891728274524e-05
1866,3.96857903979253e-05
1867,3.727597868419252e-05
1868,4.044398519909009e-05
1869,4.088360219611786e-05
1870,3.752535121748224e-05
1871,3.91289904655423e-05
1872,3.872766319545917e-05
1873,3.6417332012206316e-05
1874,3.760759864235297e-05
1875,3.8270805816864595e-05
1876,3.483797627268359e-05
1877,3.4002830943791196e-05
1878,3.361828203196637e-05
1879,3.4049229725496843e-05
1880,3.414254024391994e-05
1881,3.2621410355204716e-05
1882,3.5140088584739715e-05
1883,3.544056380633265e-05
1884,3.316729635116644e-05
1885,3.247737913625315e-05
1886,3.1683674023952335e-05
1887,3.252746319049038e-05
1888,3.170885975123383e-05
1889,3.27394918713253e-05
1890,3.192032818333246e-05
1891,3.153040961478837e-05
1892,3.2882264349609613e-05
1893,3.249815563322045e-05
1894,3.244590334361419e-05
1895,3.070973252761178e-05
1896,3.1163424864644185e-05
1897,3.039960574824363e-05
1898,3.0004555810592137e-05
1899,3.6842266126768664e-05
1900,3.3956635888898745e-05
1901,3.176137033733539e-05
1902,3.092384213232435e-05
1903,3.0218334359233268e-05
1904,3.136114901280962e-05
1905,2.8357111659715883e-05
1906,2.8692373234662227e-05
1907,2.75999973382568e-05
1908,2.8502468921942636e-05
1909,2.8139964342699386e-05
1910,2.735461384872906e-05
1911,2.672200571396388e-05
1912,2.7070394935435615e-05
1913,2.625942579470575e-05
1914,2.5423887564102188e-05
1915,2.399463119218126e-05
1916,2.6824396627489477e-05
1917,2.3660953957005404e-05
1918,2.3088068701326847e-05
1919,2.4345288693439215e-05
1920,2.4000799385248683e-05
1921,2.3671800590818748e-05
1922,2.4523451429558918e-05
1923,2.5555138563504443e-05
1924,2.7430323825683445e-05
1925,2.6448953576618806e-05
1926,2.6778845494845882e-05
1927,2.6280937163392082e-05
1928,2.7857013265020214e-05
1929,2.739610499702394e-05
1930,2.761194082268048e-05
1931,2.5881125111482106e-05
1932,2.6205643735011108e-05
1933,2.536661850172095e-05
1934,2.668269553396385e-05
1935,2.7301824957248755e-05
1936,2.8883794584544376e-05
1937,2.472710912115872e-05
1938,2.576635051809717e-05
1939,2.606107409519609e-05
1940,2.572713310655672e-05
1941,2.496046909072902e-05
1942,2.5257852030335926e-05
1943,2.6991927370545454e-05
1944,2.5668119633337483e-05
1945,2.467054764565546e-05
1946,2.6988089302903973e-05
1947,2.5805551558732986e-05
1948,2.5687528250273317e-05
1949,2.4398805180680938e-05
1950,2.5252269551856443e-05
1951,2.794169085973408e-05
1952,2.914580727519933e-05
1953,2.6413028535898775e-05
1954,2.7081126972916536e-05
1955,2.857574691006448e-05
1956,2.7946311092819087e-05
1957,2.8703474526992068e-05
1958,2.6767318558995612e-05
1959,2.472945379849989e-05
1960,2.3352278731181286e-05
1961,2.3512080588261597e-05
1962,2.4077931811916642e-05
1963,2.5006112991832197e-05
1964,2.6068359147757292e-05
1965,2.5493616703897715e-05
1966,2.6061195967486128e-05
1967,2.5824838303378783e-05
1968,2.562885310908314e-05
1969,2.588689858384896e-05
1970,2.6184698072029278e-05
1971,2.3120772311813198e-05
1972,2.5010796889546327e-05
1973,2.4101162125589326e-05
1974,2.4904315068852156e-05
1975,2.3551334379590116e-05
1976,2.4315924747497775e-05
1977,2.496775414329022e-05
1978,2.5768302293727174e-05
1979,2.546647738199681e-05
1980,2.5716661184560508e-05
1981,2.578197199909482e-05
1982,2.5473336791037582e-05
1983,2.6736151994555257e-05
1984,2.6993127903551795e-05
1985,2.7368294468033127e-05
1986,2.8594628020073287e-05
1987,2.8555614335346036e-05
1988,2.9163891667849384e-05
1989,2.951263559225481e-05
1990,2.9458917197189294e-05
1991,3.0048984626773745e-05
1992,3.0166494980221614e-05
1993,2.968800072267186e-05
1994,3.0568910005968064e-05
1995,3.0489145501633175e-05
1996,3.1643008696846664e-05
1997,3.379778718226589e-05
1998,3.306915459688753e-05
1999,3.337469752295874e-05
2000,3.5849661799147725e-05
2001,3.566643863450736e-05
2002,3.438161002122797e-05
2003,3.5866862162947655e-05
2004,3.6600427847588435e-05
2005,3.759009996429086e-05
2006,3.798557008849457e-05
2007,4.612450356944464e-05
2008,4.533840183285065e-05
2009,4.785824057762511e-05
2010,4.431370325619355e-05
2011,4.826152871828526e-05
2012,4.650063783628866e-05
2013,5.058186434325762e-05
2014,5.415916530182585e-05
2015,5.864631020813249e-05
2016,4.8235870053758845e-05
2017,5.413893813965842e-05
2018,5.310531923896633e-05
2019,5.6459015468135476e-05
