,listing
1800,5.87332920076733e-07
1801,4.90122204155341e-07
1802,4.878249342255003e-07
1803,5.4463134802063e-07
1804,2.925345086168818e-07
1805,5.895441859138373e-07
1806,3.120389635569154e-07
1807,3.9080433111848834e-07
1808,6.071260258977418e-07
1809,3.7282924836290476e-07
1810,3.719953554082167e-07
1811,3.311560021757032e-07
1812,3.698103228089167e-07
1813,9.366960398438096e-07
1814,2.1985214004871523e-07
1815,3.7429455801429867e-07
1816,5.051223865848442e-07
1817,3.1740739814267727e-07
1818,2.2442949898504594e-07
1819,2.995220427237655e-07
1820,2.506814951175329e-07
1821,2.2433069091221114e-07
1822,2.503955442989536e-07
1823,3.002475637003954e-07
1824,2.429675305393175e-07
1825,2.724952707922057e-07
1826,4.208264670069184e-07
1827,2.0842250592068012e-07
1828,3.0577959364563867e-07
1829,2.2727962800672685e-07
1830,3.60873173121945e-07
1831,4.131832724851847e-07
1832,1.9425917798798764e-06
1833,2.8886807967865025e-07
1834,3.9275863628063235e-07
1835,5.47766489944479e-07
1836,3.960606136388378e-07
1837,4.0118072774930624e-07
1838,4.3047910480709106e-07
1839,4.098340298241965e-07
1840,3.805470782936027e-07
1841,3.6277629078540485e-07
1842,4.4400343313100166e-07
1843,4.068792520683928e-07
1844,4.01181637244008e-07
1845,4.6274467990770063e-07
1846,3.8282411196632893e-07
1847,5.175003821022983e-07
1848,4.3633804125420284e-07
1849,4.5563041339846677e-07
1850,2.630277151638438e-07
1851,2.714149331950466e-07
1852,2.3511047686497477e-07
1853,3.2099151781039836e-07
1854,2.4115013275149977e-07
1855,2.112968076062316e-07
1856,2.0572957737385877e-07
1857,2.548828774706635e-07
1858,2.1683221973489708e-07
1859,2.3830577333683323e-07
1860,2.8505090199359984e-07
1861,3.0443456466855423e-07
1862,1.923540793313805e-07
1863,3.099776506587659e-07
1864,2.6136387987207854e-07
1865,2.1646548020726186e-07
1866,3.1444940873370797e-07
1867,2.571393622474716e-07
1868,3.470457556886686e-07
1869,3.4250314229211654e-07
1870,2.8887527037113614e-07
1871,3.0709455245414574e-07
1872,3.635567793480732e-07
1873,3.2758597967585956e-07
1874,3.698102375437884e-07
1875,2.82075376389912e-07
1876,3.877470078350598e-07
1877,3.54407688973879e-07
1878,3.4314396657464385e-07
1879,4.690301693699439e-07
1880,3.0729509603588667e-07
1881,4.645614524179109e-07
1882,3.54130804680608e-07
1883,4.5097507950231375e-07
1884,5.148348805050773e-07
1885,5.483376526171924e-07
1886,8.002710387700063e-07
1887,5.719574573959108e-07
1888,5.966895741948974e-07
1889,5.9751425851573e-07
1890,5.300195198287838e-07
1891,7.241352477649343e-07
1892,6.212185326148756e-07
1893,7.220907605187676e-07
1894,6.172866164888546e-07
1895,6.501253437818377e-07
1896,7.687378342779994e-07
1897,6.972826440687641e-07
1898,5.836055265717732e-07
1899,7.180641432569246e-07
1900,8.624072620477818e-07
1901,8.821024835015123e-07
1902,7.290298071893631e-07
1903,8.562394668842899e-07
1904,8.280618430944742e-07
1905,1.0007443052018061e-06
1906,1.1391706493668607e-06
1907,1.1626974583123229e-06
1908,1.178597699436068e-06
1909,1.2208276984893018e-06
1910,1.4858645727144904e-06
1911,1.8271776980327559e-06
1912,1.5132787893890054e-06
1913,2.2615624857280636e-06
1914,1.943309825946926e-06
1915,2.0276613668102073e-06
1916,1.963876457011793e-06
1917,2.2230071863305056e-06
1918,2.382711500104051e-06
1919,2.3100847101886757e-06
1920,2.3151555978984106e-06
1921,2.4712439881113824e-06
1922,2.5440788249397883e-06
1923,2.833594862750033e-06
1924,2.548513975852984e-06
1925,3.1272547857952304e-06
1926,3.331435891595902e-06
1927,3.5075668165518437e-06
1928,4.077437097294023e-06
1929,3.980549536208855e-06
1930,4.424251983436989e-06
1931,4.250000529282261e-06
1932,4.604139121511253e-06
1933,5.11891312271473e-06
1934,5.481754669744987e-06
1935,5.021187007514527e-06
1936,5.671088729286566e-06
1937,6.949830549274338e-06
1938,6.686900178465294e-06
1939,7.864811777835712e-06
1940,8.10478741186671e-06
1941,9.626850442145951e-06
1942,7.276149972312851e-06
1943,7.545483640569728e-06
1944,7.399220066872658e-06
1945,7.45774286770029e-06
1946,8.721613085072022e-06
1947,7.929576895548962e-06
1948,8.112162504403386e-06
1949,8.49743537401082e-06
1950,8.694150892551988e-06
1951,9.13430721993791e-06
1952,8.79264553077519e-06
1953,9.160728041024413e-06
1954,9.803155990084633e-06
1955,1.0028771612269338e-05
1956,1.090547812054865e-05
1957,1.088342469302006e-05
1958,1.0793391084007453e-05
1959,1.1458875633252319e-05
1960,1.1584837011469062e-05
1961,1.134401736635482e-05
1962,1.1025211279047653e-05
1963,1.1326851563353557e-05
1964,1.1252091098867822e-05
1965,1.18919324449962e-05
1966,1.1321652891638223e-05
1967,1.2286381206649821e-05
1968,1.1187528798473068e-05
1969,1.1906645340786781e-05
1970,1.2188144864921924e-05
1971,1.2935545782966074e-05
1972,1.5019649254099932e-05
1973,1.5206986063276418e-05
1974,1.477554724260699e-05
1975,1.6313690139213577e-05
1976,1.6151047020684928e-05
1977,1.671902646194212e-05
1978,1.660113593970891e-05
1979,1.7327784007648006e-05
1980,1.6979856809484772e-05
1981,1.721736043691635e-05
1982,1.783202969818376e-05
1983,1.849168438639026e-05
1984,1.788012741599232e-05
1985,1.7801950889406726e-05
1986,1.7718126400723122e-05
1987,1.6848200175445527e-05
1988,1.7385673345415853e-05
1989,1.677672116784379e-05
1990,1.7431299056624994e-05
1991,1.7315722288913094e-05
1992,1.746050656947773e-05
1993,1.7816408217186108e-05
1994,1.7684911654214375e-05
1995,1.7121048585977405e-05
1996,1.7551590644870885e-05
1997,1.6702899301890284e-05
1998,1.6300387869705446e-05
1999,1.5932928363326937e-05
2000,1.4921829460945446e-05
2001,1.4527345228998456e-05
2002,1.4921471120032948e-05
2003,1.3892698007111903e-05
2004,1.3346410014491994e-05
2005,1.263856393052265e-05
2006,1.2176856216683518e-05
2007,1.1805359463323839e-05
2008,1.0923472473223228e-05
2009,1.0134403055417351e-05
2010,9.997147571993992e-06
2011,8.793345841695555e-06
2012,7.936140718811657e-06
2013,7.526918579969788e-06
2014,7.109742909960914e-06
2015,7.036522674752632e-06
2016,7.027974334050668e-06
2017,5.983488335914444e-06
2018,5.399797828431474e-06
2019,5.8892978813673835e-06
