,access
1800,1.3826133908878546e-05
1801,1.43634160849615e-05
1802,1.465577406634111e-05
1803,1.274264468520414e-05
1804,1.4847751117486041e-05
1805,1.6443420463474467e-05
1806,1.4904160707374103e-05
1807,1.659957524680067e-05
1808,1.444741792511195e-05
1809,1.4900500900694169e-05
1810,1.53426117321942e-05
1811,1.5936677300487645e-05
1812,1.590310967003461e-05
1813,1.7446345736971125e-05
1814,1.5675128452130593e-05
1815,1.6641068214084953e-05
1816,1.6922957001952454e-05
1817,1.4843550161458552e-05
1818,1.649286423344165e-05
1819,1.648835495871026e-05
1820,1.5726966012152843e-05
1821,1.608789352758322e-05
1822,1.7013218894135207e-05
1823,1.563350815558806e-05
1824,1.6479498299304396e-05
1825,1.4864093827782199e-05
1826,1.6896969100343995e-05
1827,1.7095338989747688e-05
1828,1.681964931776747e-05
1829,1.6870120816747658e-05
1830,1.7040094462572597e-05
1831,1.6845520804054104e-05
1832,1.9962111764471047e-05
1833,1.69318045664113e-05
1834,1.670264646236319e-05
1835,1.6040199625422247e-05
1836,1.690994031378068e-05
1837,1.6530972061445937e-05
1838,1.8264277969137765e-05
1839,1.6457988749607466e-05
1840,1.6254565707640722e-05
1841,1.6594209228060208e-05
1842,1.667214382905513e-05
1843,1.680585955909919e-05
1844,1.6128089555422775e-05
1845,1.6755444448790513e-05
1846,1.5785755749675445e-05
1847,1.6318792404490523e-05
1848,1.7063433915609494e-05
1849,1.6371650417568162e-05
1850,1.6676382074365392e-05
1851,1.7244226910406724e-05
1852,1.6205694919335656e-05
1853,1.6575257177464664e-05
1854,1.5993258784874342e-05
1855,1.6412841432611458e-05
1856,1.619757131265942e-05
1857,1.6545469406992197e-05
1858,1.6316073015332222e-05
1859,1.6824387785163708e-05
1860,1.5931515008560382e-05
1861,1.6172129107872024e-05
1862,1.7087098967749625e-05
1863,1.6724703527870588e-05
1864,1.6156714991666377e-05
1865,1.6303945812978782e-05
1866,1.581236210768111e-05
1867,1.5305397027987055e-05
1868,1.5277752027031966e-05
1869,1.626951780053787e-05
1870,1.5697876733611338e-05
1871,1.5547015209449455e-05
1872,1.562462784931995e-05
1873,1.5455672837560996e-05
1874,1.553259789943695e-05
1875,1.5596417142660357e-05
1876,1.5213335245789494e-05
1877,1.5804802387719974e-05
1878,1.5589183021802455e-05
1879,1.4774182091059629e-05
1880,1.5189822079264559e-05
1881,1.4984837434894871e-05
1882,1.5142086340347305e-05
1883,1.488954421802191e-05
1884,1.5752179024275392e-05
1885,1.5065560546645429e-05
1886,1.5657564290449955e-05
1887,1.4787172403885052e-05
1888,1.4790872228331864e-05
1889,1.5107609215192497e-05
1890,1.5978346709744073e-05
1891,1.583362973178737e-05
1892,1.586827784194611e-05
1893,1.5883517335169017e-05
1894,1.5498661014134996e-05
1895,1.5041443475638516e-05
