,technology
1869,1.4074835235078353e-06
1870,6.687992026854772e-07
1871,2.754127024218178e-07
1872,5.287091084937856e-07
1873,3.740038607702445e-07
1874,5.564195362239843e-07
1875,2.522625379697274e-07
1876,3.006404654115613e-07
1877,6.832223675701243e-07
1878,3.7206689285085304e-07
1879,3.963143910823419e-07
1880,5.133002787260921e-07
1881,5.496506219060393e-07
1882,4.159631714628631e-07
1883,7.223889042506926e-07
1884,5.791339958705066e-07
1885,8.031093443605641e-07
1886,5.308906452228257e-07
1887,5.157868940841581e-07
1888,5.698720428881643e-07
1889,5.710567734240612e-07
1890,8.544146794520202e-07
1891,9.267645282307058e-07
1892,6.089443900236802e-07
1893,1.2995154747841298e-06
1894,1.107674506783951e-06
1895,9.304358741246688e-07
1896,7.895625344644941e-07
1897,7.340875072259223e-07
1898,8.758528338148608e-07
1899,8.554907822144742e-07
1900,2.078255874948809e-06
1901,8.928352031034592e-07
1902,1.1411012792450492e-06
1903,9.146797879111546e-07
1904,1.1161980637552915e-06
1905,1.0001416512750438e-06
1906,1.2237437658768613e-06
1907,1.0711420372899738e-06
1908,9.98654286377132e-07
1909,9.361742741020862e-07
1910,1.16600733690575e-06
1911,9.78196794676478e-07
1912,1.0266024901284254e-06
1913,1.5408437548103393e-06
1914,1.2714046988548944e-06
1915,1.2620416782738175e-06
1916,1.2039276953146327e-06
1917,1.5084362985362532e-06
1918,1.5930115750961704e-06
1919,2.18702052734443e-06
1920,1.482434754507267e-06
1921,1.8406993831376894e-06
1922,1.7867420183392824e-06
1923,1.6676420955263893e-06
1924,1.551620243844809e-06
1925,3.135369524898124e-06
1926,2.0126458366576117e-06
1927,2.8794938771170564e-06
1928,2.535837438699673e-06
1929,2.2323297343973536e-06
1930,2.4749133444856852e-06
1931,2.6052766770590097e-06
1932,2.6102275114681106e-06
1933,3.3004773740685778e-06
1934,5.229445378063247e-06
1935,3.782233761739917e-06
1936,3.9580859265697654e-06
1937,4.155366241320735e-06
1938,3.7653965136996703e-06
1939,4.570976670947857e-06
1940,5.432568741525756e-06
1941,5.66459084438975e-06
1942,5.257892098597949e-06
1943,4.883954261458712e-06
1944,5.882619461772265e-06
1945,6.262530405365396e-06
1946,8.16597184893908e-06
1947,1.0588084478513338e-05
1948,7.891565473983064e-06
1949,1.0190968168899417e-05
1950,8.087073183560278e-06
1951,8.209983207052574e-06
1952,9.489642252447084e-06
1953,9.511429198028054e-06
1954,1.2331097423157189e-05
1955,1.3175395906728227e-05
1956,1.5649244232918136e-05
1957,1.604042154212948e-05
1958,1.9713428628165275e-05
1959,2.1226722310530022e-05
1960,2.421802309982013e-05
1961,2.559531458246056e-05
1962,3.257014031987637e-05
1963,3.158775143674575e-05
1964,3.255135379731655e-05
1965,3.652060331660323e-05
1966,4.017554965685122e-05
1967,4.789999729837291e-05
1968,4.803513365914114e-05
1969,5.249124296824448e-05
1970,5.691385376849212e-05
1971,6.0711980040650815e-05
1972,6.667107663815841e-05
1973,7.148391887312755e-05
1974,7.922739314381033e-05
1975,8.348956907866523e-05
1976,9.13683688850142e-05
1977,9.901182056637481e-05
1978,0.00010433478746563196
1979,0.00011229924712097272
1980,0.00011205444025108591
1981,0.00010882378410315141
1982,0.00011560323764570057
1983,0.00011876037024194375
1984,0.00012394969235174358
1985,0.00012583892385009676
1986,0.00012956395221408457
1987,0.0001248509797733277
1988,0.0001319478906225413
1989,0.00012527396029327065
1990,0.0001280508586205542
1991,0.00012851034989580512
1992,0.00012802757555618882
1993,0.00012622724170796573
1994,0.0001337144203716889
1995,0.00012952265387866646
1996,0.00012392496864777058
1997,0.00012526276987046003
1998,0.00012398225953802466
1999,0.00012168049579486251
2000,0.00012094499834347516
2001,0.00011906371219083667
2002,0.00011870703747263178
2003,0.00011176144471392035
2004,0.00011035752686439082
2005,0.00011064075806643814
2006,0.00010579152149148285
2007,9.964319178834558e-05
2008,9.327564475825056e-05
2009,8.816456829663366e-05
2010,8.62467713886872e-05
2011,8.475670620100573e-05
2012,8.494815847370774e-05
2013,8.595408144174144e-05
2014,7.632769120391458e-05
2015,7.784042827552184e-05
2016,8.766997780185193e-05
2017,7.578076474601403e-05
2018,7.419176836265251e-05
2019,8.648365474073216e-05
