,learn
1800,6.586462404811755e-05
1801,6.0540220147231594e-05
1802,5.472049815580249e-05
1803,4.879781772615388e-05
1804,5.622512981062755e-05
1805,5.884502024855465e-05
1806,5.8999932662118226e-05
1807,5.4161639127414674e-05
1808,5.424143819254823e-05
1809,5.2739051170647144e-05
1810,5.572168083745055e-05
1811,5.705603689420968e-05
1812,4.8711110139265656e-05
1813,5.3722720622317865e-05
1814,5.6185344874393195e-05
1815,5.737735045840964e-05
1816,5.041583062848076e-05
1817,5.8506815548753366e-05
1818,5.79731167817954e-05
1819,5.681334005203098e-05
1820,5.4733725846745074e-05
1821,5.9072910516988486e-05
1822,5.7886609283741564e-05
1823,5.737307947129011e-05
1824,5.995538958813995e-05
1825,6.043892790330574e-05
1826,5.643597251037136e-05
1827,5.662801777361892e-05
1828,5.84278313908726e-05
1829,5.766764297732152e-05
1830,6.25423199380748e-05
1831,5.97509351791814e-05
1832,4.632557829609141e-05
1833,6.157092866487801e-05
1834,5.9653793869074434e-05
1835,6.065127672627568e-05
1836,5.820474325446412e-05
1837,5.7026387366931885e-05
1838,6.0033067711628973e-05
1839,5.8566336520016193e-05
1840,5.769570998381823e-05
1841,5.978649278404191e-05
1842,6.127247615950182e-05
1843,6.004723036312498e-05
1844,6.210429273778573e-05
1845,5.856763891642913e-05
1846,5.9457539464347064e-05
1847,6.059990118956193e-05
1848,6.036741615389474e-05
1849,6.017517080181278e-05
1850,5.972341386950575e-05
1851,5.893494017072953e-05
1852,5.973649240331724e-05
1853,5.793066156911664e-05
1854,5.9166279243072495e-05
1855,5.8970214013243094e-05
1856,5.7790752180153504e-05
1857,5.777039041277021e-05
1858,5.760974818258546e-05
1859,5.869697270100005e-05
1860,5.791721923742443e-05
1861,5.841313031851314e-05
1862,5.8829213230637833e-05
1863,5.821730519528501e-05
1864,5.9150479501113296e-05
1865,5.841253005200997e-05
1866,5.5385204177582636e-05
1867,5.691845581168309e-05
1868,5.796314144390635e-05
1869,5.829583096783608e-05
1870,5.703577699023299e-05
1871,5.811176379211247e-05
1872,5.782021253253333e-05
1873,5.542116196011193e-05
1874,5.469328607432544e-05
1875,5.5125383369158953e-05
1876,5.3492429287871346e-05
1877,5.262230843072757e-05
1878,5.2750383474631235e-05
1879,5.1368999265832826e-05
1880,5.3598530939780176e-05
1881,5.276366573525593e-05
1882,5.311228960636072e-05
1883,5.18299057148397e-05
1884,5.222171239438467e-05
1885,5.1202532631577924e-05
1886,5.098169276607223e-05
1887,5.0568472943268716e-05
1888,5.168932693777606e-05
1889,5.223827247391455e-05
1890,5.1274746510898694e-05
1891,5.121418507769704e-05
1892,5.32394005858805e-05
1893,5.0476588512538e-05
1894,5.094173684483394e-05
1895,4.755903501063585e-05
