,this
1800,0.004268207587301731
1801,0.004344913177192211
1802,0.004281218629330397
1803,0.0044708759523928165
1804,0.004392776172608137
1805,0.004453030880540609
1806,0.004369216039776802
1807,0.004297985229641199
1808,0.004514607135206461
1809,0.004504379816353321
1810,0.004295238293707371
1811,0.0045606656931340694
1812,0.004608857445418835
1813,0.0044099404476583
1814,0.004351065959781408
1815,0.0043494077399373055
1816,0.0044100345112383366
1817,0.004443060141056776
1818,0.004271350335329771
1819,0.004213950131088495
1820,0.004247946664690971
1821,0.004216969478875399
1822,0.00416842196136713
1823,0.0041490052826702595
1824,0.004218407906591892
1825,0.004165958613157272
1826,0.004149239510297775
1827,0.004001538269221783
1828,0.0040955073200166225
1829,0.004162297118455172
1830,0.004130776040256023
1831,0.004015570506453514
1832,0.004257706925272942
1833,0.004080574959516525
1834,0.004032972268760204
1835,0.003943397663533688
1836,0.004096193239092827
1837,0.003995227627456188
1838,0.004027578514069319
1839,0.004053068347275257
1840,0.003963029477745295
1841,0.0039525339379906654
1842,0.0038606810849159956
1843,0.003928905352950096
1844,0.003952439408749342
1845,0.0038797403685748577
1846,0.003898285562172532
1847,0.0039034076035022736
1848,0.0039088004268705845
1849,0.0038454411551356316
1850,0.003842515405267477
1851,0.0038926880806684494
1852,0.003881563199684024
1853,0.003903683042153716
1854,0.0038226807955652475
1855,0.003763295477256179
1856,0.0037355818785727024
1857,0.003668563673272729
1858,0.003729419317096472
1859,0.0036400503013283014
1860,0.003657798282802105
1861,0.0036202361807227135
1862,0.0036173323169350624
1863,0.003558867610991001
1864,0.003618273651227355
1865,0.003592737717553973
1866,0.0035902587696909904
1867,0.00354369031265378
1868,0.0036116887349635363
1869,0.003552387934178114
1870,0.0035981242544949055
1871,0.003571935696527362
1872,0.0036331620067358017
1873,0.0035500284284353256
1874,0.003591630607843399
1875,0.003565833205357194
1876,0.0035477487836033106
1877,0.0035164097789674997
1878,0.0035429552663117647
1879,0.003503277665004134
1880,0.0034881054889410734
1881,0.003485698951408267
1882,0.003601196687668562
1883,0.0034780993591994047
1884,0.0035211420617997646
1885,0.003462804714217782
1886,0.00355357164517045
1887,0.0035199220292270184
1888,0.003496927674859762
1889,0.0035343102645128965
1890,0.0034995218738913536
1891,0.003462532302364707
1892,0.0034882721956819296
1893,0.003456092206761241
1894,0.0035212216898798943
1895,0.0034358783159404993
1896,0.0034476087894290686
1897,0.003404147457331419
1898,0.0033873540814965963
1899,0.0034034857526421547
1900,0.003394699888303876
1901,0.00335723371244967
1902,0.003370767692103982
1903,0.003397938795387745
1904,0.003374222433194518
1905,0.0033695679157972336
1906,0.0033879289403557777
1907,0.0033748082350939512
1908,0.003376389155164361
1909,0.0034629562869668007
1910,0.003334039356559515
1911,0.0033959043212234974
1912,0.003443085355684161
1913,0.0034168988931924105
1914,0.0034266270231455564
1915,0.003404442686587572
1916,0.003434759797528386
1917,0.0034141605719923973
1918,0.0034572193399071693
1919,0.003425185801461339
1920,0.0034107547253370285
1921,0.0033968258649110794
1922,0.003373823594301939
1923,0.0033155097626149654
1924,0.0033863827120512724
1925,0.0032472528982907534
1926,0.0033061106223613024
1927,0.0032378549221903086
1928,0.0032409748528152704
1929,0.00324527476914227
1930,0.0032629414927214384
1931,0.003171079559251666
1932,0.0032801670022308826
1933,0.00323489704169333
1934,0.003295059083029628
1935,0.003277735784649849
1936,0.0032294548582285643
1937,0.0032000234350562096
1938,0.0031966858077794313
1939,0.0032240848522633314
1940,0.003101450391113758
1941,0.0031351610086858273
1942,0.0031729494221508503
1943,0.003215466160327196
1944,0.0031990634743124247
1945,0.003233257681131363
1946,0.003228039713576436
1947,0.0032630746718496084
1948,0.0032246678601950407
1949,0.0031646394636482
1950,0.0031604962423443794
1951,0.003216393990442157
1952,0.003216125536710024
1953,0.003235716139897704
1954,0.0032527768053114414
1955,0.0032719599548727274
1956,0.003260883502662182
1957,0.003295914502814412
1958,0.003267900552600622
1959,0.003316514892503619
1960,0.0032328497618436813
1961,0.0032632204238325357
1962,0.003256160067394376
1963,0.0032617903780192137
1964,0.003287660889327526
1965,0.0032980896066874266
1966,0.003302785102277994
1967,0.003315757494419813
1968,0.0032393010333180428
1969,0.0032728752121329308
1970,0.00319569930434227
1971,0.0031710946932435036
1972,0.0031022042967379093
1973,0.003064672229811549
1974,0.003074008971452713
1975,0.0030425211880356073
1976,0.0030196181032806635
1977,0.002927300985902548
1978,0.002878722036257386
1979,0.0028675482608377934
1980,0.0028117841575294733
1981,0.00276109273545444
1982,0.0027863075956702232
1983,0.002757284790277481
1984,0.002692058216780424
1985,0.0026807980611920357
1986,0.002665955573320389
1987,0.0026898798532783985
1988,0.002731109969317913
1989,0.0026657835114747286
1990,0.002668214263394475
1991,0.002658277517184615
1992,0.0026687642093747854
1993,0.002614213852211833
1994,0.002655673073604703
1995,0.002769451355561614
1996,0.002673193346709013
1997,0.0027201541233807802
1998,0.0027181273326277733
1999,0.0027264058589935303
2000,0.0027610415127128363
2001,0.0027630457188934088
2002,0.0027664010412991047
2003,0.002821831963956356
2004,0.0028230093885213137
2005,0.002818808425217867
2006,0.002850183518603444
2007,0.0028420938178896904
2008,0.002879236126318574
2009,0.002884465269744396
2010,0.002864529611542821
2011,0.0027949996292591095
2012,0.0028147513512521982
2013,0.002884837333112955
2014,0.0028367156628519297
2015,0.0028023971244692802
2016,0.002811339683830738
2017,0.0027851895429193974
2018,0.0027782076504081488
2019,0.002893471857532859
