,map
1800,1.18339639811893e-05
1801,1.0993319847329985e-05
1802,1.3103986020723823e-05
1803,8.178115422197152e-06
1804,1.0579997251625173e-05
1805,1.0344373549742159e-05
1806,1.0805884812725708e-05
1807,9.65265371632995e-06
1808,8.954199984145816e-06
1809,1.0205748367297929e-05
1810,8.974753654911183e-06
1811,1.101546786230756e-05
1812,7.3582123150117695e-06
1813,9.823103937378619e-06
1814,1.2628372132894583e-05
1815,1.2208018233650364e-05
1816,9.996534572564997e-06
1817,1.125991821027128e-05
1818,1.17987729026936e-05
1819,1.1027736036339775e-05
1820,1.058379712048918e-05
1821,1.1220294254599139e-05
1822,1.0007404853240587e-05
1823,9.593476534064393e-06
1824,1.1755129889934324e-05
1825,9.20457659958629e-06
1826,1.0007410310208797e-05
1827,9.948888873623218e-06
1828,1.0034887964138761e-05
1829,1.3261020285426639e-05
1830,1.0561212548054755e-05
1831,1.1847933819808532e-05
1832,2.3203372620628215e-05
1833,1.1105743396910839e-05
1834,1.251560479431646e-05
1835,1.285135203943355e-05
1836,1.2960304047737736e-05
1837,1.1820877261925489e-05
1838,1.265749324375065e-05
1839,1.5203791917883791e-05
1840,1.2670808246184606e-05
1841,1.308024820900755e-05
1842,1.2807669008907396e-05
1843,1.7516442312626168e-05
1844,1.2709473594441079e-05
1845,1.3574127478932496e-05
1846,1.3226710507296957e-05
1847,1.2894501196569763e-05
1848,1.2865431926911697e-05
1849,1.3838290215062443e-05
1850,1.61405678227311e-05
1851,1.5296471246983856e-05
1852,1.6215475625358522e-05
1853,1.4484493476629723e-05
1854,1.5485282347071916e-05
1855,1.6708729162928648e-05
1856,1.7570453564985655e-05
1857,1.704144960967824e-05
1858,1.680008790572174e-05
1859,1.821282239689026e-05
1860,1.753433571138885e-05
1861,1.776446333678905e-05
1862,1.8425047528580762e-05
1863,1.6877131201908924e-05
1864,1.6309342754539102e-05
1865,1.575868736836128e-05
1866,1.66651516337879e-05
1867,1.644076473894529e-05
1868,1.581859942234587e-05
1869,1.883829099824652e-05
1870,1.8734544937615283e-05
1871,1.84397904376965e-05
1872,1.986067400139291e-05
1873,2.274534745083656e-05
1874,2.2777128833695315e-05
1875,2.2043159333406948e-05
1876,2.426886567263864e-05
1877,2.357506673433818e-05
1878,2.505091470084153e-05
