,jobs
1800,9.603686521586496e-07
1801,7.007532190073107e-07
1802,5.80343453293608e-07
1803,4.6106356421660166e-07
1804,4.6805519104964333e-07
1805,5.743497695220867e-07
1806,7.174439247137343e-07
1807,8.926568852984929e-07
1808,6.198501978360582e-07
1809,6.243985239962058e-07
1810,5.448120532491885e-07
1811,6.919677844052785e-07
1812,1.1676887652356527e-06
1813,1.0221275488220272e-06
1814,9.663649507274386e-07
1815,6.149124942567141e-07
1816,5.580787387771124e-07
1817,6.348147962853545e-07
1818,6.732885253768472e-07
1819,6.176809961289109e-07
1820,4.605822709891072e-07
1821,5.526806603484147e-07
1822,8.86905183961062e-07
1823,6.283531206463522e-07
1824,6.272161954257172e-07
1825,9.38885989398841e-07
1826,8.033065910240111e-07
1827,6.637599767600477e-07
1828,7.028498885119916e-07
1829,5.773234192929522e-07
1830,6.60258820062154e-07
1831,9.445292334930855e-07
1832,5.747100658481941e-06
1833,9.199747523780388e-07
1834,1.0774851944006514e-06
1835,1.1444087704148842e-06
1836,9.347261311631883e-07
1837,8.209669317693624e-07
1838,8.973202056949958e-07
1839,8.569734859520395e-07
1840,8.310237831210543e-07
1841,9.718556839288794e-07
1842,7.930527203825477e-07
1843,6.423295531021722e-07
1844,6.838212129878229e-07
1845,6.487791210929572e-07
1846,6.940408070477133e-07
1847,6.843907272013894e-07
1848,5.914389475947246e-07
1849,7.295565183085273e-07
1850,6.762357998013613e-07
1851,7.499320986426028e-07
1852,7.67024403103278e-07
1853,6.17725902429811e-07
1854,8.290754180961812e-07
1855,7.705077678110683e-07
1856,6.746173539795564e-07
1857,7.51215168293129e-07
1858,6.905555096636817e-07
1859,1.0026236623161822e-06
1860,8.693041309015825e-07
1861,8.499974342157657e-07
1862,8.52158450470597e-07
1863,7.087643325576209e-07
1864,7.797421517352632e-07
1865,7.426131105603417e-07
1866,7.986547529981181e-07
1867,8.225163128372515e-07
1868,8.073999424595968e-07
1869,1.1201029792573536e-06
1870,8.164129781107476e-07
1871,7.315061338886153e-07
1872,9.327226280220202e-07
1873,8.065474617069412e-07
1874,1.357106953037146e-06
1875,7.653874831703433e-07
1876,8.991907520794484e-07
1877,7.725197406216466e-07
1878,9.117745207731787e-07
1879,8.642712714390655e-07
1880,9.314271096627635e-07
1881,8.562256539335067e-07
1882,9.846743296293425e-07
1883,8.856055160322285e-07
1884,1.0181798870689818e-06
1885,1.040185452438891e-06
1886,1.422004515916342e-06
1887,9.538320000501699e-07
1888,1.1066285878769122e-06
1889,1.0932541272268281e-06
1890,1.4215742112355656e-06
1891,1.1303390010652947e-06
1892,1.235658828591113e-06
1893,1.254362700819911e-06
1894,1.5365848184956121e-06
1895,1.4550349760611425e-06
1896,1.3001709930904326e-06
1897,1.3625542578665772e-06
