,teen
1931,7.909873716016591e-07
1932,7.612795229761105e-07
1933,7.90002786743571e-07
1934,7.227718583635578e-07
1935,7.626365459145745e-07
1936,8.212294346776616e-07
1937,7.794554903739481e-07
1938,8.361153049918357e-07
1939,8.235320478888752e-07
1940,8.706311405148881e-07
1941,1.0137854360436904e-06
1942,1.32139973629819e-06
1943,1.6708358998585027e-06
1944,2.158105871785665e-06
1945,2.281801243952941e-06
1946,2.395113597231102e-06
1947,2.442178356432123e-06
1948,2.504478970877244e-06
1949,2.3288973807211732e-06
1950,2.4876526367734186e-06
1951,3.045167886739364e-06
1952,3.13785812977585e-06
1953,3.2350653782486916e-06
1954,3.853192993119592e-06
1955,4.072682258993154e-06
1956,4.019033440272324e-06
1957,3.785442004300421e-06
1958,3.8128580399643397e-06
1959,3.315782578283688e-06
1960,3.4989300274901325e-06
1961,3.2791861031000735e-06
1962,2.885443336708704e-06
1963,3.0140358830976766e-06
1964,2.9121194984327303e-06
1965,2.9646098482771777e-06
1966,3.1075826427695574e-06
1967,2.989142330989125e-06
1968,3.2087514227896463e-06
1969,2.862144810933387e-06
1970,2.82668861473212e-06
1971,2.51095343628549e-06
1972,2.510260401322739e-06
1973,2.249878889415413e-06
1974,2.117908479704056e-06
1975,2.1669050056516426e-06
1976,2.058885456790449e-06
1977,1.9342578525538556e-06
1978,2.0024383502459386e-06
1979,1.7035706605383893e-06
1980,1.6747587778809248e-06
1981,1.7869836028694408e-06
1982,1.8492795561542152e-06
1983,1.97378335542453e-06
1984,1.8138091490982333e-06
1985,2.0796803710254608e-06
1986,2.145867938452284e-06
1987,2.3568575215904275e-06
1988,2.7561029583011987e-06
1989,2.422201532681356e-06
1990,2.455163212289335e-06
1991,2.403577354925801e-06
1992,2.4741825654928107e-06
1993,2.505988732082187e-06
1994,2.8827000733144814e-06
1995,2.944837433460634e-06
1996,3.509903081067023e-06
1997,3.7416732538986253e-06
1998,3.6068386179977097e-06
1999,3.7785641779919388e-06
2000,3.850112989312038e-06
2001,4.026170245197136e-06
2002,3.5284060686535668e-06
2003,3.7029601571703097e-06
2004,3.9784695218259e-06
2005,3.862347057292936e-06
2006,4.109477686142782e-06
2007,4.111643193027703e-06
2008,4.239561803842662e-06
2009,4.449824245966738e-06
2010,4.6086897782515734e-06
2011,5.107590368425008e-06
2012,4.466467999009183e-06
2013,4.437349616637221e-06
2014,5.37428468305734e-06
2015,4.562331469060155e-06
2016,4.671169790526619e-06
2017,4.565593826555414e-06
2018,4.095285476068966e-06
2019,3.9344345168501604e-06
