,teen
1800,2.039791297647753e-06
1801,2.1589680727629457e-06
1802,2.233060513390228e-06
1803,1.9537569642125163e-06
1804,2.164755187550327e-06
1805,2.1545713480009e-06
1806,2.1326757178030675e-06
1807,1.9881904336216394e-06
1808,1.7450328186896513e-06
1809,1.5709504168626154e-06
1810,1.6915536207307014e-06
1811,1.5618701354469522e-06
1812,1.4653101061412599e-06
1813,1.777281568138278e-06
1814,1.493025706622575e-06
1815,1.7160737115773372e-06
1816,1.519440615993517e-06
1817,1.6045895563365775e-06
1818,1.6210299236263381e-06
1819,1.877004706329899e-06
1820,1.422527589056699e-06
1821,1.6643081153233652e-06
1822,1.2824880286643747e-06
1823,1.2525791817097343e-06
1824,1.1140512015117565e-06
1825,1.3965383232061868e-06
1826,1.2487140566008748e-06
1827,1.0702776762627764e-06
1828,1.2993416476092534e-06
1829,1.3520649417841923e-06
1830,1.253906134479621e-06
1831,1.1476454346848186e-06
1832,1.1333835345794796e-06
1833,1.3222552297520451e-06
1834,1.3128802720530075e-06
1835,1.0454650691826828e-06
1836,1.2441845456123701e-06
1837,1.0192316040047444e-06
1838,1.3582964584202273e-06
1839,1.2752143447869457e-06
1840,1.117789338422881e-06
1841,1.1855678394567803e-06
1842,1.0980729712173343e-06
1843,1.0994734793712269e-06
1844,1.064429397956701e-06
1845,1.0702301551646087e-06
1846,1.07640596525016e-06
1847,1.1256918241997482e-06
1848,1.090377963919309e-06
1849,1.02585329386784e-06
1850,1.1475644896563608e-06
1851,1.2169648471171968e-06
1852,1.2571827028295957e-06
1853,1.1208120440642233e-06
1854,1.2691256188190891e-06
1855,1.2776908988598734e-06
1856,1.294508592764032e-06
1857,1.1771983281505527e-06
1858,1.2590969618031522e-06
1859,1.342165887763258e-06
1860,1.1664848216241808e-06
1861,1.2689478126048925e-06
1862,1.2556328101709369e-06
1863,1.1950791076742462e-06
1864,1.1992686950179632e-06
1865,1.1595529940677807e-06
1866,1.3059175216767471e-06
1867,1.1980057479377137e-06
1868,1.4482426422546268e-06
1869,1.1947352049901383e-06
1870,1.314306928179576e-06
1871,1.2010879117951845e-06
1872,1.2491722145568929e-06
1873,1.2943785350216785e-06
1874,1.1727698847607826e-06
1875,1.2022603641526075e-06
1876,1.152591607933573e-06
1877,1.1725497870429535e-06
1878,1.2167289469289244e-06
1879,1.1425231605244335e-06
1880,1.2252658052602783e-06
1881,1.273289512937481e-06
1882,1.2371360753604677e-06
1883,1.2465696954677696e-06
1884,1.1361720453351154e-06
1885,1.1180007959410432e-06
1886,1.1865777196362615e-06
1887,1.2212295814606478e-06
1888,1.2013024388579652e-06
1889,1.1840206752822269e-06
1890,1.2534768529803841e-06
1891,1.6580825104028918e-06
1892,1.2975791605640552e-06
1893,1.1341322760927142e-06
1894,1.1155608490298619e-06
1895,1.1539607385202544e-06
1896,1.1075829888795852e-06
1897,1.1089407507824944e-06
1898,1.2349377129794448e-06
1899,1.1475731298560277e-06
1900,1.4347014030136052e-06
1901,1.6293516864607227e-06
1902,1.3887010936741717e-06
1903,1.4172413784763194e-06
1904,1.2942140301674954e-06
1905,1.2730171192743e-06
1906,1.1420715964050032e-06
1907,1.1458290600785404e-06
1908,1.0285381222274737e-06
1909,1.043910287990002e-06
1910,1.0084886525874026e-06
1911,1.0668704817362595e-06
1912,9.962153626474901e-07
1913,1.087489863493829e-06
1914,9.990028502215864e-07
1915,1.1081709772042814e-06
1916,1.0770193057396682e-06
1917,1.186040435641189e-06
1918,1.0422968443890568e-06
1919,1.156886128228507e-06
1920,9.571695045451634e-07
1921,1.0664098226698115e-06
1922,9.506485412202892e-07
1923,8.536352993360197e-07
1924,7.131352504075039e-07
1925,8.640608939458616e-07
1926,7.471367666767037e-07
1927,7.998783644325158e-07
1928,7.178994678724848e-07
1929,7.840112061785476e-07
1930,7.417258984787622e-07
