,food
1800,8.173848618753254e-05
1801,7.639020623173565e-05
1802,7.152942998800427e-05
1803,6.559494067914784e-05
1804,6.802727148169652e-05
1805,7.196997466962785e-05
1806,6.161663623061031e-05
1807,8.636775601189584e-05
1808,6.793994543841109e-05
1809,6.991634290898219e-05
1810,6.032036253600381e-05
1811,5.2694995247293264e-05
1812,4.324374458519742e-05
1813,6.037265120539814e-05
1814,5.868739390280098e-05
1815,6.068751827115193e-05
1816,5.045113357482478e-05
1817,6.495150591945276e-05
1818,6.329858297249302e-05
1819,6.69238725095056e-05
1820,5.870504901395179e-05
1821,5.9520320064621046e-05
1822,6.463571480708197e-05
1823,6.709552690153942e-05
1824,6.573081918759272e-05
1825,5.723099457100034e-05
1826,6.180544733069837e-05
1827,6.242817471502349e-05
1828,6.595089507754892e-05
1829,6.993659917498007e-05
1830,6.832727376604453e-05
1831,7.278590055648237e-05
1832,5.9721540310420096e-05
1833,7.159391680033877e-05
1834,8.00167690613307e-05
1835,8.00937123131007e-05
1836,7.409739919239655e-05
1837,6.878970452817157e-05
1838,7.66985904192552e-05
1839,7.006638043094426e-05
1840,7.230503251776099e-05
1841,7.157111394917592e-05
1842,8.401107334066182e-05
1843,8.012558100745082e-05
1844,7.449879194609821e-05
1845,7.513492164434865e-05
1846,8.206482016248628e-05
1847,9.123807103605941e-05
1848,8.151298970915377e-05
1849,7.848393579479307e-05
1850,8.183556201402098e-05
1851,7.796575664542615e-05
1852,7.613968045916408e-05
1853,6.968573143240064e-05
1854,7.260438724188134e-05
1855,7.97742759459652e-05
1856,7.899407501099631e-05
1857,7.499672938138247e-05
1858,7.846680091461167e-05
1859,8.163938036886975e-05
1860,8.01296264398843e-05
1861,7.984613330336288e-05
1862,7.713356171734631e-05
1863,7.828856905689463e-05
1864,7.758710853522643e-05
1865,8.176662231562659e-05
1866,8.116872049868107e-05
1867,8.126295870169997e-05
1868,8.119693666230887e-05
1869,8.007605356397107e-05
1870,8.068815805017948e-05
1871,8.210246596718207e-05
1872,7.438477041432634e-05
1873,7.660308619961143e-05
1874,7.879002805566415e-05
1875,8.172819070750847e-05
1876,7.653170177945867e-05
1877,7.72247149143368e-05
1878,8.054757199715823e-05
1879,8.317932952195406e-05
1880,8.548259938834235e-05
1881,8.219486335292459e-05
1882,8.264127973234281e-05
1883,9.060961747309193e-05
1884,9.580303594702855e-05
1885,9.144829527940601e-05
1886,8.694037387613207e-05
1887,8.261816401500255e-05
1888,8.760467608226463e-05
1889,8.97594218258746e-05
1890,9.047413914231583e-05
1891,8.611028169980273e-05
1892,9.132901323027909e-05
