,send
1800,6.476932321675122e-05
1801,7.735019607935101e-05
1802,6.00318999204319e-05
1803,9.647179103922099e-05
1804,7.212275522761047e-05
1805,7.024388469289988e-05
1806,7.536600605817512e-05
1807,6.750237662345171e-05
1808,9.113251871895045e-05
1809,8.337801409652457e-05
1810,7.864479266572744e-05
1811,8.096022793324664e-05
1812,8.787301339907572e-05
1813,8.20905770524405e-05
1814,8.950935443863273e-05
1815,7.190967153292149e-05
1816,9.051195229403675e-05
1817,7.91397615103051e-05
1818,8.026329305721447e-05
1819,7.032111898297444e-05
1820,7.992421888047829e-05
1821,8.070641342783347e-05
1822,7.597610965603963e-05
1823,7.38299495424144e-05
1824,8.058333332883194e-05
1825,7.886379898991436e-05
1826,7.794826524332166e-05
1827,7.560291851405054e-05
1828,7.625611033290625e-05
1829,7.889423432061449e-05
1830,7.476589235011488e-05
1831,7.268936315085739e-05
1832,6.252794264582917e-05
1833,7.353927503572777e-05
1834,7.621663098689169e-05
1835,7.214007200673223e-05
1836,7.739116699667647e-05
1837,8.501717820763588e-05
1838,8.592691301601008e-05
1839,7.85031879786402e-05
1840,8.155959221767262e-05
1841,7.171055767685175e-05
1842,7.184898277046159e-05
1843,8.304146467708051e-05
1844,7.993801409611478e-05
1845,7.672791980439797e-05
1846,7.76710658101365e-05
1847,7.498051854781806e-05
1848,7.668897887924686e-05
1849,7.573280163342133e-05
1850,7.26647995179519e-05
1851,7.696546526858583e-05
1852,7.459396874764934e-05
1853,8.245561184594408e-05
1854,7.34422355890274e-05
1855,7.931522850412875e-05
1856,7.669422484468669e-05
1857,7.725496834609658e-05
1858,8.185710612451658e-05
1859,7.322423334699124e-05
1860,8.023643749766052e-05
1861,7.777637802064419e-05
1862,7.63295975048095e-05
1863,7.992086466401815e-05
1864,8.216750575229526e-05
1865,7.977982022566721e-05
1866,8.058927778620273e-05
1867,7.849937537685037e-05
1868,7.808157533872873e-05
1869,7.918821211205795e-05
1870,7.866572559578344e-05
1871,7.692263898206875e-05
1872,7.344788900809363e-05
1873,6.79959703120403e-05
1874,7.137536158552393e-05
1875,7.204847497632727e-05
1876,7.225637818919495e-05
1877,7.177868246799335e-05
1878,6.846732867415994e-05
1879,7.060004281811416e-05
1880,7.085916877258569e-05
1881,6.790420593461022e-05
1882,7.136701606214046e-05
1883,7.03806581441313e-05
1884,7.265468593686819e-05
1885,7.112145976861939e-05
1886,7.09594605723396e-05
1887,7.19545132596977e-05
1888,7.464795635314658e-05
1889,7.83272844273597e-05
1890,7.180390821304172e-05
1891,7.925264071673155e-05
1892,7.561810343759134e-05
1893,7.54271459300071e-05
1894,7.552099850727245e-05
1895,7.317048584809527e-05
1896,7.38390299375169e-05
1897,7.388628728222102e-05
1898,7.36592264729552e-05
1899,8.020937821129337e-05
1900,7.56529625505209e-05
1901,7.31844556867145e-05
1902,7.275814277818426e-05
1903,7.367555372184142e-05
1904,7.634219218743965e-05
1905,7.293067028513178e-05
1906,7.218124665087089e-05
1907,6.945055793039501e-05
1908,7.137971260817721e-05
1909,6.992146518314257e-05
1910,6.715022755088285e-05
1911,6.599167681997642e-05
1912,6.664108514087275e-05
1913,6.723510887240991e-05
1914,6.7621331254486e-05
1915,6.535111606353894e-05
1916,6.930335803190246e-05
1917,6.858213600935414e-05
1918,6.853442027932033e-05
1919,6.67874192004092e-05
1920,6.571300036739558e-05
1921,6.560463225468993e-05
1922,6.295620551100001e-05
1923,6.135730654932559e-05
1924,6.346215377561748e-05
1925,5.8739573432831094e-05
1926,6.046204725862481e-05
1927,6.15143944742158e-05
1928,6.036781269358471e-05
1929,6.13865049672313e-05
1930,6.043617759132758e-05
1931,5.896815491723828e-05
1932,5.727650204789825e-05
1933,5.125355164636858e-05
1934,5.282551501295529e-05
1935,5.148044874658808e-05
1936,5.2658419008366764e-05
1937,5.016400245949626e-05
1938,5.054880602983758e-05
1939,5.1381422963459045e-05
1940,4.9915190174942836e-05
1941,4.9675181799102575e-05
1942,5.12662336404901e-05
1943,5.0589278544066474e-05
1944,5.2044539188500494e-05
1945,5.052567212260328e-05
1946,5.32116464455612e-05
1947,4.7759127483004704e-05
1948,4.801183968083933e-05
1949,4.4590655306819826e-05
1950,4.748977880808525e-05
1951,5.116636384627782e-05
1952,4.9831218348117545e-05
1953,4.864903894485906e-05
1954,4.697299300460145e-05
1955,4.666018867283128e-05
1956,4.8012483603088185e-05
1957,4.6282399125630036e-05
1958,4.79527261632029e-05
1959,4.4517993956105784e-05
1960,4.220464688842185e-05
1961,4.33662353316322e-05
1962,4.241849819663912e-05
1963,4.1977786167990416e-05
1964,4.4244268792681396e-05
1965,4.810453538084403e-05
1966,4.60404044133611e-05
1967,4.670552516472526e-05
1968,4.711689325631596e-05
1969,4.756946145789698e-05
1970,4.5415788918035105e-05
1971,4.3826683395309374e-05
1972,4.212955536786467e-05
1973,3.990267578046769e-05
1974,3.956037471652962e-05
1975,3.82410034944769e-05
1976,3.800606282311492e-05
1977,3.732869663508609e-05
1978,3.861098593915813e-05
1979,3.854683745885268e-05
1980,3.8345559005392715e-05
1981,3.876511982525699e-05
1982,3.875829133903608e-05
1983,3.913779801223427e-05
1984,4.080133294337429e-05
1985,4.5183373003965244e-05
1986,4.127676584175788e-05
1987,4.072477895533666e-05
1988,4.127525971853174e-05
1989,4.0140977944247425e-05
1990,4.13805028074421e-05
1991,4.178686504019424e-05
1992,4.163364428677596e-05
1993,4.1262086597271264e-05
1994,4.176222500973381e-05
1995,4.2296553147025406e-05
1996,4.3139123590663075e-05
1997,4.365624045021832e-05
1998,4.3117619497934356e-05
1999,4.422186975716613e-05
2000,4.522184462985024e-05
2001,4.513797830441035e-05
2002,4.418749449541792e-05
2003,4.553690814645961e-05
2004,4.736247501568869e-05
2005,4.583076588460244e-05
2006,4.7343302867375314e-05
2007,4.637255915440619e-05
2008,4.875127342529595e-05
2009,5.0449951231712475e-05
2010,5.2017720008734614e-05
2011,5.246973523753695e-05
2012,4.631201591109857e-05
2013,4.594422716763802e-05
2014,5.1699938921956345e-05
2015,5.144987881067209e-05
2016,4.72476749564521e-05
2017,5.590133150690235e-05
2018,5.66383678233251e-05
2019,5.4959898989181966e-05
