,medical
1800,2.0437597413547337e-05
1801,2.3375994715024717e-05
1802,2.0825076717301272e-05
1803,2.1344361812225543e-05
1804,2.3727798179606907e-05
1805,2.5669483875390142e-05
1806,2.248891905765049e-05
1807,2.193416003137827e-05
1808,1.9453480490483344e-05
1809,1.855820846685674e-05
1810,2.1234489395283163e-05
1811,1.8152621123590507e-05
1812,1.7091062545659952e-05
1813,1.954094295797404e-05
1814,2.4080371076706797e-05
1815,2.5303314032498747e-05
1816,1.7730881154420786e-05
1817,2.6115170840057544e-05
1818,2.6375873858341947e-05
1819,2.7723759558284655e-05
1820,2.343212327104993e-05
1821,2.3970798793016e-05
1822,2.0802819562959485e-05
1823,2.5153729438898154e-05
1824,2.3574149963678792e-05
1825,2.484598007868044e-05
1826,2.6834568416234106e-05
1827,3.150747579638846e-05
1828,3.4748969483189285e-05
1829,3.205969915143214e-05
1830,3.131178527837619e-05
1831,3.759272658498958e-05
1832,3.5985420254291967e-05
1833,3.579895928851329e-05
1834,3.674113759188913e-05
1835,3.9193018892547116e-05
1836,4.4575295760296285e-05
1837,3.90982604585588e-05
1838,3.911436579073779e-05
1839,3.692079189931974e-05
1840,3.626635589171201e-05
1841,3.764859138755128e-05
1842,4.276331310393289e-05
1843,3.845458559226245e-05
1844,4.528013232629746e-05
1845,4.340902887634002e-05
1846,4.0677125070942566e-05
1847,4.621039624908008e-05
1848,4.855639053857885e-05
1849,4.606888978742063e-05
1850,4.309878931962885e-05
1851,4.057748810737394e-05
1852,4.523036477621645e-05
1853,4.311022348701954e-05
1854,3.7770543713122606e-05
1855,4.76338027510792e-05
1856,4.2486364691285416e-05
1857,4.6968092647148296e-05
1858,4.4976884964853525e-05
1859,4.55727604276035e-05
1860,4.209858161630109e-05
1861,4.8675661673769355e-05
1862,4.596111102728173e-05
1863,4.755168265546672e-05
1864,4.887860268354416e-05
1865,4.7005771193653345e-05
1866,4.630961120710708e-05
1867,4.878230538452044e-05
1868,5.243486521067098e-05
1869,5.074372893432155e-05
1870,5.5151886044768617e-05
1871,5.2375464292708784e-05
1872,5.15907013323158e-05
1873,5.722377318306826e-05
1874,5.6578977819299325e-05
1875,5.536646494874731e-05
1876,5.329637133399956e-05
1877,5.666044307872653e-05
1878,5.62006352993194e-05
1879,5.742077701142989e-05
1880,5.1385075494181365e-05
1881,5.432041871245019e-05
1882,5.245022111921571e-05
1883,5.5671825975878164e-05
1884,5.811469236505218e-05
1885,5.544948362512514e-05
1886,5.681901893694885e-05
1887,5.343188968254253e-05
1888,5.3727660997537896e-05
1889,5.493133357958868e-05
1890,5.769552444689907e-05
1891,5.852755202795379e-05
1892,5.433674596133642e-05
1893,5.463631168822758e-05
1894,6.0168775235069916e-05
1895,5.791967123514041e-05
1896,6.256577034946531e-05
1897,6.39655117993243e-05
1898,6.559515168191865e-05
1899,6.244268297450617e-05
1900,7.075562461977825e-05
1901,6.324925197986886e-05
1902,6.243226380320266e-05
1903,6.18350604781881e-05
1904,6.778459646739066e-05
1905,6.679000944131985e-05
1906,6.434797251131386e-05
1907,6.482018943643197e-05
1908,6.895996921230108e-05
1909,7.520987128373235e-05
1910,7.550435839220881e-05
1911,7.053642184473574e-05
1912,7.318850111914799e-05
1913,7.873093272792175e-05
1914,7.39676906960085e-05
1915,7.030271808616817e-05
1916,7.68202735343948e-05
1917,8.129615162033588e-05
1918,8.43887755763717e-05
1919,7.65418226365e-05
1920,8.091860945569351e-05
1921,7.536700286436826e-05
1922,7.380175520665944e-05
1923,6.100617611082271e-05
1924,6.125721847638488e-05
1925,6.270789890550077e-05
1926,6.703382678097114e-05
1927,6.835976819274947e-05
1928,6.441980804083869e-05
1929,6.384235166478902e-05
1930,7.165804709075019e-05
1931,6.721604586346075e-05
1932,7.012709829723462e-05
1933,6.99919619364664e-05
1934,6.806910096202046e-05
1935,6.502535688923672e-05
1936,6.996067531872541e-05
1937,7.81136768637225e-05
1938,7.656482921447605e-05
1939,8.398531645070761e-05
1940,8.041241380851716e-05
1941,8.121292194118723e-05
1942,8.490747131872922e-05
1943,9.455804683966562e-05
1944,0.00010390606621513143
1945,0.00010894375736825168
1946,0.0001116035200539045
1947,9.590536501491442e-05
1948,9.429371857549995e-05
1949,9.82170386123471e-05
1950,9.001503349281847e-05
1951,8.805802644928917e-05
1952,8.545011223759502e-05
1953,9.110427345149219e-05
1954,8.927829912863672e-05
1955,9.027244959725067e-05
1956,8.97408026503399e-05
1957,9.071586828213185e-05
1958,9.257280180463567e-05
1959,9.644542296882719e-05
1960,9.994355059461668e-05
1961,9.551187395118177e-05
1962,9.28384906728752e-05
1963,8.879847155185416e-05
1964,9.453842358198017e-05
1965,9.916896669892594e-05
1966,9.344259888166562e-05
1967,9.965316712623462e-05
1968,9.173514263238758e-05
1969,9.427763143321499e-05
1970,9.95412192423828e-05
1971,0.00010662036220310256
1972,0.00010399954771855846
1973,0.00010459177428856492
1974,0.00010673601354938
1975,0.00010621790715958923
1976,0.00011695820285240188
1977,0.00010939157073153183
1978,0.0001102662572520785
1979,0.00010756814299384132
1980,0.00010945791291305795
1981,0.00010326680057914928
1982,0.00010501300857868046
1983,0.0001013671062537469
1984,0.00010020979243563488
1985,0.00010731261863838881
1986,0.0001040563074639067
1987,0.0001066264376277104
1988,0.00011249601084273309
1989,0.0001096144987968728
1990,0.00010615305654937401
1991,0.00010989949078066275
1992,0.00010853663843590766
1993,0.00011210246884729713
1994,0.00011329082917654887
1995,0.00011255240679020062
1996,0.00010798100265674293
1997,0.00011239805462537333
1998,0.00011042205733247101
1999,0.00011077182716690004
2000,0.00010622567060636356
2001,0.00010517280315980315
2002,0.00010268863843521103
2003,0.00010001860209740698
2004,0.0001006751335808076
2005,0.00010272421786794439
2006,9.738191874930635e-05
2007,9.373477223562077e-05
2008,9.28107401705347e-05
2009,9.102330659516156e-05
2010,8.793983579380438e-05
2011,8.607709605712444e-05
2012,8.275165600934997e-05
2013,8.261991752078757e-05
2014,7.753058889647946e-05
2015,8.200867159757763e-05
2016,8.387298294110224e-05
2017,7.446594099747017e-05
2018,7.236067904159427e-05
2019,7.540688966400921e-05
