,date
1800,4.7800167521927506e-05
1801,4.597427323460579e-05
1802,4.4547665311256424e-05
1803,4.050443385494873e-05
1804,4.277504558558576e-05
1805,5.676945875165984e-05
1806,4.435375740285963e-05
1807,4.6768389438511804e-05
1808,4.1277296986663714e-05
1809,4.487343903747387e-05
1810,4.5600183511851355e-05
1811,5.469181633088738e-05
1812,5.3778272558702156e-05
1813,5.0837879825849086e-05
1814,6.246753764571622e-05
1815,5.400201553129591e-05
1816,5.7999452110379934e-05
1817,6.318894156720489e-05
1818,4.9538080929778516e-05
1819,5.9795245761051774e-05
1820,4.837073356611654e-05
1821,6.406709144357592e-05
1822,4.911329597234726e-05
1823,4.9959748139372095e-05
1824,5.411337042460218e-05
1825,5.4591633670497686e-05
1826,5.948401667410508e-05
1827,6.161889177747071e-05
1828,6.144485814729705e-05
1829,6.400659185601398e-05
1830,5.8251371228834614e-05
1831,6.208870036061853e-05
1832,0.00014258103328756988
1833,5.695370782632381e-05
1834,7.03454134054482e-05
1835,6.482539174612612e-05
1836,6.123119965195656e-05
1837,7.688599725952372e-05
1838,6.800924893468618e-05
1839,6.8162233219482e-05
1840,6.948345253476873e-05
1841,7.026906678220257e-05
1842,7.330035441555083e-05
1843,7.320175791392103e-05
1844,6.860255234641954e-05
1845,7.040274795144796e-05
1846,7.495916361222044e-05
1847,7.679714326513931e-05
1848,7.807367364875972e-05
1849,8.113782678265125e-05
1850,7.18048686394468e-05
1851,7.669749902561307e-05
1852,7.591886242153123e-05
1853,7.752842793706805e-05
1854,8.158283890224993e-05
1855,8.11988502391614e-05
1856,8.169018110493198e-05
1857,8.685673674335703e-05
1858,9.297067299485207e-05
1859,8.937718666857108e-05
1860,8.60718937474303e-05
1861,9.601705096429214e-05
1862,9.814451186684892e-05
1863,0.00010064196976600215
1864,0.00010091017611557618
1865,0.00010213504720013589
1866,9.94592483039014e-05
1867,9.547650552121922e-05
1868,9.848328772932291e-05
1869,9.96566450339742e-05
1870,0.00010148838919121772
1871,0.00010309782373951748
1872,0.00010603000555420294
1873,0.00010908051626756787
1874,0.00011100186384283006
1875,0.00011553824879229069
1876,0.00011478867963887751
1877,0.00011922202247660607
1878,0.0001201938939630054
1879,0.00011951763008255512
1880,0.0001233435032190755
1881,0.0001220841659232974
1882,0.0001221196580445394
1883,0.0001216566888615489
1884,0.00012820359552279115
1885,0.00012920214794576168
1886,0.00013482352369464934
1887,0.0001484481617808342
1888,0.0001310813386226073
1889,0.0001456882309867069
1890,0.00013749788922723383
1891,0.0001384619827149436
1892,0.00013875853619538248
1893,0.00013403584307525307
1894,0.0001386738586006686
1895,0.00015205728414002806
1896,0.00014358657062985003
1897,0.00015072949463501573
1898,0.00014664488844573498
1899,0.0001418519241269678
1900,0.0001489596616011113
1901,0.00015449736383743584
1902,0.0001561824610689655
1903,0.00015087611973285675
1904,0.00015586359950248152
1905,0.00015196981257759035
1906,0.00016421741747763008
1907,0.0001636076340219006
1908,0.00016186715220101178
1909,0.00016335371765308082
1910,0.00016604231495875865
1911,0.00017011736053973436
1912,0.00017122334975283593
1913,0.00017737096641212702
1914,0.00017867091810330749
1915,0.00018222395738121122
1916,0.00017209620273206383
1917,0.00017199837020598352
1918,0.00017629555077292025
1919,0.0001838599710026756
1920,0.00017986918101087213
1921,0.0001865974481916055
1922,0.00018577433365862817
1923,0.00018186117813456804
1924,0.00018027170153800398
1925,0.00018960989837069064
1926,0.00019165682897437364
1927,0.00020203570602461696
1928,0.00019054127915296704
1929,0.0001895962341222912
1930,0.00019003702618647367
1931,0.0002003797417273745
1932,0.00019644515123218298
1933,0.0002138894924428314
1934,0.00019955867901444435
1935,0.00019893476564902812
1936,0.00020956659864168614
1937,0.0002203787735197693
1938,0.00022909854305908084
1939,0.0002545209426898509
1940,0.00024220842169597745
1941,0.00025856916909106076
1942,0.00022459788306150585
1943,0.00022470377734862268
1944,0.00021738027862738818
1945,0.00022773236560169607
1946,0.00021668126282747835
1947,0.0002057334058918059
1948,0.0002097069373121485
1949,0.00020786936511285603
1950,0.00019203660485800356
1951,0.00020485470304265618
1952,0.00018806148727890104
1953,0.00020078050147276372
1954,0.000210886137210764
1955,0.00019771888037212193
1956,0.0001846254599513486
1957,0.0001960506197065115
1958,0.00018284124962519854
1959,0.00019348044588696212
1960,0.00017765194934327155
1961,0.00018415212980471551
1962,0.0001740490406518802
1963,0.00017624316387809813
1964,0.00017339808982796967
1965,0.00017336526070721447
1966,0.00017100106924772263
1967,0.00017684722843114287
1968,0.00016564065299462527
1969,0.00017228868091478944
1970,0.00017363870574627072
1971,0.00017927118460647762
1972,0.00017724852659739554
1973,0.000186443081474863
1974,0.00018123209883924574
1975,0.000191554514458403
1976,0.00018936551350634545
1977,0.00018470079521648586
1978,0.00018512674432713538
1979,0.0001869839761639014
1980,0.0001800115715013817
1981,0.00018397328676655889
1982,0.00018112038378603756
1983,0.0001740508305374533
1984,0.00017049977032002062
1985,0.000172399973962456
1986,0.00017159471462946385
1987,0.0001783916086424142
1988,0.00017984352598432451
1989,0.0001749770890455693
1990,0.00017457171634305269
1991,0.0001687835028860718
1992,0.00017831104923970997
1993,0.0001719007414067164
1994,0.00017075698997359723
1995,0.00018702959641814232
1996,0.00017241032037418336
1997,0.00017765157099347562
1998,0.00017013336764648557
1999,0.00017017271602526307
2000,0.0001626102312002331
2001,0.000169255756190978
2002,0.0001518629869678989
2003,0.00015068014909047633
2004,0.00014573078078683466
2005,0.00014523716527037323
2006,0.0001417141902493313
2007,0.00013645972649101168
2008,0.0001319018192589283
2009,0.00011923771671717986
2010,0.00010871698032133281
2011,0.00010029096301877871
2012,9.075311390915886e-05
2013,8.587237971369177e-05
2014,8.719880133867264e-05
2015,8.198310388252139e-05
2016,8.10780402389355e-05
2017,7.16514332452789e-05
2018,6.9761423219461e-05
2019,7.033620931906626e-05
