,including
1800,3.423992166062817e-05
1801,3.0160743335727602e-05
1802,2.8899419703520834e-05
1803,2.9306353098945692e-05
1804,2.5905554139171727e-05
1805,2.8568581910803914e-05
1806,2.4339038645848632e-05
1807,2.9978749807924032e-05
1808,2.5710149202495813e-05
1809,2.5913443096214905e-05
1810,2.5433351765968837e-05
1811,2.5138200726360083e-05
1812,3.0087616323726252e-05
1813,3.182935688528232e-05
1814,3.762588676181622e-05
1815,3.704847767949104e-05
1816,3.386220851098187e-05
1817,3.620492134359665e-05
1818,3.536251824698411e-05
1819,3.720196764334105e-05
1820,3.0356450224644504e-05
1821,2.9041424568276852e-05
1822,3.2582982385065407e-05
1823,3.2281255698762834e-05
1824,3.1340114219347015e-05
1825,3.075965287280269e-05
1826,3.462280801613815e-05
1827,3.253738032071851e-05
1828,3.644892785814591e-05
1829,3.586787715903483e-05
1830,3.5601271520135924e-05
1831,3.877280687447637e-05
1832,8.455169154331088e-05
1833,3.922201358363964e-05
1834,4.460866693989374e-05
1835,5.032537228544243e-05
1836,4.161927427048795e-05
1837,4.259085835656151e-05
1838,4.3497744627529755e-05
1839,4.297582927392796e-05
1840,4.475385503610596e-05
1841,4.878405889030546e-05
1842,4.642408748622984e-05
1843,4.5984761527506635e-05
1844,4.4814292778028175e-05
1845,4.6843215386616066e-05
1846,5.04483214172069e-05
1847,5.0572452892083675e-05
1848,4.9788788601290435e-05
1849,5.0579084927449e-05
1850,5.1935247029177845e-05
1851,5.564312232309021e-05
1852,5.178336505196057e-05
1853,4.881197673967108e-05
1854,5.337445327313617e-05
1855,5.6295910326298326e-05
1856,5.6947905250126496e-05
1857,5.276323281577788e-05
1858,5.8682519011199474e-05
1859,6.476837734226137e-05
1860,5.731140117859468e-05
1861,6.45324689685367e-05
1862,6.479943840531632e-05
1863,6.687063432764262e-05
1864,6.498272705357522e-05
1865,6.659141217824072e-05
1866,6.477825081674382e-05
1867,6.572086567757651e-05
1868,7.026329694781452e-05
1869,7.246233144542202e-05
1870,7.107087731128559e-05
1871,7.040621130727232e-05
