,library
1800,1.912403604364954e-05
1801,2.0528425011434592e-05
1802,2.38277243624907e-05
1803,1.7923846826306544e-05
1804,2.276893428643234e-05
1805,2.0138708350714296e-05
1806,2.587466406112071e-05
1807,2.403126381977927e-05
1808,1.906448414956685e-05
1809,1.8692138837650418e-05
1810,2.2700503905070946e-05
1811,2.2197336875251494e-05
1812,2.5011589968926273e-05
1813,2.8935364753124304e-05
1814,3.92698566429317e-05
1815,2.7191495973966084e-05
1816,2.3349688490270637e-05
1817,3.190748975612223e-05
1818,2.2127938791527413e-05
1819,2.5339564672322012e-05
1820,2.3530476028099656e-05
1821,2.7182863050256856e-05
1822,2.249141107313335e-05
1823,2.5118648409261368e-05
1824,2.7964664695900865e-05
1825,2.5108867703238502e-05
1826,2.02507981157396e-05
1827,3.101927723037079e-05
1828,2.2690617697662674e-05
1829,2.749171108007431e-05
1830,2.1999354430590756e-05
1831,2.716197195695713e-05
1832,1.7721908079693094e-05
1833,2.4557788492529653e-05
1834,2.3500491806771606e-05
1835,2.6666511985240504e-05
1836,2.420357668597717e-05
1837,2.8436737920856103e-05
1838,2.5587114578229375e-05
1839,2.6626077669789083e-05
1840,2.5632720280555077e-05
1841,2.505453630874399e-05
1842,2.858596963051241e-05
1843,2.395984483882785e-05
1844,2.2759588318876922e-05
1845,2.3645103283342905e-05
1846,2.4885861421353184e-05
1847,2.524485535104759e-05
1848,2.2568581698578782e-05
1849,3.030170591955539e-05
1850,3.649127756943926e-05
1851,3.3094627724494785e-05
1852,2.519782356102951e-05
1853,2.7911974029848352e-05
1854,2.8873339033452794e-05
1855,2.8159103749203496e-05
1856,2.7208665414946154e-05
1857,2.8856560675194487e-05
1858,2.6660072762751952e-05
1859,3.772502168430947e-05
1860,2.594535908428952e-05
1861,2.7749916625907645e-05
1862,2.5882925910991617e-05
1863,2.7614056307356805e-05
1864,2.6730287572718225e-05
1865,2.5498853574390523e-05
1866,2.4865898012649268e-05
1867,2.6434256142238155e-05
1868,2.8814083634642884e-05
1869,2.829738696163986e-05
1870,2.649485395522788e-05
1871,2.7895730454474688e-05
1872,2.7663843866321258e-05
1873,2.940616468549706e-05
1874,3.067749275942333e-05
1875,2.9525323043344542e-05
1876,3.739710518857464e-05
1877,3.111276600975543e-05
1878,3.120419933111407e-05
1879,3.533074414008297e-05
1880,3.3732489100657403e-05
1881,3.710141754709184e-05
1882,3.233075040043332e-05
1883,3.320779069326818e-05
1884,3.2156851375475526e-05
1885,3.342749914736487e-05
1886,3.590201595216058e-05
1887,3.680198278743774e-05
1888,3.372586070327088e-05
1889,4.005720984423533e-05
1890,4.001395791419782e-05
1891,4.865315349888988e-05
1892,3.9751208532834426e-05
1893,4.339963925303891e-05
1894,4.1913830500561744e-05
1895,4.424501821631566e-05
1896,4.982929021934979e-05
1897,5.63657667953521e-05
1898,5.1291634008521214e-05
1899,5.57401217520237e-05
1900,5.132324804435484e-05
1901,5.916172813158482e-05
1902,5.265155778033659e-05
1903,5.047701779403724e-05
1904,4.847010859521106e-05
1905,5.13976119691506e-05
1906,5.515114753507078e-05
1907,5.032647823099978e-05
1908,5.176437844056636e-05
1909,5.073412830824964e-05
1910,5.1577415433712304e-05
1911,5.0077294872608036e-05
1912,4.95813692396041e-05
1913,4.923478263663128e-05
1914,5.311886707204394e-05
1915,5.223195694270544e-05
1916,5.1197701395722106e-05
1917,5.160964064998552e-05
1918,4.6198227209970355e-05
1919,4.611634722095914e-05
1920,4.37199960288126e-05
1921,4.635631194105372e-05
1922,4.562098911264911e-05
1923,5.0673224905040115e-05
1924,4.72475730930455e-05
1925,5.034359492128715e-05
1926,5.558185512199998e-05
1927,5.87740505579859e-05
1928,5.281923949951306e-05
1929,5.560381760005839e-05
1930,6.291108729783446e-05
1931,5.198370854486711e-05
1932,5.5098687880672514e-05
1933,6.0810012655565515e-05
1934,7.194169302238151e-05
1935,5.417218562797643e-05
1936,5.978919944027439e-05
1937,5.8810986956814304e-05
1938,5.960654016234912e-05
1939,5.660401438944973e-05
1940,5.944830263615586e-05
1941,5.718919055652805e-05
1942,5.220077946432866e-05
1943,5.91837742831558e-05
1944,5.087349927634932e-05
1945,4.8743924708105624e-05
