,week
1904,0.00013460185436997563
1905,0.00013522703375201672
1906,0.00013063922233413905
1907,0.00013307231711223722
1908,0.0001417251187376678
1909,0.00014257803559303284
1910,0.00014000835653860122
1911,0.00014494816423393786
1912,0.00014829254359938204
1913,0.00015843240544199944
1914,0.00015575021097902209
1915,0.00016462287749163806
1916,0.00016726157627999783
1917,0.00016334422980435193
1918,0.00017210192163474858
1919,0.00018087177886627614
1920,0.00018264155369251966
1921,0.00018866041500587016
1922,0.0001810354006011039
1923,0.00015353839262388647
1924,0.00015140605682972819
1925,0.00014037701475899667
1926,0.0001464738743379712
1927,0.00014265888603404164
1928,0.00014332997670862824
1929,0.00014510913752019405
1930,0.0001493928284617141
1931,0.00015338863886427134
1932,0.00015555854770354927
1933,0.0001771883835317567
1934,0.00016741498257033527
1935,0.00014889865997247398
1936,0.00014975614612922072
1937,0.00014598402776755393
1938,0.00015562788757961243
1939,0.00015177451132331043
1940,0.00015590235125273466
1941,0.00015278818318620324
1942,0.00015854915545787662
1943,0.00014932785416021943
1944,0.00014649251534137875
1945,0.0001466394169256091
1946,0.00014700042083859444
1947,0.00014219108561519533
1948,0.0001463025837438181
1949,0.00013551066513173282
1950,0.00013397012662608176
1951,0.00013270576891954988
1952,0.00013027545355726033
1953,0.00012510869419202209
1954,0.00012042333401041105
1955,0.00012701452942565084
1956,0.00012069532385794446
1957,0.0001222948485519737
1958,0.00011830066796392202
1959,0.00011260952305747196
1960,0.0001150187526945956
1961,0.00011072593770222738
1962,0.00010580053640296683
1963,0.00010705693421186879
1964,0.0001049581915140152
1965,0.0001021085845422931
1966,0.0001036055909935385
1967,0.00010114874748978764
1968,0.0001042210788000375
1969,9.91224151221104e-05
1970,0.00010113776079379022
1971,9.821286221267655e-05
1972,0.0001011197964544408
1973,9.69549801084213e-05
1974,0.00010045835369965062
1975,9.721721289679408e-05
1976,9.194482845487073e-05
1977,9.336457878816873e-05
1978,9.058327123057097e-05
1979,9.084825433092192e-05
1980,9.313711052527651e-05
1981,9.197176404995844e-05
1982,9.222695371136069e-05
1983,9.106760990107432e-05
1984,8.887953299563378e-05
1985,8.746418461669236e-05
1986,8.85998597368598e-05
1987,8.550944767193869e-05
1988,8.767715917201713e-05
1989,8.540762064512819e-05
1990,8.437050564680248e-05
1991,8.314107253681868e-05
1992,8.493907807860523e-05
1993,9.067294740816578e-05
1994,8.321317727677524e-05
1995,7.958890637382865e-05
1996,8.137489930959418e-05
1997,8.278700988739729e-05
1998,8.18076659925282e-05
1999,8.26137256808579e-05
2000,8.449603046756238e-05
2001,8.479386451654136e-05
2002,8.336140308529139e-05
2003,8.405299740843475e-05
2004,8.615838305559009e-05
2005,8.800861542113125e-05
2006,8.656647696625441e-05
2007,8.817611524136737e-05
2008,9.03810650925152e-05
2009,9.546848013997078e-05
2010,9.744316048454493e-05
2011,0.0001025568853947334
2012,9.415755630470812e-05
2013,9.179056360153481e-05
2014,0.0001007848622975871
2015,9.765914728632197e-05
2016,9.208494157064706e-05
2017,9.235602919943631e-05
2018,8.835501648718491e-05
2019,8.884542330633849e-05
