,may
1800,0.0015083701582625508
1801,0.00170411029830575
1802,0.0016177829820662737
1803,0.0015934472903609276
1804,0.001554463291540742
1805,0.0015740373637527227
1806,0.0016148703871294856
1807,0.0016317896079272032
1808,0.0016872722189873457
1809,0.0016958265332505107
1810,0.0016124167013913393
1811,0.0016758767887949944
1812,0.0015276927733793855
1813,0.0015767065342515707
1814,0.0014889879385009408
1815,0.0015649873530492187
1816,0.001518644974566996
1817,0.0015570325776934624
1818,0.0015861609717831016
1819,0.0016257909592241049
1820,0.0015136796282604337
1821,0.0015986142680048943
1822,0.0016138707287609577
1823,0.0016433043638244271
1824,0.0016332530649378896
1825,0.0016147816786542535
1826,0.0016064450610429049
1827,0.0015428982442244887
1828,0.0015917891869321465
1829,0.0016055257292464375
1830,0.001643404713831842
1831,0.0016035526059567928
1832,0.0015165965305641294
1833,0.0015846501337364316
1834,0.0016034995205700397
1835,0.00158815982285887
1836,0.001640221569687128
1837,0.0016398780280724168
1838,0.0016423353226855397
1839,0.0016075146850198507
1840,0.0015912902308627963
1841,0.001580449054017663
1842,0.0015901747392490506
1843,0.0016136302147060633
1844,0.0015834301011636853
1845,0.0016269689658656716
1846,0.0016166050918400288
1847,0.0016211159527301788
1848,0.0015843027504161
1849,0.0015792488120496273
1850,0.0015929489163681865
1851,0.0016347244381904602
1852,0.0015982550103217363
1853,0.0015809646574780345
1854,0.001558489864692092
1855,0.0015631185378879309
1856,0.0015493291430175304
1857,0.0015453856904059649
1858,0.0015537895960733294
1859,0.0015485899057239294
1860,0.0015749739250168204
1861,0.0015738516813144088
1862,0.0015690693398937583
1863,0.0015583947533741593
1864,0.001522877486422658
1865,0.0015239244094118476
1866,0.00154124666005373
1867,0.0015274889301508665
1868,0.001526358537375927
1869,0.0015021769795566797
1870,0.0015227447729557753
1871,0.0015457856934517622
1872,0.0015082122990861535
1873,0.0015495975967496634
1874,0.0015087882056832314
1875,0.0014880499802529812
1876,0.0014728293754160404
1877,0.0014779813354834914
1878,0.001476624864153564
1879,0.001466073445044458
1880,0.0014382879016920924
1881,0.0014622749295085669
1882,0.0014575865352526307
1883,0.0014459046069532633
1884,0.001463564345613122
1885,0.0014288706006482244
1886,0.0014291203115135431
1887,0.001439135754480958
1888,0.0013910215348005295
1889,0.001436735736206174
1890,0.0014358586631715298
1891,0.0014092529891058803
1892,0.0014214854454621673
1893,0.0014018554938957095
1894,0.0014354396844282746
1895,0.001404619193635881
1896,0.0014075603103265166
1897,0.0014108497416600585
1898,0.0014159756246954203
1899,0.0013710875064134598
1900,0.0013844984350726008
1901,0.0014105945592746139
1902,0.0013840794563293457
1903,0.0014284314820542932
1904,0.0014130390482023358
1905,0.001439405488781631
1906,0.0014023418771103024
1907,0.00145231862552464
1908,0.0013992984313517809
1909,0.0014558668481186032
1910,0.0014246250502765179
1911,0.0014357083709910512
1912,0.001425244496203959
1913,0.0014372001169249415
1914,0.0014542915159836411
1915,0.0014602839946746826
1916,0.0014311313861981034
1917,0.0014815168688073754
1918,0.0014365041861310601
1919,0.0014297579182311893
1920,0.0014153517549857497
1921,0.0014288481324911118
1922,0.001401794608682394
1923,0.0013989986618980765
1924,0.0013667753664776683
1925,0.0013755408581346273
1926,0.0013648626627400517
1927,0.0013953277375549078
1928,0.001348139368928969
1929,0.0013686974998563528
1930,0.0013850316172465682
1931,0.0014571092324331403
1932,0.0013700039125978947
1933,0.0014257233124226332
1934,0.0013862013584002852
1935,0.0014077108353376389
1936,0.0013852149713784456
1937,0.0014041108079254627
1938,0.0014205040642991662
1939,0.0014523399295285344
1940,0.0013979169307276607
1941,0.001411172212101519
1942,0.001420598360709846
1943,0.0014114275109022856
1944,0.0014066483126953244
1945,0.0014060641406103969
1946,0.00134820188395679
1947,0.0013531449949368834
1948,0.001378862070851028
1949,0.0014180677244439721
1950,0.0013831958640366793
1951,0.001349534490145743
