,uk
1800,1.1111703202004719e-07
1801,6.886014602969226e-08
1802,1.8083164832205512e-07
1803,8.933106698805204e-08
1804,8.125958572691161e-08
1805,1.1851661696482552e-07
1806,1.0073699030499483e-07
1807,1.644367983999473e-07
1808,1.3996617553857504e-07
1809,9.23023861787442e-08
1810,7.176288363552885e-08
1811,9.226236841186619e-08
1812,6.585663214764281e-08
1813,8.543155871620911e-08
1814,1.0664469130006182e-07
1815,6.516735595596401e-08
1816,9.369205145048909e-08
1817,4.680662257783297e-08
1818,3.515160784672844e-08
1819,7.055407991174434e-08
1820,7.79631434966177e-08
1821,5.3889493756287266e-08
1822,7.154158510047637e-08
1823,4.952536869495816e-08
1824,5.6692424976745315e-08
1825,4.7162643568299245e-08
1826,8.849154653489677e-08
1827,6.196344770614814e-08
1828,6.470119018331388e-08
1829,5.0598750078734156e-08
1830,7.173543536964644e-08
1831,5.715058293276343e-08
1832,4.919199625419424e-08
1833,5.070201680723585e-08
1834,6.112468753372013e-08
1835,7.867809870276687e-08
1836,5.9466827906362596e-08
1837,4.593228553062545e-08
1838,4.9851124117594736e-08
1839,5.516996637311422e-08
1840,4.7161819338725763e-08
1841,8.975907661579186e-08
1842,7.002204682748925e-08
1843,5.132287128617463e-08
1844,7.494602272117845e-08
1845,7.705316562578446e-08
1846,3.901684664242566e-08
1847,3.973579865146348e-08
1848,5.372470468500978e-08
1849,4.33716316194932e-08
1850,6.575692879096096e-08
1851,6.737521829336401e-08
1852,9.517271593040277e-08
1853,7.410052660361544e-08
1854,8.807504769947627e-08
1855,7.574123372933173e-08
1856,6.418492404236531e-08
1857,6.433936761141013e-08
1858,6.357961979119864e-08
1859,6.018525056106228e-08
1860,6.839873378794437e-08
1861,6.249981510109137e-08
1862,1.7188180834182276e-07
1863,6.83146339497398e-08
1864,6.24742710897408e-08
1865,7.683549796411171e-08
1866,8.821960761906666e-08
1867,6.164751198411977e-08
1868,1.0804546235476664e-07
1869,1.0498062152919374e-07
1870,7.804170110148334e-08
1871,8.939933593410387e-08
1872,6.317907264019595e-08
1873,8.869656653587299e-08
1874,7.555262726555156e-08
1875,6.937219865221778e-08
1876,6.935756147186112e-08
1877,7.650087496813285e-08
1878,9.406974754710973e-08
1879,6.332443547307776e-08
1880,8.342964008534182e-08
1881,7.899322440607648e-08
1882,7.600737461643803e-08
1883,7.804010238032788e-08
1884,8.219681291166125e-08
1885,1.0798871841188884e-07
1886,1.0658288118747805e-07
1887,1.1063254845566917e-07
1888,7.557661518831083e-08
1889,7.995181050546307e-08
1890,8.530606265821916e-08
1891,8.071149437682834e-08
1892,1.0258990812417323e-07
1893,6.941137087324023e-08
1894,7.850508865203665e-08
1895,7.188658912582468e-08
1896,7.781008548590762e-08
1897,8.350690450242837e-08
1898,6.935687935083479e-08
1899,6.647486117117296e-08
1900,6.059737245323049e-08
1901,8.333633871870916e-08
1902,7.292847925555179e-08
1903,6.602999036431356e-08
1904,7.917149247305133e-08
1905,6.689305820373193e-08
1906,8.524254724306957e-08
1907,6.647473327348052e-08
1908,6.723866619040564e-08
1909,5.799501678893648e-08
1910,6.358175141940592e-08
1911,7.282195468860664e-08
1912,5.5565028134196837e-08
1913,5.466856833891143e-08
1914,5.626117527413044e-08
1915,5.8622177334655134e-08
1916,6.365433335986381e-08
1917,5.2692445962065904e-08
1918,6.42649311544119e-08
1919,5.8160395610684645e-08
1920,5.142183212569762e-08
1921,5.727649110554012e-08
1922,5.220611853928858e-08
1923,5.440788086730208e-08
1924,4.978565826263548e-08
1925,6.880704006562155e-08
1926,8.524956029987152e-08
1927,5.709753736482526e-08
1928,6.248205863812473e-08
