,conditions
1800,3.4779630368575454e-05
1801,2.7386084184399806e-05
1802,3.209551505278796e-05
1803,2.840439810825046e-05
1804,3.1726991437608376e-05
1805,3.116987136309035e-05
1806,2.690906148927752e-05
1807,3.165301677654497e-05
1808,3.203771120752208e-05
1809,2.7370371753931977e-05
1810,2.768582635326311e-05
1811,3.069041849812493e-05
1812,2.8894597562612034e-05
1813,2.8557024052133784e-05
1814,3.230842048651539e-05
1815,3.0682127544423565e-05
1816,2.7584841518546455e-05
1817,2.7729998691938818e-05
1818,2.6554336727713235e-05
1819,2.7643885914585553e-05
1820,2.8256243240321055e-05
1821,2.4309174477821216e-05
1822,2.508268880774267e-05
1823,2.9503707992262207e-05
1824,2.5277622626163065e-05
1825,2.792901977954898e-05
1826,3.67180909961462e-05
1827,3.102021582890302e-05
1828,3.078447116422467e-05
1829,3.0402383345062844e-05
1830,2.9456912670866586e-05
1831,2.9250286388560198e-05
1832,7.267330511240289e-05
1833,2.9038244974799454e-05
1834,3.173021468683146e-05
1835,3.5628065234050155e-05
1836,3.516163633321412e-05
1837,3.5047498386120424e-05
1838,3.438671774347313e-05
1839,3.628607373684645e-05
1840,3.5494416806614026e-05
1841,3.685732008307241e-05
1842,3.5894256143365055e-05
1843,3.877204653690569e-05
1844,3.658345667645335e-05
1845,4.2180006857961416e-05
1846,4.195642031845637e-05
1847,4.522962626651861e-05
1848,4.476622780202888e-05
1849,4.734721369459294e-05
1850,4.4207747123437e-05
1851,4.914141391054727e-05
1852,4.711463407147676e-05
1853,4.9505797505844384e-05
1854,5.202732791076414e-05
1855,5.527021858142689e-05
1856,5.4498068493558094e-05
1857,5.5967473599594086e-05
1858,5.9206959122093394e-05
1859,5.975525709800422e-05
1860,5.974680243525654e-05
1861,6.227723497431725e-05
1862,6.467532512033358e-05
1863,6.649746501352638e-05
1864,6.607048999285325e-05
1865,6.675132317468524e-05
1866,6.919023144291714e-05
1867,7.051387365208939e-05
1868,7.051994180073962e-05
1869,7.382119656540453e-05
1870,7.747241761535406e-05
1871,7.938943599583581e-05
1872,8.129872003337368e-05
1873,8.513510692864656e-05
1874,9.025698818732053e-05
1875,9.03570035006851e-05
1876,8.877767686499283e-05
1877,9.56522417254746e-05
1878,9.606290404917672e-05
1879,9.847352339420468e-05
1880,9.436210530111566e-05
1881,0.00010196501534665003
1882,0.00010171081521548331
1883,0.00010466052481206134
1884,0.00011163387534907088
1885,0.00011278173769824207
1886,0.0001188100068247877
1887,0.00011802357039414346
1888,0.00012164685904281214
1889,0.00012627248361241072
1890,0.0001343790936516598
1891,0.00013712070358451456
1892,0.00014435370394494385
1893,0.00015115778660401702
1894,0.00016233400674536824
1895,0.00016112002776935697
1896,0.00016530042921658605
1897,0.00017207246855832636
1898,0.00018119173182640225
1899,0.00017533965001348406
1900,0.000188949765288271
1901,0.00020232547831255943
1902,0.00021288945572450757
1903,0.00021995234419591725
