,based
1885,4.1191797208739445e-05
1886,4.6477329306071624e-05
1887,4.3217816710239276e-05
1888,4.480230563785881e-05
1889,4.475736932363361e-05
1890,4.757041097036563e-05
1891,4.668904875870794e-05
1892,4.946390617988072e-05
1893,4.940991857438348e-05
1894,5.136024992680177e-05
1895,5.308769686962478e-05
1896,5.205317211220972e-05
1897,5.3810919780517e-05
1898,5.476866499520838e-05
1899,5.101972783450037e-05
1900,5.4788739362265915e-05
1901,5.492937998496927e-05
1902,5.670062091667205e-05
1903,5.793878517579287e-05
1904,5.891198816243559e-05
1905,6.293744809227064e-05
1906,6.645124813076109e-05
1907,6.618352927034721e-05
1908,6.976395525271073e-05
1909,7.160201494116336e-05
1910,7.312886009458452e-05
1911,7.620240648975596e-05
1912,8.017522486625239e-05
1913,8.37880143080838e-05
1914,8.42875597300008e-05
1915,8.967669418780133e-05
1916,9.304522245656699e-05
1917,9.269542351830751e-05
1918,9.73288988461718e-05
1919,9.800479892874137e-05
1920,0.00010223100252915174
1921,0.00010464586375746876
1922,0.0001057779518305324
1923,0.000100286393717397
1924,0.00010633822967065498
1925,0.00010621119145071134
1926,0.00010523044329602271
1927,0.00010827094956766814
1928,0.00011065040598623455
1929,0.00010861379269044846
1930,0.0001112728932639584
1931,0.00011356735922163352
1932,0.00012070802767993882
1933,0.0001214555450133048
1934,0.00012382077693473548
1935,0.00012458002311177552
1936,0.00012801190314348787
1937,0.00012207710824441165
1938,0.0001242454891325906
1939,0.00012993134441785514
1940,0.00013643395504914224
1941,0.0001437828759662807
1942,0.00013613396731670946
1943,0.0001406920055160299
1944,0.0001395249564666301
1945,0.0001394381542922929
1946,0.00014089692558627576
1947,0.00014610428479500115
1948,0.00014760816702619195
1949,0.00015434884699061513
1950,0.000147634360473603
1951,0.00014816226030234247
1952,0.00015038493438623846
1953,0.00015446140605490655
1954,0.00016014555876608938
1955,0.0001583883276907727
1956,0.00016174196207430214
1957,0.00016576910275034606
1958,0.00016775692347437143
1959,0.00016928026161622256
1960,0.0001741417800076306
1961,0.00017510254110675305
1962,0.00017945768195204437
1963,0.0001795412099454552
1964,0.00018157015438191593
1965,0.00017882573592942208
1966,0.00018457986880093813
1967,0.00018349307356402278
1968,0.00018175832519773394
1969,0.00018783363339025527
1970,0.0001951519079739228
1971,0.00019960889767389745
1972,0.00021464485325850546
1973,0.00021654029842466116
1974,0.00022628511942457408
1975,0.00023331162810791284
1976,0.00024061260046437383
1977,0.00024972521350719035
1978,0.00025432073744013906
1979,0.000257339357631281
1980,0.0002653046976774931
1981,0.0002677642914932221
1982,0.00027322035748511553
1983,0.0002844227710738778
1984,0.00028158092754893005
1985,0.00028664444107562304
1986,0.0002941992715932429
1987,0.00029297531000338495
1988,0.0002971605281345546
1989,0.00030053197406232357
1990,0.0003121542977169156
1991,0.00031882061739452183
1992,0.00032291095703840256
1993,0.00033643003553152084
1994,0.0003358326794113964
1995,0.0003395121020730585
1996,0.00034032826079055667
1997,0.00034901255276054144
1998,0.00035114886122755706
1999,0.0003493988187983632
2000,0.00034178729401901364
2001,0.0003478046564850956
2002,0.0003526507061906159
2003,0.0003624371893238276
2004,0.0003586911188904196
2005,0.0003661123337224126
