,so
1984,0.0007820423925295472
1985,0.0007713348604738712
1986,0.0007806496578268707
1987,0.00078383251093328
1988,0.0007812153780832887
1989,0.000771194463595748
1990,0.0007772041135467589
1991,0.0007787107606418431
1992,0.0007858226308599114
1993,0.0007696615648455918
1994,0.0007761500892229378
1995,0.0007793825934641063
1996,0.000805830059107393
1997,0.000823295209556818
1998,0.0008434222545474768
1999,0.0008628342766314745
2000,0.0009149835095740855
2001,0.000918402336537838
2002,0.0009444471215829253
2003,0.000977161806076765
2004,0.0010119711514562368
2005,0.001013874658383429
2006,0.0010695651872083545
2007,0.0010946061229333282
2008,0.001176438177935779
2009,0.0012491357047110796
2010,0.0012860388960689306
2011,0.0013267413014546037
2012,0.001259158249013126
2013,0.001297874259762466
2014,0.001413974678143859
2015,0.0013851926196366549
2016,0.0013211903860792518
2017,0.0014436065685003996
2018,0.001461618347093463
2019,0.0014761245111003518
