,an
1800,0.002588741248473525
1801,0.002670607063919306
1802,0.002762169810011983
1803,0.0026332407724112272
1804,0.002694076858460903
1805,0.002693542279303074
1806,0.0026514024939388037
1807,0.002669618697836995
1808,0.0026033653412014246
1809,0.002654594834893942
1810,0.002598569029942155
1811,0.0026560656260699034
1812,0.002690827241167426
1813,0.0027243804652243853
1814,0.002726827748119831
1815,0.002732129767537117
1816,0.002690665889531374
1817,0.0027938112616539
1818,0.002767805242910981
1819,0.002748979954048991
1820,0.0026829673442989588
1821,0.0026016857009381056
1822,0.002639294136315584
1823,0.0027173280250281096
1824,0.0027001944836229086
1825,0.002672211965546012
1826,0.002724671270698309
1827,0.0027151640970259905
1828,0.0026990578044205904
1829,0.002678381744772196
1830,0.002680772915482521
1831,0.002701997756958008
1832,0.0026417975313961506
1833,0.002690676599740982
1834,0.002702535130083561
1835,0.0026817757170647383
1836,0.002683166414499283
1837,0.002635844750329852
1838,0.002636181889101863
1839,0.002643884625285864
1840,0.002592062810435891
1841,0.0026115169748663902
1842,0.0026014894247055054
1843,0.0026090960018336773
1844,0.002575192367658019
1845,0.0025930493138730526
1846,0.0026292905677109957
1847,0.002600393956527114
1848,0.0026150906924158335
1849,0.0026311702094972134
1850,0.0025809756480157375
1851,0.002623284235596657
1852,0.002649304922670126
1853,0.0026349881663918495
1854,0.0026005920954048634
1855,0.00263104191981256
1856,0.0026154140941798687
1857,0.0026137225795537233
1858,0.0025954784359782934
1859,0.002613808261230588
1860,0.0025982751976698637
1861,0.0025648754090070724
1862,0.002561933593824506
1863,0.0025913179852068424
1864,0.0025654209312051535
1865,0.002526115160435438
1866,0.0025488617829978466
1867,0.0025283675640821457
1868,0.0025415439158678055
1869,0.0025228066369891167
1870,0.0025426296051591635
1871,0.0025440212339162827
1872,0.0025483861099928617
1873,0.002555960090830922
1874,0.0025425467174500227
1875,0.0025346006732434034
1876,0.002533124992623925
1877,0.0025348097551614046
1878,0.002554567065089941
1879,0.0025666137225925922
1880,0.002540030051022768
1881,0.002556577790528536
1882,0.0025509095285087824
1883,0.002553110010921955
1884,0.0025507218670099974
1885,0.002537912456318736
1886,0.0025792629458010197
1887,0.0025547451805323362
1888,0.0025561759248375893
1889,0.0025198599323630333
1890,0.0025725364685058594
1891,0.0025351287331432104
1892,0.002544048707932234
1893,0.0025754766538739204
1894,0.002545200288295746
1895,0.0025629804003983736
1896,0.002536439336836338
1897,0.00258182012476027
1898,0.0025818655267357826
1899,0.0025312493089586496
1900,0.0025138675700873137
1901,0.002561599249020219
1902,0.0025313154328614473
1903,0.002564286580309272
1904,0.0025554888416081667
1905,0.00258219544775784
1906,0.002560002962127328
1907,0.00256017385981977
1908,0.00255855405703187
1909,0.0025552609004080296
1910,0.0025596325285732746
1911,0.00254586199298501
1912,0.002559295855462551
1913,0.002522327471524477
1914,0.002553624100983143
1915,0.002560272580012679
1916,0.0025625545531511307
1917,0.0025359163992106915
1918,0.0025210052262991667
1919,0.0025136047042906284
1920,0.00252795172855258
1921,0.0025316327810287476
1922,0.0025361920706927776
1923,0.0024550820235162973
1924,0.0024417981039732695
1925,0.0024285055696964264
1926,0.0024717964697629213
1927,0.0024239912163466215
1928,0.0024643074721097946
1929,0.0024258894845843315
1930,0.002413082169368863
1931,0.002397606847807765
1932,0.0024309593718498945
1933,0.002417137147858739
1934,0.0024393079802393913
1935,0.0024235390592366457
1936,0.0024509448558092117
1937,0.0024324506521224976
1938,0.002434444846585393
1939,0.0024426241870969534
1940,0.002425419632345438
1941,0.0024514258839190006
1942,0.0024356457870453596
1943,0.002443524543195963
1944,0.0024503334425389767
1945,0.0024526056367903948
1946,0.0024574000854045153
1947,0.0024855989031493664
1948,0.0024715110193938017
1949,0.0024654571898281574
1950,0.0024895116221159697
1951,0.0024788035079836845
1952,0.0024883693549782038
1953,0.0024885586462914944
1954,0.002508139470592141
1955,0.0025021249894052744
1956,0.0025089848786592484
1957,0.0025345366448163986
1958,0.002526734722778201
1959,0.002546843374148011
1960,0.002539129927754402
1961,0.002543870359659195
1962,0.002548921387642622
1963,0.002541395602747798
1964,0.002540511079132557
1965,0.002540427725762129
1966,0.0025740317068994045
1967,0.0025640521198511124
1968,0.002573782578110695
1969,0.002565468428656459
1970,0.002551977289840579
1971,0.002564990660175681
1972,0.002579999389126897
1973,0.0025499651674181223
1974,0.002584548434242606
1975,0.002585527952760458
1976,0.0025740950368344784
1977,0.002566274954006076
1978,0.002543982118368149
1979,0.0025601452216506004
1980,0.0025773542001843452
1981,0.0025609468575567007
1982,0.0025830036029219627
1983,0.002583498368039727
1984,0.002567755989730358
1985,0.002558451844379306
1986,0.002576409140601754
1987,0.002591820666566491
1988,0.002594427904114127
1989,0.0025630344171077013
1990,0.0025864543858915567
1991,0.002593408804386854
1992,0.0025853379629552364
1993,0.0025429348461329937
1994,0.002567425835877657
1995,0.0025873288977891207
1996,0.0026149614714086056
1997,0.0026532248593866825
1998,0.00267577450722456
1999,0.0026821857318282127
2000,0.002671130932867527
2001,0.0026764338836073875
2002,0.0026903951074928045
2003,0.0026874460745602846
2004,0.0026957474183291197
2005,0.002687235362827778
2006,0.0026899510994553566
2007,0.0026787000242620707
2008,0.0026682275347411633
2009,0.002652184572070837
2010,0.00261254352517426
2011,0.002556893043220043
2012,0.0025505456142127514
2013,0.002589479321613908
2014,0.00249674916267395
2015,0.0025067355018109083
2016,0.0025585240218788385
2017,0.002454176312312484
2018,0.0024239900521934032
2019,0.0024474509991705418
