,prices
1883,3.706904681166634e-05
1884,4.129992157686502e-05
1885,4.281208020984195e-05
1886,5.084610529593192e-05
1887,5.5011074437061325e-05
1888,5.598012648988515e-05
1889,5.468394738272764e-05
1890,5.278356184135191e-05
1891,5.101760325487703e-05
1892,5.5172302381834015e-05
1893,6.373362703016028e-05
1894,6.859928544145077e-05
1895,6.715906783938408e-05
1896,6.923693581484258e-05
1897,6.696681521134451e-05
1898,6.243630195967853e-05
1899,5.914906068937853e-05
1900,6.543398194480687e-05
1901,6.583015056094155e-05
1902,6.78992219036445e-05
1903,6.775258952984586e-05
1904,6.919936276972294e-05
1905,7.224546425277367e-05
1906,7.075968460412696e-05
1907,7.539022772107273e-05
1908,8.278712630271912e-05
1909,9.203548688674346e-05
1910,7.78826215537265e-05
1911,8.466791769023985e-05
1912,9.190330456476659e-05
1913,0.00010089272109325975
1914,9.464479808229953e-05
1915,0.00011083082790719345
1916,0.0001238945551449433
1917,0.00013435733853839338
1918,0.0001335705310339108
1919,0.00016099397907964885
1920,0.0001806666114134714
1921,0.00018921706941910088
1922,0.00016418794984929264
1923,0.00013540676445700228
1924,0.00013652328925672919
1925,0.00012800053809769452
1926,0.00012561609037220478
1927,0.0001301924785366282
1928,0.00012641714420169592
1929,0.00012845989840570837
1930,0.00013568140275310725
1931,0.00014461306273005903
1932,0.0001586107537150383
1933,0.00016894395230337977
1934,0.00015836214879527688
1935,0.00014425168046727777
1936,0.00013495099847204983
1937,0.0001348179648630321
1938,0.00013212549674790353
1939,0.00013780260633211583
1940,0.00014792858564760536
1941,0.00015172916755545884
1942,0.0001547175634186715
1943,0.00015805504517629743
1944,0.00016496797616127878
1945,0.00015697858179919422
1946,0.00015436040121130645
1947,0.00014764223305974156
1948,0.00014446160639636219
1949,0.00013471487909555435
1950,0.00012175276788184419
1951,0.0001477372134104371
1952,0.00013235144433565438
1953,0.00011633053509285673
1954,0.00011272668052697554
1955,0.00011823767272289842
1956,0.0001146702270489186
1957,0.00012008987687295303
1958,0.00011523099965415895
1959,0.00011408956197556108
1960,0.00010270322673022747
1961,0.00011377118062227964
1962,9.783303539734334e-05
1963,9.877191041596234e-05
1964,0.00010204024147242308
1965,9.483959729550406e-05
1966,0.000102799735032022
1967,9.565513755660504e-05
1968,9.702824900159612e-05
1969,9.230170689988881e-05
1970,9.358285751659423e-05
1971,9.462696471018717e-05
1972,9.910187509376556e-05
1973,0.00011987887410214171
1974,0.00013614575436804444
1975,0.0001302300806855783
1976,0.00011540909326868132
1977,0.00011507097951835021
1978,0.00011434851330704987
1979,0.00011910295870620757
1980,0.00011901046673301607
1981,0.00011314218863844872
1982,0.00010789628140628338
1983,0.00010805657802848145
1984,0.00010034496517619118
1985,0.00010070610733237118
1986,0.00010861298505915329
1987,9.876032709144056e-05
1988,9.834193770075217e-05
1989,9.321847028331831e-05
1990,9.535861317999661e-05
1991,9.064782352652401e-05
1992,8.838086068863049e-05
1993,8.381780207855627e-05
1994,8.301259367726743e-05
1995,8.202602475648746e-05
1996,7.447769166901708e-05
1997,7.553778414148837e-05
1998,7.438487955369055e-05
1999,7.327667844947428e-05
2000,7.180905959103256e-05
2001,7.115119660738856e-05
2002,6.735487841069698e-05
2003,6.191141437739134e-05
2004,5.964804222458042e-05
2005,6.40055222902447e-05
2006,5.8718007494462654e-05
2007,6.091867544455454e-05
2008,5.645977216772735e-05
2009,5.1279235776746646e-05
2010,4.8622696340316907e-05
2011,4.389817331684753e-05
2012,4.066899055032991e-05
2013,4.177651499048807e-05
2014,3.606196696637198e-05
2015,3.685072442749515e-05
2016,4.1037612390937284e-05
2017,3.124415525235236e-05
2018,2.7219968615099788e-05
2019,3.3856387744890526e-05
