,version
1992,5.212565156398341e-05
1993,5.232186958892271e-05
1994,5.444549969979562e-05
1995,5.446742216008715e-05
1996,5.668811718351208e-05
1997,5.740877168136649e-05
1998,5.824593608849682e-05
1999,5.83057917538099e-05
2000,5.847550346516073e-05
2001,5.909630635869689e-05
2002,6.185104575706646e-05
2003,6.311196193564683e-05
2004,6.214575842022896e-05
2005,6.049480725778267e-05
2006,6.171051791170612e-05
2007,5.995647006784566e-05
2008,5.7131550420308486e-05
2009,5.7471672334941104e-05
2010,5.766109097748995e-05
2011,5.6684129958739504e-05
2012,5.411207166616805e-05
2013,5.535842865356244e-05
2014,5.42990310350433e-05
2015,5.4907101002754644e-05
2016,5.767630864284001e-05
2017,5.166808841750026e-05
2018,5.8348228776594624e-05
2019,5.1294060540385544e-05
