,description
1898,7.365462806774303e-05
1899,6.610504351556301e-05
1900,6.708012369927019e-05
1901,7.188743620645255e-05
1902,6.812311039539054e-05
1903,6.857694825157523e-05
1904,7.188615563791245e-05
1905,7.248278416227549e-05
1906,7.485545211238787e-05
1907,7.402688061119989e-05
1908,7.259758422151208e-05
1909,7.186255970736966e-05
1910,7.063943485263735e-05
1911,6.995537842158228e-05
1912,7.02592806192115e-05
1913,7.098361675161868e-05
1914,6.972354458412156e-05
1915,6.787469465052709e-05
1916,6.418058183044195e-05
1917,6.261080125113949e-05
1918,5.96699865127448e-05
1919,6.103544001234695e-05
1920,6.341651169350371e-05
1921,6.459529686253518e-05
1922,6.539119931403548e-05
1923,6.712584581691772e-05
1924,6.509071681648493e-05
1925,6.493592809420079e-05
1926,6.765463331248611e-05
1927,6.702054088236764e-05
1928,5.929997860221192e-05
1929,5.8131558034801856e-05
1930,5.695292929885909e-05
1931,5.814012547489256e-05
1932,5.689365207217634e-05
1933,5.7040298997890204e-05
1934,5.467394657898694e-05
1935,5.507500463863835e-05
1936,5.6016961025306955e-05
1937,5.7266861404059455e-05
1938,5.6410794059047475e-05
1939,5.48043790331576e-05
1940,5.495815639733337e-05
1941,5.6248034525197e-05
1942,5.468465678859502e-05
1943,4.7507783165201545e-05
1944,4.721558798337355e-05
1945,4.634652577806264e-05
1946,4.6911129174986854e-05
1947,4.796084976987913e-05
1948,4.908000846626237e-05
1949,5.220853927312419e-05
1950,5.116782631375827e-05
1951,4.9446753109805286e-05
1952,5.053857239545323e-05
1953,5.27061965840403e-05
1954,5.3314739488996565e-05
1955,5.067764868726954e-05
1956,5.085101292934269e-05
1957,5.278026219457388e-05
1958,5.1963328587589785e-05
1959,5.4342781368177384e-05
1960,5.50528202438727e-05
1961,5.5489894293714315e-05
1962,5.5889831855893135e-05
1963,5.7333159929839894e-05
1964,5.724058792111464e-05
1965,5.7299508625874296e-05
1966,5.7391174777876586e-05
1967,5.8841069403570145e-05
1968,6.152057903818786e-05
1969,6.117917655501515e-05
1970,6.0323389334371313e-05
1971,6.10181778029073e-05
1972,6.131952977739275e-05
1973,6.038467108737677e-05
1974,6.08572518103756e-05
1975,6.129407120170072e-05
1976,6.228778511285782e-05
1977,6.258560460992157e-05
1978,6.405197200365365e-05
1979,6.731852045049891e-05
1980,6.714199116686359e-05
1981,6.653148011537269e-05
1982,6.398908590199426e-05
1983,6.54941686661914e-05
1984,6.426516483770683e-05
1985,6.484622281277552e-05
1986,6.450444197980687e-05
1987,6.506501085823402e-05
1988,6.436900730477646e-05
1989,6.353052594931796e-05
1990,6.624957313761115e-05
1991,6.40341459074989e-05
1992,6.798649701522663e-05
1993,6.604920781683177e-05
1994,6.953782576601952e-05
1995,6.801259587518871e-05
1996,6.61607482470572e-05
1997,6.328606104943901e-05
1998,6.300517270574346e-05
1999,6.287002906901762e-05
2000,6.105915963416919e-05
2001,6.03194312134292e-05
2002,5.990595309413038e-05
2003,6.208304694155231e-05
2004,6.010862489347346e-05
2005,5.9021225752076134e-05
2006,5.9480982599779963e-05
2007,5.764329762314446e-05
2008,5.620052252197638e-05
2009,5.407550270319916e-05
2010,5.317766044754535e-05
2011,5.036478250985965e-05
2012,5.22538430232089e-05
2013,5.3485990065382794e-05
2014,4.749290746985935e-05
2015,4.5788681745762005e-05
2016,4.801018803846091e-05
2017,4.4260705180931836e-05
2018,4.3517895392142236e-05
2019,4.417923992150463e-05
