,resources
1800,1.9560566215659492e-05
1801,1.6356309060938656e-05
1802,2.6254232579958625e-05
1803,2.1606592781608924e-05
1804,2.244064671685919e-05
1805,2.4195622245315462e-05
1806,2.5501200070721097e-05
1807,2.4859853510861285e-05
1808,1.8662762158783153e-05
1809,2.027032860496547e-05
1810,1.762730607879348e-05
1811,1.9310844436404295e-05
1812,2.625526576593984e-05
1813,2.3829303245292976e-05
1814,3.207544068573043e-05
1815,2.7861549824592657e-05
1816,2.4268956622108817e-05
1817,2.7027899704989977e-05
1818,2.621634121169336e-05
1819,2.3249565856531262e-05
1820,2.3167049221228808e-05
1821,1.7153151929960586e-05
1822,1.929518475662917e-05
1823,1.9356166376383044e-05
1824,1.8947868738905527e-05
1825,2.177953501814045e-05
1826,2.3109074390958995e-05
1827,2.3713224436505698e-05
1828,2.6321860786993057e-05
1829,2.4176248189178295e-05
1830,2.4516682969988324e-05
1831,2.3865002731326967e-05
1832,2.528124241507612e-05
1833,2.5346338588860817e-05
1834,2.7533420507097617e-05
1835,2.452551416354254e-05
1836,2.8421678507584147e-05
1837,2.789950303849764e-05
1838,2.8223359549883753e-05
1839,2.612481875985395e-05
1840,2.55622471740935e-05
1841,2.8957454560440965e-05
1842,2.596544800326228e-05
1843,2.4973604013212025e-05
1844,2.5665827706689015e-05
1845,2.4422446585958824e-05
1846,2.706070699787233e-05
1847,2.909408613049891e-05
1848,2.9506543796742335e-05
1849,3.0331837479025126e-05
1850,2.757803122221958e-05
1851,2.748487713688519e-05
1852,2.8160215151729062e-05
1853,2.7472688088892028e-05
1854,2.9696240744669922e-05
1855,3.062741961912252e-05
1856,2.882342232624069e-05
1857,2.6650639483705163e-05
1858,2.8426704375306144e-05
1859,2.57290212175576e-05
1860,2.5063587600016035e-05
1861,2.673137169040274e-05
1862,2.8971253414056264e-05
1863,2.783308991638478e-05
1864,2.6378376787761226e-05
1865,2.6409179554320872e-05
1866,2.705902443267405e-05
1867,2.5204602934536524e-05
1868,2.676617441466078e-05
1869,2.4657749236212112e-05
1870,2.47165316977771e-05
1871,2.3741013137623668e-05
1872,2.3436388801201247e-05
1873,2.3137978132581338e-05
1874,2.3456534108845517e-05
1875,2.2533064111485146e-05
1876,2.4645145458634943e-05
1877,2.2685708245262504e-05
1878,2.3710910681984387e-05
1879,2.2442878616857342e-05
1880,2.2433521735365503e-05
1881,2.2045205696485937e-05
1882,2.220001806563232e-05
1883,2.213645348092541e-05
1884,2.2203081243787892e-05
1885,2.3017024432192557e-05
1886,2.34046110563213e-05
1887,2.1765565179521218e-05
1888,2.2578513380722143e-05
1889,2.288803989358712e-05
1890,2.4719027351238765e-05
1891,2.425314232823439e-05
1892,2.225230127805844e-05
1893,2.4759143343544565e-05
1894,2.293424040544778e-05
1895,2.2254798750509508e-05
1896,2.2371852537617087e-05
1897,2.371580558246933e-05
1898,2.4060167561401613e-05
1899,2.2808339053881355e-05
1900,2.5129706045845523e-05
1901,2.419809425191488e-05
1902,2.490686165401712e-05
1903,2.418885924271308e-05
1904,2.46677973336773e-05
1905,2.5652945623733103e-05
1906,2.5467326850048266e-05
1907,2.614132608869113e-05
1908,2.7958263672189787e-05
1909,3.31364426529035e-05
1910,3.099938840023242e-05
1911,2.95285335596418e-05
1912,2.906967347371392e-05
1913,3.0057202820898965e-05
1914,2.990736538777128e-05
1915,3.27934067172464e-05
1916,3.637514964793809e-05
1917,4.1388226236449555e-05
1918,4.3930769606959075e-05
1919,4.2071882489835843e-05
1920,4.0014398109633476e-05
1921,3.951695543946698e-05
1922,3.694910628837533e-05
1923,3.748232120415196e-05
1924,3.829166598734446e-05
1925,3.761615153052844e-05
1926,3.702168396557681e-05
1927,3.913557520718314e-05
1928,3.7044934288132936e-05
1929,3.855502654914744e-05
1930,3.927215948351659e-05
1931,3.8180227420525625e-05
1932,4.0117534808814526e-05
1933,4.1878152842400596e-05
1934,4.066932524438016e-05
1935,4.241901115165092e-05
1936,4.4553155021276325e-05
1937,4.596585495164618e-05
1938,4.87896213599015e-05
1939,5.072086787549779e-05
1940,5.456981307361275e-05
1941,5.8188663388136774e-05
1942,6.12451258348301e-05
1943,5.957521352684125e-05
1944,6.226383266039193e-05
1945,6.31365182925947e-05
1946,5.800082362839021e-05
1947,7.581761747132987e-05
1948,6.514417327707633e-05
1949,7.407631346723065e-05
1950,7.069805724313483e-05
1951,6.801246490795165e-05
1952,6.423174636438489e-05
1953,6.734843918820843e-05
1954,6.58313074382022e-05
1955,6.978300370974466e-05
1956,7.436030136886984e-05
1957,7.150739838834852e-05
1958,7.328986976062879e-05
1959,7.551605085609481e-05
1960,7.929305138532072e-05
1961,8.080627594608814e-05
1962,8.056464866967872e-05
1963,8.662794425617903e-05
1964,8.720790356164798e-05
1965,9.13043986656703e-05
1966,9.730286546982825e-05
1967,0.00010258086695102975
1968,0.00010016473970608786
1969,0.00010802694305311888
1970,0.00011243783228565007
1971,0.00011843012180179358
1972,0.00012107293878216296
1973,0.00013345965999178588
1974,0.00013895577285438776
1975,0.0001429858384653926
1976,0.00014514911163132638
1977,0.00014722158084623516
1978,0.0001459252234781161
1979,0.0001481214858358726
1980,0.00014993704098742455
1981,0.0001418831234332174
1982,0.00014002295210957527
1983,0.00013805271009914577
1984,0.00013643625425174832
1985,0.00013187433069106191
1986,0.0001331428939010948
1987,0.00013099722855258733
1988,0.0001319556904491037
1989,0.00012946284550707787
1990,0.0001392328558722511
1991,0.00013615975331049412
1992,0.00013869418762624264
1993,0.0001362627517664805
1994,0.0001389832323184237
1995,0.0001380043977405876
1996,0.00013972519082017243
1997,0.0001386624207952991
1998,0.00013639614917337894
1999,0.00013535843754652888
2000,0.0001328160724369809
2001,0.00013240052794571966
2002,0.00013545698311645538
2003,0.0001325445482507348
2004,0.00013211113400757313
2005,0.00013464895891956985
2006,0.0001263465965166688
2007,0.00012482838064897805
2008,0.00011844027176266536
2009,0.00011507973977131769
2010,0.00011575187090784311
2011,0.00010340289736632258
2012,9.893406968330964e-05
2013,0.00010629675671225414
2014,9.550280083203688e-05
2015,9.732505714055151e-05
2016,0.00010640158870955929
2017,9.007976041175425e-05
2018,8.678360609337687e-05
2019,9.497308201389387e-05
