,posted
1800,8.809993232716806e-06
1801,6.205514182511251e-06
1802,8.864955816534348e-06
1803,6.771871085220482e-06
1804,1.0186700819758698e-05
1805,1.2845377568737604e-05
1806,7.6289838943921495e-06
1807,7.085731340339407e-06
1808,7.40184759706608e-06
1809,8.222152246162295e-06
1810,8.112134310067631e-06
1811,9.351449989480898e-06
1812,7.862268830649555e-06
1813,8.781144060776569e-06
1814,1.1005732631019782e-05
1815,1.0867909622902516e-05
1816,9.268724170397036e-06
1817,8.95908033271553e-06
1818,7.34398236090783e-06
1819,6.021058652549982e-06
1820,8.477592018607538e-06
1821,6.597076662728796e-06
1822,7.42138718123897e-06
1823,8.622573659522459e-06
1824,6.354950983222807e-06
1825,8.360889296454843e-06
1826,6.042006134521216e-06
1827,8.286202501039952e-06
1828,7.557630397059256e-06
1829,7.029078915365972e-06
1830,6.224147000466473e-06
1831,6.247176315810066e-06
1832,7.954837201396003e-06
1833,5.850078650837531e-06
1834,6.343311724776868e-06
1835,5.816219072585227e-06
1836,6.719174052705057e-06
1837,6.083992957428563e-06
1838,6.5815211200970225e-06
1839,6.794312866986729e-06
1840,8.124842679535504e-06
1841,7.001208359724842e-06
1842,6.34548268863e-06
1843,6.495782145066187e-06
1844,7.053253284539096e-06
1845,7.235760222101817e-06
1846,6.26564633421367e-06
1847,7.70033057051478e-06
1848,8.378251550311688e-06
1849,7.287803782674018e-06
1850,7.335927875828929e-06
1851,7.294132501556305e-06
1852,7.921529686427675e-06
1853,7.16116801413591e-06
1854,7.014478796918411e-06
1855,8.807219273876399e-06
1856,8.438290933554526e-06
1857,8.796464499027934e-06
1858,8.04851788416272e-06
1859,8.786003490968142e-06
1860,7.881353667471558e-06
1861,8.250378414231818e-06
1862,9.521740139462054e-06
1863,1.086031898012152e-05
1864,1.2117635378672276e-05
1865,1.0157886208617128e-05
1866,1.1355266906321049e-05
1867,8.863066796038765e-06
1868,8.431570677203126e-06
1869,7.971094419190194e-06
1870,7.875859409978148e-06
1871,8.391303708776832e-06
1872,7.464275313395774e-06
1873,7.512599040637724e-06
1874,7.052809451124631e-06
1875,7.789465598762035e-06
1876,7.708519660809543e-06
1877,7.574977644253522e-06
1878,7.486547929147491e-06
1879,7.890868801041506e-06
1880,9.022879567055497e-06
1881,8.440337296633516e-06
1882,8.471522960462607e-06
1883,8.092459211184178e-06
1884,8.841238923196215e-06
1885,9.134801985055674e-06
1886,9.151961421594024e-06
1887,9.681415576778818e-06
1888,9.252243216906209e-06
1889,9.787530871108174e-06
1890,9.350202162750065e-06
1891,1.1196026207471732e-05
1892,9.696212146081962e-06
1893,9.560708349454217e-06
1894,9.075941306946333e-06
1895,8.962701031123288e-06
1896,9.069394764082972e-06
1897,9.360504918731749e-06
1898,8.924955182010308e-06
1899,9.316112482338212e-06
1900,9.666061487223487e-06
1901,9.319401215179823e-06
1902,8.831230843497906e-06
1903,9.005124411487486e-06
1904,9.293174116464797e-06
1905,9.26462780626025e-06
1906,9.531991054245736e-06
1907,9.901738849293906e-06
1908,1.0077795195684303e-05
1909,1.0305085197614972e-05
1910,9.899884389596991e-06
1911,9.962004696717486e-06
1912,1.0158078111999203e-05
1913,1.0293889317836147e-05
1914,1.0533168278925586e-05
1915,1.0771849701995961e-05
1916,9.922369827108923e-06
1917,1.0435048352519516e-05
1918,9.781211701920256e-06
1919,9.694347681943327e-06
1920,9.482048881181981e-06
1921,9.827498615777586e-06
1922,9.032056368596386e-06
1923,8.98525831871666e-06
1924,8.393507414439227e-06
1925,8.550331585865933e-06
1926,8.628768227936234e-06
