,did
1940,0.00048190736561082304
1941,0.00047855437151156366
1942,0.00047698611160740256
1943,0.0004982301616109908
1944,0.0004771873354911804
1945,0.00046928683877922595
1946,0.0005236686556600034
1947,0.0004915001336485147
1948,0.00048627646174281836
1949,0.00045588298235088587
1950,0.0004750103107653558
1951,0.0004945857799611986
1952,0.0004996813950128853
1953,0.00047266989713534713
1954,0.0004778016882482916
1955,0.000483279291074723
1956,0.0004742562596220523
1957,0.0005007382715120912
1958,0.0004565120325423777
1959,0.0004393035196699202
1960,0.00045603851322084665
1961,0.0004509442369453609
1962,0.00045996051630936563
1963,0.0004436801827978343
1964,0.000469700840767473
1965,0.0004435874579939991
1966,0.0004575759812723845
1967,0.00045232928823679686
1968,0.00046152775757946074
1969,0.0004580615204758942
1970,0.00046834154636599123
1971,0.0004499093338381499
1972,0.0004494143940974027
1973,0.00044344639172777534
1974,0.0004489203856792301
1975,0.0004254581581335515
1976,0.0004379485617391765
1977,0.0004282183654140681
1978,0.00043751628254540265
1979,0.0004310143121983856
1980,0.00043724625720642507
1981,0.00044535021879710257
1982,0.00045463579590432346
1983,0.0004475791356526315
1984,0.0004566205898299813
1985,0.00046190552529878914
1986,0.0004747843195218593
1987,0.0004859345208387822
1988,0.0004912710865028203
1989,0.0004913153243251145
1990,0.00048584790783934295
1991,0.0005054869689047337
1992,0.0005075127119198442
1993,0.0005078801768831909
1994,0.0005114343948662281
1995,0.0005028496379964054
1996,0.0005229536327533424
1997,0.0005483902641572058
1998,0.0005599860451184213
1999,0.000572491786442697
2000,0.0006261541857384145
2001,0.0006424955790862441
2002,0.0006635439931415021
2003,0.0006761924014426768
2004,0.0006925120251253247
2005,0.0007047325489111245
2006,0.0007188948220573366
2007,0.0007608883897773921
2008,0.000812682555988431
2009,0.0009032243979163468
2010,0.0009557643788866699
2011,0.0010534422472119331
2012,0.0009929235093295574
2013,0.0009725288255140185
2014,0.0011853452306240797
2015,0.0011325196828693151
2016,0.001052639912813902
2017,0.0011366374092176557
2018,0.0010838689049705863
2019,0.0011813914170488715
