,start
1800,1.3869786926079541e-05
1801,8.356380931218155e-06
1802,8.314050319313537e-06
1803,6.996639967837837e-06
1804,7.752164492558222e-06
1805,8.189802429114934e-06
1806,8.248148333223071e-06
1807,7.638836905243807e-06
1808,9.152333404927049e-06
1809,6.4665964600862935e-06
1810,8.06380467111012e-06
1811,7.644596735190134e-06
1812,6.2905746744945645e-06
1813,7.488991741411155e-06
1814,6.900731932546478e-06
1815,7.243602340167854e-06
1816,6.919633506186074e-06
1817,7.864975486882031e-06
1818,7.331814686040161e-06
1819,7.838159035600256e-06
1820,9.107294317800552e-06
1821,9.735199455462862e-06
1822,9.162582500721328e-06
1823,9.065206540981308e-06
1824,8.93580636329716e-06
1825,9.484931979386602e-06
1826,9.554137250233907e-06
1827,9.447548109164927e-06
1828,9.068801773537416e-06
1829,8.943536158767529e-06
1830,9.165300070890225e-06
1831,1.020987383526517e-05
1832,1.3267573194752913e-05
1833,1.1057709343731403e-05
1834,1.1444622032286134e-05
1835,1.1430974154791329e-05
1836,1.1066025763284415e-05
1837,1.1462140719231684e-05
1838,1.2061625966452993e-05
1839,1.1574658856261522e-05
1840,1.18441212180187e-05
1841,1.3067426152701955e-05
1842,1.2849045560869854e-05
1843,1.274870737688616e-05
1844,1.2383728062559385e-05
1845,1.2622244867088739e-05
1846,1.2518898984126281e-05
1847,1.2662163499044254e-05
1848,1.3369510270422325e-05
1849,1.30941243696725e-05
1850,1.433331362932222e-05
1851,1.3699755072593689e-05
1852,1.466600315325195e-05
1853,1.4596475011785515e-05
1854,1.4470957466983236e-05
1855,1.4726714653079398e-05
1856,1.599724782863632e-05
1857,1.720123691484332e-05
1858,1.6604570191702805e-05
1859,1.6358211723854765e-05
1860,1.7116530216298997e-05
1861,1.712777157081291e-05
1862,1.9837207219097763e-05
1863,1.9050388800678775e-05
1864,1.9737124603125267e-05
1865,2.0471783500397578e-05
1866,2.0724255591630936e-05
1867,1.9579185391194187e-05
1868,2.0155277525191195e-05
1869,2.1473955712281168e-05
1870,2.0442992536118254e-05
1871,2.073907853628043e-05
1872,2.149224565073382e-05
1873,2.1943531464785337e-05
1874,2.1641282728523947e-05
1875,2.2014206479070708e-05
1876,2.169089566450566e-05
1877,2.1379908503149636e-05
1878,2.2282174541032873e-05
1879,2.2813164832768962e-05
1880,2.3314792997553013e-05
1881,2.3475466150557622e-05
1882,2.3718210286460817e-05
1883,2.4319044314324856e-05
1884,2.4718923668842763e-05
1885,2.5816108973231167e-05
1886,2.6415689717396162e-05
1887,2.6323285055696033e-05
1888,2.7461535864858888e-05
1889,2.7581829272094183e-05
1890,2.87257043964928e-05
1891,2.9111521143931895e-05
1892,2.9692999305552803e-05
1893,3.0134806365822442e-05
1894,3.1536641472484916e-05
1895,2.9555456421803683e-05
1896,3.153568468405865e-05
1897,3.199381535523571e-05
1898,3.206258770660497e-05
1899,3.313731212983839e-05
1900,3.372100763954222e-05
1901,3.223096064175479e-05
1902,3.396822648937814e-05
1903,3.3886033634189516e-05
1904,3.455032128840685e-05
1905,3.561651465133764e-05
1906,3.443776586209424e-05
1907,3.569060572772287e-05
1908,3.6745394027093425e-05
1909,3.828757326118648e-05
1910,3.7994919694028795e-05
1911,3.826226748060435e-05
1912,4.031406933791004e-05
1913,4.160547905485146e-05
1914,4.137603536946699e-05
1915,4.1040064388653263e-05
1916,4.2495074012549594e-05
1917,4.2107607441721484e-05
1918,4.421627818373963e-05
1919,4.866739618591964e-05
1920,4.711246947408654e-05
1921,4.649139737011865e-05
1922,4.59604780189693e-05
1923,4.409360917634331e-05
1924,4.414728391566314e-05
1925,4.2687923269113526e-05
1926,4.218890535412356e-05
1927,4.319069557823241e-05
1928,4.375917706056498e-05
1929,4.3184958485653624e-05
1930,4.441235068952665e-05
1931,4.2601710447343066e-05
1932,4.340071973274462e-05
1933,4.259801789885387e-05
1934,4.427418389241211e-05
1935,4.414305294631049e-05
1936,4.6718938392587006e-05
1937,4.5864100684411824e-05
1938,4.711614747066051e-05
1939,4.738262214232236e-05
1940,4.8874266212806106e-05
1941,4.896790414932184e-05
1942,5.3000101615907624e-05
1943,5.491315823746845e-05
1944,5.8778510720003396e-05
1945,5.830423106090166e-05
1946,5.9099642385262996e-05
1947,5.835225965711288e-05
1948,5.8411824284121394e-05
1949,5.518403850146569e-05
1950,5.6187407608376816e-05
1951,5.900994437979534e-05
1952,5.870278982911259e-05
1953,6.0076708905398846e-05
1954,6.018739804858342e-05
1955,6.000278881401755e-05
1956,6.112489063525572e-05
1957,6.051159289199859e-05
1958,6.17709374637343e-05
1959,6.01431165705435e-05
1960,6.0308037063805386e-05
1961,5.9285703173372895e-05
1962,5.880152093595825e-05
1963,5.767816765001044e-05
1964,5.805479668197222e-05
1965,5.792429510620423e-05
1966,6.025327093084343e-05
1967,5.8960868045687675e-05
1968,5.901681288378313e-05
1969,5.933817010372877e-05
1970,5.908364983042702e-05
1971,5.802514715469442e-05
1972,5.963024523225613e-05
1973,5.847911234013736e-05
1974,5.995374885969795e-05
1975,6.010586366755888e-05
1976,5.881337710889056e-05
1977,6.050637239241041e-05
1978,6.022994057275355e-05
1979,6.120951002230868e-05
1980,6.18375779595226e-05
1981,6.210700666997582e-05
1982,6.279647641349584e-05
1983,6.678195495624095e-05
1984,6.610263517359272e-05
1985,6.623018998652697e-05
1986,6.825276796007529e-05
1987,6.877351552248001e-05
1988,6.956609286135063e-05
1989,6.908591603860259e-05
1990,7.108569843694568e-05
1991,7.281298894667998e-05
1992,7.336790440604091e-05
