,with
1800,0.006088550668209791
1801,0.0060779326595366
1802,0.006126054562628269
1803,0.005675027146935463
1804,0.006298641674220562
1805,0.006155956536531448
1806,0.006108415778726339
1807,0.00614447146654129
1808,0.006040898151695728
1809,0.005927286576479673
1810,0.006112819537520409
1811,0.005705735646188259
1812,0.005633724853396416
1813,0.005788146983832121
1814,0.005837852135300636
1815,0.00590958446264267
1816,0.005560677498579025
1817,0.005866389721632004
1818,0.005797987338155508
1819,0.005812456831336021
1820,0.005974228028208017
1821,0.005865350365638733
1822,0.0059007927775382996
1823,0.005913340486586094
1824,0.005937135778367519
1825,0.005892039742320776
1826,0.005720333196222782
1827,0.00586113752797246
1828,0.00579479057341814
1829,0.005830546375364065
1830,0.005785736721009016
1831,0.0058143590576946735
1832,0.005214410368353128
1833,0.0057545616291463375
1834,0.005692753940820694
1835,0.005726436618715525
1836,0.005689627956598997
1837,0.005674510728567839
1838,0.005667160265147686
1839,0.0057100821286439896
1840,0.0057318201288580894
1841,0.005678795278072357
1842,0.005778062157332897
1843,0.005701135378330946
1844,0.005753934383392334
1845,0.0057440451346337795
1846,0.005684722680598497
1847,0.00574298482388258
1848,0.005809822119772434
1849,0.0057555437088012695
1850,0.005725199822336435
1851,0.005685500800609589
1852,0.005720044951885939
1853,0.005687157157808542
1854,0.005777303595095873
1855,0.005732691381126642
1856,0.005717033054679632
1857,0.005704089067876339
1858,0.005650164559483528
1859,0.00567491352558136
1860,0.005626161582767963
1861,0.005561962258070707
1862,0.005610748194158077
1863,0.005576726980507374
1864,0.005614654626697302
1865,0.005589217878878117
1866,0.005533404648303986
1867,0.0055488888174295425
1868,0.005481794476509094
1869,0.005532898008823395
1870,0.005467155948281288
1871,0.005436277948319912
1872,0.00540216313675046
1873,0.005396785214543343
1874,0.005360794253647327
1875,0.005411009769886732
1876,0.005364559590816498
1877,0.005325965583324432
1878,0.0052910009399056435
1879,0.00531057408079505
1880,0.005398597568273544
1881,0.005312799010425806
1882,0.005355033092200756
1883,0.005360063631087542
1884,0.005299154669046402
1885,0.005342491436749697
1886,0.005153822712600231
1887,0.00518235145136714
1888,0.005237702280282974
1889,0.005239211022853851
1890,0.0053076911717653275
1891,0.0052093276754021645
1892,0.005236560013145208
1893,0.005260996986180544
1894,0.005183193366974592
1895,0.00516470754519105
1896,0.0052016666159033775
1897,0.005155411548912525
1898,0.005203593987971544
1899,0.005310477688908577
1900,0.005251515656709671
1901,0.005106127355247736
1902,0.005191821604967117
1903,0.005121963564306498
1904,0.005185979418456554
1905,0.005086448974907398
1906,0.004991632420569658
1907,0.005013303831219673
1908,0.004997905343770981
1909,0.004957369528710842
1910,0.005001217592507601
1911,0.004928526468575001
1912,0.004917390178889036
1913,0.004863825626671314
1914,0.004856319632381201
1915,0.004770709667354822
1916,0.0048144240863621235
1917,0.0047973026521503925
1918,0.004785426892340183
1919,0.004823772236704826
1920,0.004894958343356848
1921,0.004847874864935875
1922,0.004900890868157148
1923,0.004894418176263571
1924,0.004871602635830641
1925,0.0048895529471337795
1926,0.00493917241692543
1927,0.004916413687169552
1928,0.004905009642243385
1929,0.004891866352409124
1930,0.004923976492136717
1931,0.004821990616619587
1932,0.004865804221481085
1933,0.004796796012669802
1934,0.004882794339209795
1935,0.004836857784539461
1936,0.004821840673685074
1937,0.00482914736494422
1938,0.004842877388000488
1939,0.004793735686689615
1940,0.004792145453393459
1941,0.0047005279920995235
1942,0.00477093830704689
1943,0.004763576202094555
1944,0.0048466892912983894
1945,0.0048031373880803585
1946,0.004928031470626593
1947,0.004874236416071653
1948,0.004895015154033899
1949,0.004815259482711554
1950,0.0049212658777832985
1951,0.004845358431339264
1952,0.004898205865174532
1953,0.004853709135204554
1954,0.004899017512798309
1955,0.004861918743699789
1956,0.004910461138933897
1957,0.004847688600420952
1958,0.004901815205812454
1959,0.004892050754278898
1960,0.004885047674179077
1961,0.004876508377492428
1962,0.004919775296002626
1963,0.0048801833763718605
1964,0.004920511972159147
1965,0.004904530011117458
1966,0.004910236224532127
1967,0.004905941430479288
1968,0.004914006218314171
1969,0.004930852446705103
1970,0.004886699374765158
1971,0.004863487556576729
1972,0.0048399497754871845
1973,0.004771267995238304
1974,0.00480516767129302
1975,0.004777716472744942
1976,0.004765997640788555
1977,0.004739774391055107
1978,0.004712833557277918
1979,0.004727951716631651
1980,0.004765378311276436
1981,0.004724710248410702
1982,0.00473200436681509
1983,0.004757711198180914
1984,0.004728770814836025
1985,0.004751704167574644
1986,0.004780592862516642
1987,0.0047849202528595924
1988,0.00479892548173666
1989,0.004732934758067131
1990,0.004762793891131878
1991,0.00477630877867341
1992,0.004785733297467232
1993,0.004731146153062582
1994,0.004772148560732603
1995,0.0047820149920880795
1996,0.004846654366701841
1997,0.004878259263932705
1998,0.004899885039776564
1999,0.004900738596916199
2000,0.004955523181706667
2001,0.004968290217220783
2002,0.004963413346558809
2003,0.005040614400058985
2004,0.005135652143508196
2005,0.0051437667571008205
2006,0.005192246753722429
2007,0.005203251726925373
2008,0.005270729307085276
2009,0.00531770009547472
2010,0.00536008644849062
2011,0.005431801080703735
2012,0.005472259130328894
2013,0.005404741503298283
2014,0.005443543195724487
2015,0.005457835737615824
2016,0.005370670463889837
2017,0.00544157437980175
2018,0.005393100902438164
2019,0.005486862268298864
