,links
1800,3.2977948194456985e-06
1801,4.08300138587947e-06
1802,3.318050403322559e-06
1803,5.420378784037894e-06
1804,2.701068524402217e-06
1805,3.449137466304819e-06
1806,3.6953276776330313e-06
1807,3.2332118280464783e-06
1808,3.059260734517011e-06
1809,2.895761099352967e-06
1810,2.987679181387648e-06
1811,2.5602807909308467e-06
1812,2.4278301680169534e-06
1813,3.7177983358560596e-06
1814,3.276453071521246e-06
1815,3.0294465886981925e-06
1816,2.210589400419849e-06
1817,3.697723286677501e-06
1818,3.26504368786118e-06
1819,3.690111498144688e-06
1820,3.5647149161377456e-06
1821,3.838686552626314e-06
1822,3.816953721980099e-06
1823,3.645273636720958e-06
1824,3.1729762213217327e-06
1825,3.384356432434288e-06
1826,3.2063435355667025e-06
1827,4.1891044020303525e-06
1828,3.4256177059432957e-06
1829,4.610292762663448e-06
1830,3.7419545151351485e-06
1831,4.0715926843404304e-06
1832,5.685610631189775e-06
1833,4.511145107244374e-06
1834,4.352207724878099e-06
1835,4.398224973556353e-06
1836,4.212907242617803e-06
1837,4.262981292413315e-06
1838,4.592168352246517e-06
1839,4.371563136373879e-06
1840,4.002791683888063e-06
1841,4.4713910938298795e-06
1842,4.602888566296315e-06
1843,4.31217949881102e-06
1844,4.15583053836599e-06
1845,4.982913196727168e-06
1846,4.423592145030852e-06
1847,4.802422154170927e-06
1848,4.512875420914497e-06
1849,4.576391802402213e-06
1850,5.008556854591006e-06
1851,4.859054570260923e-06
1852,5.281897756503895e-06
1853,6.397234756150283e-06
1854,6.3729280554980505e-06
1855,5.4112510952109005e-06
1856,5.464163677970646e-06
1857,5.736102139053401e-06
1858,5.008456810173811e-06
1859,5.5547857300553005e-06
1860,6.132300313765882e-06
1861,5.654015239997534e-06
1862,5.568032065639272e-06
1863,6.014249720465159e-06
1864,5.817619694425957e-06
1865,5.228714144323021e-06
1866,5.960169801255688e-06
1867,6.2303547565534245e-06
1868,6.228248366824118e-06
1869,5.8587856983649544e-06
1870,5.634126409859164e-06
1871,5.358627731766319e-06
1872,6.76847412250936e-06
1873,6.1948639995534904e-06
1874,6.1649238887184765e-06
1875,6.167532319523161e-06
1876,6.248188128665788e-06
1877,6.528167432406917e-06
1878,6.766843853256432e-06
1879,6.498536095023155e-06
1880,6.0563556871784385e-06
1881,6.159185886644991e-06
1882,6.657855010416824e-06
1883,6.152506557555171e-06
1884,7.031804670987185e-06
1885,7.147673386498354e-06
1886,8.745192644710187e-06
1887,6.4805471993167885e-06
1888,6.119267709436826e-06
1889,5.808865807921393e-06
1890,6.66122332404484e-06
1891,6.069240043871105e-06
1892,6.3043330555956345e-06
1893,7.590098448417848e-06
1894,6.161215424071997e-06
1895,6.734373528161086e-06
1896,6.44419242235017e-06
1897,7.019219083304051e-06
1898,7.196516889962368e-06
1899,6.98786425346043e-06
1900,7.3077053457382135e-06
1901,6.402124654414365e-06
1902,6.589572876691818e-06
1903,7.263425231940346e-06
1904,7.525250566686736e-06
1905,7.779843144817278e-06
1906,7.02804709362681e-06
1907,7.351173280767398e-06
1908,7.479073701688321e-06
1909,7.4179320108669344e-06
1910,7.143512902985094e-06
1911,7.16172189640929e-06
1912,6.889484666317003e-06
1913,6.5376666498195846e-06
1914,6.862591362732928e-06
1915,6.948493592062732e-06
1916,6.89408489051857e-06
1917,6.5047033785958774e-06
1918,6.929232313268585e-06
1919,5.8392197388457134e-06
1920,5.358819635148393e-06
1921,5.531660917768022e-06
1922,6.0074826251366176e-06
1923,6.169853804749437e-06
1924,5.9016665545641445e-06
1925,5.544123268919066e-06
1926,5.576112016569823e-06
1927,5.64821129955817e-06
1928,5.438676453195512e-06
1929,5.543276984099066e-06
1930,5.653193056787131e-06
1931,5.306193543219706e-06
1932,5.302937552187359e-06
1933,5.338284154277062e-06
1934,4.799932412424823e-06
1935,4.745956175611354e-06
1936,5.061977844889043e-06
1937,4.984834959032014e-06
1938,4.962869297742145e-06
1939,4.8784636419441085e-06
1940,4.730816726805642e-06
1941,4.894887297268724e-06
1942,4.9682748795021325e-06
1943,5.694275387213565e-06
1944,5.909453193453373e-06
1945,5.371569386625197e-06
1946,5.398278972279513e-06
1947,6.15763610767317e-06
1948,6.238598871277645e-06
1949,6.123129423940554e-06
1950,6.741487595718354e-06
1951,6.430523171729874e-06
1952,7.004974122537533e-06
1953,7.3664837145770434e-06
1954,7.0948467509879265e-06
1955,6.979530098760733e-06
1956,7.309050488402136e-06
1957,7.406476015603403e-06
1958,7.613642083015293e-06
1959,8.113866897474509e-06
1960,8.40856500872178e-06
1961,8.780653843132313e-06
1962,9.201352440868504e-06
1963,9.368139217258431e-06
1964,1.0015182851930149e-05
1965,9.53882590692956e-06
1966,1.0185730388911907e-05
1967,1.015554244077066e-05
1968,1.0446691703691613e-05
1969,1.0538047718000598e-05
1970,1.0943635970761534e-05
1971,1.1199601431144401e-05
1972,1.2185897503513843e-05
1973,1.1881983482453506e-05
1974,1.21956736620632e-05
1975,1.2518684343376663e-05
1976,1.268525102204876e-05
1977,1.3096320799377281e-05
1978,1.3308736015460454e-05
1979,1.3751876394962892e-05
1980,1.4748361536476295e-05
1981,1.5143864402489271e-05
1982,1.575068017700687e-05
1983,1.6442250853287987e-05
1984,1.6731095456634648e-05
1985,1.7606829715077765e-05
1986,1.8679600543691777e-05
1987,1.867245555331465e-05
1988,1.9285327653051354e-05
1989,1.9702640202012844e-05
1990,2.0973911887267604e-05
1991,2.118998600053601e-05
1992,2.167213460779749e-05
1993,2.1953706891508773e-05
1994,2.326545109099243e-05
1995,2.4285711333504878e-05
1996,2.687479354790412e-05
1997,2.8811589800170623e-05
1998,2.9075888960505836e-05
1999,2.9590488338726573e-05
2000,3.0431367122218944e-05
2001,3.0646828236058354e-05
2002,3.2240248401649296e-05
2003,3.208611815352924e-05
2004,3.1563886295771226e-05
2005,3.0448982215602882e-05
2006,2.928148205683101e-05
2007,2.8893413400510326e-05
2008,2.657568984432146e-05
2009,2.7137561119161546e-05
2010,2.785704782581888e-05
2011,2.6419704227009788e-05
2012,2.6147597964154556e-05
2013,2.706891427806113e-05
2014,3.295059650554322e-05
2015,4.178168819635175e-05
2016,2.605096779006999e-05
2017,2.2020585674908943e-05
2018,1.998995321628172e-05
2019,2.0576047973008826e-05
