,media
1800,1.095296511266497e-06
1801,1.5878339354458149e-06
1802,1.3036700465818285e-06
1803,1.0950260502795572e-06
1804,1.3814128578815144e-06
1805,3.0601597700297134e-06
1806,1.0909078582699294e-06
1807,1.21298830890737e-06
1808,7.85264774094685e-07
1809,1.151065021076647e-06
1810,1.1760324696297175e-06
1811,1.0577222155916388e-06
1812,9.65053004620131e-07
1813,1.0511132586543681e-06
1814,1.114026872528484e-06
1815,1.0627292112985742e-06
1816,1.3008258292757091e-06
1817,1.218434931615775e-06
1818,1.0369724350312026e-06
1819,1.2366931514407042e-06
1820,1.282193920815189e-06
1821,1.8447752836436848e-06
1822,1.3245713716969476e-06
1823,1.3495663324647467e-06
1824,1.196840116790554e-06
1825,1.2183683111288701e-06
1826,1.962545866263099e-06
1827,1.161345267064462e-06
1828,1.3791102446703007e-06
1829,1.8572229691926623e-06
1830,1.4698443919769488e-06
1831,1.6434653389296727e-06
1832,2.478292799423798e-06
1833,1.6945147081059986e-06
1834,1.491702505518333e-06
1835,1.8721812011790462e-06
1836,1.7557147202751366e-06
1837,2.027997652476188e-06
1838,1.8679509139474249e-06
1839,1.7475744016337558e-06
1840,1.913577307277592e-06
1841,2.132846702807001e-06
1842,2.0990701159462333e-06
1843,2.111115918523865e-06
1844,1.7355147292619222e-06
1845,2.4691069029358914e-06
1846,1.6313631476805313e-06
1847,1.9260176031821175e-06
1848,1.9794049421761883e-06
1849,2.1484936496563023e-06
1850,2.1436758288473357e-06
1851,2.198499259975506e-06
1852,2.1645209926646203e-06
1853,2.4984838091768324e-06
1854,2.5593762984499335e-06
1855,2.572370476627839e-06
1856,2.2684303075948264e-06
1857,2.089969029839267e-06
1858,2.3230447823152645e-06
1859,2.1917173853580607e-06
1860,2.798620243993355e-06
1861,1.9866874936269596e-06
1862,2.1124828890606295e-06
1863,2.2129672743176343e-06
1864,2.110681407430093e-06
1865,2.1646549157594563e-06
1866,2.0818490611418383e-06
1867,1.98920383809309e-06
1868,2.1184960132814012e-06
1869,2.5811605155467987e-06
1870,2.191217390645761e-06
1871,2.1211169496382354e-06
1872,2.1594496502075344e-06
1873,2.5083388663915684e-06
1874,2.1612027012452018e-06
1875,2.1746177480963524e-06
1876,2.2126155272417236e-06
1877,2.513957952032797e-06
1878,2.3509012407885166e-06
1879,2.2965841708355583e-06
1880,2.485273626007256e-06
1881,2.7774628961196868e-06
1882,2.2968401935941074e-06
1883,2.806220663842396e-06
1884,2.6249949769407976e-06
1885,3.0665619306091685e-06
1886,3.232564267818816e-06
1887,2.6412988063384546e-06
1888,2.8221363663760712e-06
1889,2.9518439532694174e-06
1890,3.6275387174100615e-06
1891,3.7614959182974417e-06
1892,3.6666731375589734e-06
1893,4.0063819142233115e-06
1894,3.7709328353230376e-06
1895,3.9309538806264754e-06
1896,4.617592821887229e-06
1897,4.332616299507208e-06
1898,4.823415110877249e-06
1899,4.4527305362862535e-06
1900,5.523983872990357e-06
1901,5.3014537115814164e-06
1902,5.19271179655334e-06
1903,5.718045031244401e-06
1904,5.485864676302299e-06
1905,5.602384135272587e-06
1906,5.8412342696101405e-06
1907,4.8706333473091945e-06
1908,5.652636900776997e-06
1909,5.704798240913078e-06
1910,5.983043138257926e-06
1911,6.31043531029718e-06
1912,6.202832082635723e-06
1913,6.777070666430518e-06
1914,6.1858918343205005e-06
1915,6.3456236603087746e-06
1916,6.800204573664814e-06
1917,6.5546332734811585e-06
1918,6.396034223143943e-06
1919,6.5121730585815385e-06
1920,7.108042154868599e-06
1921,6.715744348184671e-06
1922,7.296128387679346e-06
1923,6.725626008119434e-06
1924,6.054959158063866e-06
1925,6.594994374609087e-06
1926,6.384263997460948e-06
1927,7.302843641809886e-06
1928,6.722940270265099e-06
1929,7.446822564816102e-06
1930,7.250132057379233e-06
1931,7.717475455137901e-06
1932,8.435139534412883e-06
1933,8.110822818707675e-06
1934,1.0356975508329924e-05
1935,8.787035767454654e-06
1936,8.160886864061467e-06
1937,8.415319825871848e-06
1938,8.67055405251449e-06
1939,9.463803507969715e-06
1940,9.265733751817606e-06
1941,9.26872144191293e-06
1942,9.74172871792689e-06
1943,1.0317691703676246e-05
1944,9.884159226203337e-06
1945,1.0664504770829808e-05
1946,1.1911443834833335e-05
1947,1.2454578609322198e-05
1948,1.3445906006381847e-05
1949,1.4151425602904055e-05
1950,1.4283951713878196e-05
1951,1.3786208000965416e-05
1952,1.4618615750805475e-05
1953,1.663641342020128e-05
1954,1.6680796761647798e-05
1955,1.668102413532324e-05
1956,1.872191933216527e-05
