,department
1800,2.4794971977826208e-05
1801,2.4959777874755673e-05
1802,3.669200305012055e-05
1803,2.551122452132404e-05
1804,2.558376763772685e-05
1805,2.8598971766768955e-05
1806,3.195573663106188e-05
1807,3.282542820670642e-05
1808,2.2941727365832776e-05
1809,2.3401369617204182e-05
1810,3.685682895593345e-05
1811,2.5210692911059596e-05
1812,3.399848719709553e-05
1813,2.797578417812474e-05
1814,3.6646397347794846e-05
1815,4.110389272682369e-05
1816,3.960322283091955e-05
1817,3.566079612937756e-05
1818,3.0329078072099946e-05
1819,4.1219554987037554e-05
1820,3.207283953088336e-05
1821,3.435016697039828e-05
1822,4.6675620978930965e-05
1823,3.8508038414875045e-05
1824,3.4264721762156114e-05
1825,4.31808948633261e-05
1826,3.031621963600628e-05
1827,4.130333036300726e-05
1828,3.833678420051001e-05
1829,3.954084968427196e-05
1830,3.7809699279023334e-05
1831,4.2642055632313713e-05
1832,5.6198903621407226e-05
1833,4.615951547748409e-05
1834,5.8742774854181334e-05
1835,5.308089384925552e-05
1836,4.5535423851106316e-05
1837,4.8551009967923164e-05
1838,4.50220140919555e-05
1839,4.517159322858788e-05
1840,4.055211684317328e-05
1841,4.3769839976448566e-05
1842,4.303650348447263e-05
1843,4.161597098573111e-05
1844,3.939858288504183e-05
1845,4.052059739478864e-05
1846,4.25444268330466e-05
1847,4.27561899414286e-05
1848,4.6830657083773986e-05
1849,4.787954094354063e-05
1850,5.363092714105733e-05
1851,5.2077597501920536e-05
1852,5.4830394219607115e-05
1853,4.777457070304081e-05
1854,5.245047577773221e-05
1855,5.759519262937829e-05
1856,5.827518180012703e-05
1857,5.3496420150622725e-05
1858,6.431831570807844e-05
1859,5.990833233227022e-05
1860,6.173811561893672e-05
1861,6.300223321886733e-05
1862,6.705778650939465e-05
1863,6.139735342003405e-05
1864,6.374985241563991e-05
1865,6.356636004056782e-05
1866,6.728182052029297e-05
1867,6.606602255487815e-05
1868,7.398111483780667e-05
1869,6.284096161834896e-05
1870,6.157943425932899e-05
1871,5.1907452871091664e-05
1872,5.784210588899441e-05
1873,5.766075264546089e-05
1874,5.750549098593183e-05
1875,5.637551657855511e-05
1876,6.207064870977774e-05
1877,5.7945937442127615e-05
1878,6.338251114357263e-05
1879,6.537496665259823e-05
1880,6.668646528851241e-05
1881,6.314912025118247e-05
1882,6.474215479101986e-05
1883,6.257779750740156e-05
1884,6.335363286780193e-05
1885,6.376098463078961e-05
1886,6.621967622777447e-05
1887,6.562624912476167e-05
1888,6.72144306008704e-05
1889,7.314219692489132e-05
1890,6.978306919336319e-05
1891,8.595736289862543e-05
1892,8.151757356245071e-05
1893,8.201679884223267e-05
1894,8.145350875565782e-05
1895,8.542502473574132e-05
1896,8.345035166712478e-05
1897,9.709177538752556e-05
1898,9.19120866456069e-05
1899,9.182905341731384e-05
1900,9.804499131860211e-05
1901,0.00010750981164164841
1902,9.805170702748e-05
1903,0.00010167733125854284
1904,9.697284258436412e-05
1905,0.00010103901149705052
1906,0.0001029235718306154
1907,0.0001094623512472026
1908,0.00010870624100789428
1909,0.000118153118819464
1910,0.00012442620936781168
1911,0.00013194992789067328
1912,0.0001347350626019761
1913,0.00014209971413947642
1914,0.00015020580030977726
1915,0.00015677143528591841
1916,0.00015963075566105545
1917,0.0001565137499710545
1918,0.00015679314674343914
1919,0.00016337686975020915
1920,0.00015115427959244698
1921,0.00016134818724822253
1922,0.0001494785537943244
1923,0.00014350069977808744
1924,0.00015203969087451696
1925,0.00013582257088273764
1926,0.0001410268305335194
1927,0.00013876035518478602
1928,0.000139957555802539
1929,0.000140276228194125
1930,0.00014542698045261204
1931,0.00013239809777587652
1932,0.00014035137428436428
