,department
1933,0.00012552182306535542
1934,0.00011039110540878028
1935,0.00012060083827236667
1936,0.00012165791122242808
1937,0.0001259857090190053
1938,0.0001250831555807963
1939,0.0001376284781144932
1940,0.00012719430378638208
1941,0.00013243191642686725
1942,0.00012606149539351463
1943,0.00013142205716576427
1944,0.00012710179726127535
1945,0.00013212425983510911
1946,0.00011955069203395396
1947,0.00011998705303994939
1948,0.00012095100828446448
1949,0.00011960211850237101
1950,0.0001047528421622701
1951,0.00010924731759587303
1952,0.00010146605927729979
1953,0.000109088170574978
1954,0.00011295871809124947
1955,0.00010861609916901216
1956,9.723402763484046e-05
1957,0.00012100987078156322
1958,9.110254904953763e-05
1959,9.51186812017113e-05
1960,8.60299842315726e-05
1961,8.99008518899791e-05
1962,7.919758354546502e-05
1963,8.10021665529348e-05
1964,7.581832323921844e-05
1965,8.03353323135525e-05
1966,7.430079131154343e-05
1967,8.719328616280109e-05
1968,7.35366265871562e-05
1969,7.863080827519298e-05
1970,7.40989125915803e-05
1971,8.112272917060181e-05
1972,7.06602368154563e-05
1973,7.734430982964113e-05
1974,6.944010237930343e-05
1975,7.393005216727033e-05
1976,6.974082498345524e-05
1977,7.267135515576228e-05
1978,6.902970926603302e-05
1979,7.119196379790083e-05
1980,6.611325079575181e-05
1981,6.740843673469499e-05
1982,6.540591857628897e-05
1983,6.675079930573702e-05
1984,6.076957652112469e-05
1985,7.103577081579715e-05
1986,6.154141010483727e-05
1987,6.442857556976378e-05
1988,6.180234777275473e-05
1989,6.954959098948166e-05
1990,6.360051338560879e-05
1991,6.14798191236332e-05
1992,5.958228211966343e-05
1993,6.270228186622262e-05
1994,5.683050403604284e-05
1995,6.695236515952274e-05
1996,5.910261461394839e-05
1997,6.671645678579807e-05
1998,5.8617835748009384e-05
1999,6.33381714578718e-05
2000,5.4877466027392074e-05
2001,6.229753489606082e-05
2002,5.5628392146900296e-05
2003,5.4337389883585274e-05
2004,5.0627455493668094e-05
2005,5.282817437546328e-05
2006,4.87950565002393e-05
2007,5.0085764087270945e-05
2008,4.5697051973547786e-05
2009,4.4304637413006276e-05
2010,4.041944703203626e-05
2011,4.027130489703268e-05
2012,3.601245043682866e-05
2013,3.417892730794847e-05
2014,3.326600926811807e-05
2015,3.3065130992326885e-05
2016,3.3989374060183764e-05
2017,2.8912130801472813e-05
2018,2.8400248993420973e-05
2019,3.0190240067895502e-05
