,why
1927,9.795082587515935e-05
1928,9.838669211603701e-05
1929,9.99511539703235e-05
1930,9.929736552294344e-05
1931,9.486627095611766e-05
1932,9.735739877214655e-05
1933,9.342445264337584e-05
1934,0.00010050054697785527
1935,0.00010100035433424637
1936,9.978035086533055e-05
1937,9.558616147842258e-05
1938,9.761221735971048e-05
1939,9.743648843141273e-05
1940,9.585268708178774e-05
1941,9.485577902523801e-05
1942,0.00010064646630780771
1943,0.0001044606469804421
1944,0.00010471572022652254
1945,0.0001068427663994953
1946,0.00010921877401415259
1947,0.00010866684169741347
1948,0.00010688102338463068
1949,9.719292575027794e-05
1950,0.00010205332364421338
1951,0.00010635788203217089
1952,0.00011221267777727917
1953,0.00010610692697810009
1954,0.00010345791088184342
1955,0.00010708170884754509
1956,0.00010720006685005501
1957,0.00010605689749354497
1958,0.00010503124940441921
1959,0.0001017727772705257
1960,0.00010193195339525118
1961,0.00010211490734945983
1962,0.00010173160262638703
1963,0.00010196270886808634
1964,0.00010252558422507718
1965,0.00010123528045369312
1966,0.00010712296352721751
1967,0.00010464642400620505
1968,0.00010614580241963267
1969,0.00010731534712249413
1970,0.000106278937892057
1971,0.0001041263312799856
1972,0.00010277263208990917
1973,0.00010099213250214234
1974,0.0001041959912981838
1975,0.00010099371866090223
1976,0.0001001335695036687
1977,0.00010010883852373809
1978,0.00010037310858024284
1979,0.00010038190521299839
1980,0.00010132251190952957
1981,9.97102542896755e-05
1982,0.00010218356328550726
1983,0.00010285501048201695
1984,0.00010490071872482076
1985,0.00010372051474405453
1986,0.00010866723459912464
1987,0.0001094324397854507
1988,0.00011271538096480072
1989,0.00011188731878064573
1990,0.00011305084626656026
1991,0.00011498189996927977
1992,0.0001159624443971552
1993,0.00011464998533483595
1994,0.00011785400420194492
1995,0.00011892761540366337
1996,0.00012295915803406388
1997,0.00012790755135938525
1998,0.0001294164831051603
1999,0.00013299359125085175
2000,0.00014430680312216282
2001,0.0001448868861189112
2002,0.00015191560669336468
2003,0.00015461973089259118
2004,0.00015819308464415371
2005,0.00016401699394918978
2006,0.00016547914128750563
2007,0.0001735888363327831
2008,0.00018155462748836726
2009,0.00020034043700434268
2010,0.00021005510643590242
2011,0.0002258104650536552
2012,0.00021410215413197875
2013,0.00021383982675615698
2014,0.0002470466133672744
2015,0.0002399690420133993
2016,0.00023110606707632542
2017,0.0002375508047407493
2018,0.00022861857723910362
2019,0.00024534761905670166
