,select
1800,1.7000906154862605e-05
1801,1.6080868590506725e-05
1802,2.0169036361039616e-05
1803,1.758093094395008e-05
1804,2.124125421687495e-05
1805,1.9251352568971924e-05
1806,1.8901699149864726e-05
1807,1.9659806639538147e-05
1808,1.6821390090626664e-05
1809,1.5968313164194115e-05
1810,1.6159829101525247e-05
1811,1.8724318579188548e-05
1812,1.85994322237093e-05
1813,2.1658426703652367e-05
1814,2.143230267392937e-05
1815,1.8791592083289288e-05
1816,2.2632741092820652e-05
1817,2.0388672055560164e-05
1818,2.1285652110236697e-05
1819,2.258129825349897e-05
1820,2.2426998839364387e-05
1821,2.266115916427225e-05
1822,1.941617483680602e-05
1823,2.1598219973384403e-05
1824,2.2310719941742718e-05
1825,2.4368240701733157e-05
1826,2.2788539354223758e-05
1827,2.2506814275402576e-05
1828,2.5493154680589214e-05
1829,2.3574870283482596e-05
1830,2.640522870933637e-05
1831,2.8347461920930073e-05
1832,2.4259523343062028e-05
1833,2.7387761292629875e-05
1834,2.979048076667823e-05
1835,3.2724725315347314e-05
1836,3.519858728395775e-05
1837,3.2595642551314086e-05
1838,3.092411861871369e-05
1839,2.9324150091269985e-05
1840,2.603603388706688e-05
1841,2.745131860137917e-05
1842,2.647310793690849e-05
1843,2.6098474336322397e-05
1844,2.5081935746129602e-05
1845,2.1316480342647992e-05
1846,2.5938858016161248e-05
1847,2.4228085749200545e-05
1848,2.7153868359164335e-05
1849,3.029942308785394e-05
1850,2.4891754947020672e-05
1851,2.9049819204374216e-05
1852,2.8088741601095535e-05
1853,3.0052913643885404e-05
1854,2.565486283856444e-05
1855,2.6707986762630753e-05
1856,2.3285614588530734e-05
1857,2.4668139303685166e-05
1858,2.354246680624783e-05
1859,2.4422688511549495e-05
1860,2.3887332645244896e-05
1861,2.4888231564546004e-05
1862,2.2475145669886842e-05
1863,2.187263817177154e-05
1864,2.1076761186122894e-05
1865,2.212082290498074e-05
1866,2.176384259655606e-05
1867,2.2660900867776945e-05
1868,2.3004706235951744e-05
1869,2.261883309984114e-05
