,select
1870,2.226124342996627e-05
1871,2.180277260777075e-05
1872,2.1401910998974927e-05
1873,2.1934660253464244e-05
1874,1.9710714695975184e-05
1875,1.9523400624166243e-05
1876,2.053994103334844e-05
1877,1.9969509594375268e-05
1878,2.040555227722507e-05
1879,1.9996568880742416e-05
1880,2.04204443434719e-05
1881,2.035942452494055e-05
1882,1.8842007193597965e-05
1883,1.8693481251830235e-05
1884,1.8605865989229642e-05
1885,1.895723835332319e-05
1886,2.0595904061337933e-05
1887,1.9827788491966203e-05
1888,1.967470598174259e-05
1889,1.9977136616944335e-05
1890,1.8564996935310774e-05
1891,1.9963525119237602e-05
1892,1.9020351828658022e-05
1893,1.8633234503795393e-05
1894,1.8114064005203545e-05
1895,1.760576560627669e-05
1896,1.7832715457188897e-05
1897,1.8749155060504563e-05
1898,1.8030415958492085e-05
1899,1.7663591279415414e-05
1900,1.8575046851765364e-05
1901,1.7876149286166765e-05
1902,1.843764584918972e-05
1903,1.8550885215518065e-05
1904,1.8433882360113785e-05
1905,1.816706935642287e-05
1906,1.8224945961264893e-05
1907,1.8980810637003742e-05
1908,1.8599388567963615e-05
1909,1.9181037714588456e-05
1910,1.8223454389953986e-05
1911,1.8104805349139497e-05
1912,1.8359129171585664e-05
1913,1.9153474568156525e-05
1914,1.8380183973931707e-05
1915,1.917126792250201e-05
1916,1.8744200133369304e-05
1917,1.8445629393681884e-05
1918,1.7619413483771496e-05
1919,1.8625340089784004e-05
1920,1.7920117898029275e-05
1921,1.826264451665338e-05
1922,1.7552194549352862e-05
1923,1.8337404981139116e-05
1924,1.897030415420886e-05
1925,1.8324481061426923e-05
1926,1.8323671611142345e-05
1927,1.8552083929535e-05
1928,1.7745225704857148e-05
1929,1.8060178263112903e-05
1930,1.8314582121092826e-05
1931,1.7737820598995313e-05
1932,1.8147515220334753e-05
1933,1.8020831703324802e-05
1934,1.8193064533988945e-05
1935,1.852802961366251e-05
1936,1.8021315554506145e-05
1937,1.8528739019529894e-05
1938,1.7630754882702604e-05
1939,1.879247611213941e-05
1940,1.8682436348171905e-05
1941,1.8395074221189134e-05
1942,1.7668558939476497e-05
1943,1.7415042748325504e-05
1944,1.8007316612056457e-05
1945,1.7590809875400737e-05
1946,1.81331233761739e-05
1947,1.832815723901149e-05
1948,1.798673656594474e-05
1949,1.81523100764025e-05
1950,1.7713629858917557e-05
1951,1.7957274394575506e-05
1952,1.7799329725676216e-05
1953,1.8782187908072956e-05
1954,1.8620019545778632e-05
1955,1.8350674508837983e-05
1956,1.8426930182613432e-05
1957,2.0082432456547394e-05
1958,1.8594226276036352e-05
1959,1.919318674481474e-05
1960,1.8691171135287732e-05
1961,1.8598884707898833e-05
1962,1.847812563937623e-05
1963,1.8641781935002655e-05
1964,1.8896354958997108e-05
1965,1.871780477813445e-05
1966,1.839591823227238e-05
1967,1.9029170289286412e-05
1968,1.8615954104461707e-05
1969,1.9004824935109355e-05
1970,1.9611483367043547e-05
1971,1.949810939549934e-05
1972,1.948914177773986e-05
1973,2.0108518583583646e-05
1974,1.992777470150031e-05
1975,2.0511155526037328e-05
1976,2.104975465044845e-05
1977,2.1479303541127592e-05
1978,2.0886269339825958e-05
1979,2.069408401439432e-05
1980,2.0762277927133255e-05
1981,2.093812327075284e-05
1982,2.061397026409395e-05
1983,2.131290966644883e-05
1984,2.1735908376285806e-05
1985,2.2405980416806415e-05
1986,2.2531821741722524e-05
1987,2.2886499209562317e-05
1988,2.320637031516526e-05
1989,2.3715445422567427e-05
1990,2.513552135496866e-05
1991,2.546191717556212e-05
1992,2.6230152798234485e-05
1993,2.785061406029854e-05
1994,2.8300566555117257e-05
1995,2.850567216228228e-05
1996,2.735445559665095e-05
1997,3.169248884660192e-05
1998,3.0989162041805685e-05
1999,3.2423507946077734e-05
2000,3.0381273973034695e-05
2001,3.2888830901356414e-05
2002,3.406340692890808e-05
2003,3.606382597354241e-05
2004,3.671064041554928e-05
2005,3.27322595694568e-05
2006,3.523978011799045e-05
2007,3.599429328460246e-05
2008,3.440964064793661e-05
2009,3.694873885251582e-05
2010,4.350568269728683e-05
2011,3.8107311411295086e-05
2012,3.318231392768212e-05
2013,3.519511301419698e-05
2014,2.8324193408479914e-05
2015,2.896401747420896e-05
2016,2.7933301680604927e-05
2017,2.352580486331135e-05
2018,2.2561114747077227e-05
2019,2.3103237253963016e-05
