,previous
1800,5.061777847004123e-05
1801,4.803197589353658e-05
1802,5.726055314880796e-05
1803,5.3996307542547584e-05
1804,4.7621364501537755e-05
1805,5.5228741985047236e-05
1806,4.7584711865056306e-05
1807,4.473321678233333e-05
1808,4.677233300753869e-05
1809,4.633760909200646e-05
1810,4.083454405190423e-05
1811,4.716419425676577e-05
1812,5.8375571825308725e-05
1813,5.4116317187435925e-05
1814,5.929608960286714e-05
1815,5.6540200603194535e-05
1816,5.1901322876801714e-05
1817,5.9302528825355694e-05
1818,6.075009150663391e-05
1819,5.860115197720006e-05
1820,5.5783228162908927e-05
1821,5.7607870985521004e-05
1822,5.311646964401007e-05
1823,5.3736057452624664e-05
1824,5.439503365778364e-05
1825,5.763449735241011e-05
1826,5.969639460090548e-05
1827,6.251736340345815e-05
1828,6.530388054670766e-05
1829,6.26777473371476e-05
1830,6.311693869065493e-05
1831,6.616492464672774e-05
1832,7.201953849289566e-05
1833,6.974062125664204e-05
1834,7.385552453342825e-05
1835,7.509646093240008e-05
1836,7.719371205894276e-05
1837,7.654295768588781e-05
1838,7.723170710960403e-05
1839,7.526444824179634e-05
1840,7.45785582694225e-05
1841,7.796216959832236e-05
1842,7.487160473829135e-05
1843,7.855203148210421e-05
1844,7.661883864784613e-05
1845,7.616172661073506e-05
1846,7.985095726326108e-05
1847,8.247936784755439e-05
1848,8.038056694203988e-05
1849,8.457057265331969e-05
1850,8.221228199545294e-05
1851,8.155846444424242e-05
1852,8.51810909807682e-05
1853,8.41655710246414e-05
1854,8.114668889902532e-05
1855,8.546017488697544e-05
1856,8.492475899402052e-05
1857,8.681360486662015e-05
1858,8.811547013465315e-05
1859,8.629521471448243e-05
1860,8.621744927950203e-05
1861,8.975618402473629e-05
1862,8.845898992149159e-05
1863,8.917621744330972e-05
1864,9.066163329407573e-05
1865,8.88327558641322e-05
1866,8.917865488911048e-05
1867,9.050976223079488e-05
1868,8.895825885701925e-05
1869,8.826763951219618e-05
1870,8.778087794780731e-05
1871,8.595730469096452e-05
1872,8.647663344163448e-05
1873,8.747757965466008e-05
1874,9.07367211766541e-05
1875,9.128807869274169e-05
1876,9.317969670519233e-05
1877,9.522133768768981e-05
1878,9.465774928685278e-05
1879,9.497378050582483e-05
1880,9.231550939148292e-05
1881,9.083179611479864e-05
1882,9.187262912746519e-05
1883,8.958796388469636e-05
1884,9.300436795456335e-05
1885,8.996889664558694e-05
1886,9.195539314532652e-05
1887,9.109437087317929e-05
1888,8.78110877238214e-05
1889,8.832570165395737e-05
1890,8.547434845240787e-05
1891,8.644163608551025e-05
1892,8.657873695483431e-05
1893,8.697280281921849e-05
1894,8.684257772983983e-05
1895,8.779838390182704e-05
1896,8.778382471064106e-05
1897,8.763585356064141e-05
1898,8.660628373036161e-05
1899,8.40683132992126e-05
1900,8.748583786655217e-05
1901,8.892467303667217e-05
