,previous
1902,9.106842480832711e-05
1903,8.983012958196923e-05
1904,8.919352694647387e-05
1905,9.019413846544921e-05
1906,9.013696399051696e-05
1907,9.141596092376858e-05
1908,9.242957457900047e-05
1909,9.234261960955337e-05
1910,9.038372081704438e-05
1911,9.333535854239017e-05
1912,9.337047231383622e-05
1913,9.331452019978315e-05
1914,9.528070222586393e-05
1915,9.612503345124424e-05
1916,9.749342279974371e-05
1917,9.492999379290268e-05
1918,9.681913070380688e-05
1919,9.560293983668089e-05
1920,9.64751816354692e-05
1921,9.939968003891408e-05
1922,9.869969653664157e-05
1923,9.807808237383142e-05
1924,9.701906674308702e-05
1925,9.889854118227959e-05
1926,9.983858035411686e-05
1927,9.620080527383834e-05
1928,9.733995830174536e-05
1929,9.784719441086054e-05
1930,0.00010024425864685327
1931,0.00010056333121610805
1932,0.00010267007019137964
1933,0.00010344634210923687
1934,0.00010428169480292127
1935,0.00010073455632664263
1936,0.00010163670958718285
1937,9.756122017279267e-05
1938,9.848146873991936e-05
1939,9.493320976616815e-05
1940,9.579832840245217e-05
1941,9.231796866515651e-05
1942,9.089707600651309e-05
1943,9.1030407929793e-05
1944,9.087287617148831e-05
1945,9.112768020713702e-05
1946,9.215022873831913e-05
1947,9.252256859326735e-05
1948,9.399639384355396e-05
1949,9.141938789980486e-05
1950,9.438047709409148e-05
1951,9.575162403052673e-05
1952,9.622923244023696e-05
1953,9.784965368453413e-05
1954,9.658352064434439e-05
1955,9.637697075959295e-05
1956,9.634664456825703e-05
1957,9.467090421821922e-05
1958,9.552791743772104e-05
1959,9.59635799517855e-05
1960,9.48420274653472e-05
1961,9.543481428408995e-05
1962,9.405313176102936e-05
1963,9.271389717468992e-05
1964,9.48936867644079e-05
1965,9.142544149653986e-05
1966,9.319877426605672e-05
1967,8.95348348421976e-05
1968,9.008408960653469e-05
1969,9.115585999097675e-05
1970,9.087844955502078e-05
1971,9.121434413827956e-05
1972,9.153445716947317e-05
1973,9.089490049518645e-05
1974,9.337957453681156e-05
1975,9.28809677134268e-05
1976,9.19643571251072e-05
1977,9.260530350729823e-05
1978,9.08965666894801e-05
1979,9.242406667908654e-05
1980,9.274757758248597e-05
1981,9.222474182024598e-05
1982,9.347811283078045e-05
1983,9.502784814685583e-05
1984,9.134001447819173e-05
1985,9.183998918160796e-05
1986,9.131862316280603e-05
1987,9.16190620046109e-05
1988,9.158311149803922e-05
1989,9.021657751873136e-05
1990,9.233818855136633e-05
1991,9.118697926169261e-05
1992,9.094449342228472e-05
1993,9.349205356556922e-05
1994,9.133461571764201e-05
1995,9.089327068068087e-05
1996,9.048388164956123e-05
1997,9.178086475003511e-05
1998,9.173800208372995e-05
1999,9.141095506493002e-05
2000,8.989000343717635e-05
2001,9.021617734106258e-05
2002,9.055218833964318e-05
2003,9.169676923193038e-05
2004,9.086695354199037e-05
2005,9.081203461391851e-05
2006,8.954855002230033e-05
2007,8.904706919565797e-05
2008,8.595108374720439e-05
2009,8.414756302954629e-05
2010,8.348299888893962e-05
2011,8.188944775611162e-05
2012,8.331673598149791e-05
2013,8.290376717923209e-05
2014,7.736280531389639e-05
2015,7.778525468893349e-05
2016,8.177912968676537e-05
2017,7.44911449146457e-05
2018,7.399576134048402e-05
2019,7.893556175986305e-05
