,message
1800,2.136621878889855e-05
1801,1.781857463356573e-05
1802,2.251143814646639e-05
1803,2.4476712496834807e-05
1804,2.6575133233563974e-05
1805,2.7346948627382517e-05
1806,2.6587193133309484e-05
1807,2.602158929221332e-05
1808,2.8473119527916424e-05
1809,2.4009479602682404e-05
1810,2.018001578107942e-05
1811,2.7525489713298157e-05
1812,2.971907269966323e-05
1813,2.51061992457835e-05
1814,2.583426612545736e-05
1815,2.182438038289547e-05
1816,3.0195997169357724e-05
1817,2.7430143745732494e-05
1818,2.9179891498642974e-05
1819,2.0884006517007947e-05
1820,3.0027804314158857e-05
1821,2.4457058316329494e-05
1822,2.4578741431469098e-05
1823,2.094613591907546e-05
1824,2.4614411813672632e-05
1825,3.0019897167221643e-05
1826,3.8789778045611456e-05
1827,2.7234813387622125e-05
1828,5.0040605856338516e-05
1829,2.380878504482098e-05
1830,2.6966667064698413e-05
1831,2.3919836166896857e-05
1832,2.2354810425895266e-05
1833,3.192625808878802e-05
1834,3.2584008295089006e-05
1835,2.671002221177332e-05
1836,3.470842057140544e-05
1837,3.3924774470506236e-05
1838,2.821163070620969e-05
1839,2.725186277530156e-05
1840,2.8263480999157764e-05
1841,3.076064967899583e-05
1842,2.708580177568365e-05
1843,2.8380489311530255e-05
1844,2.762618169072084e-05
1845,2.0927809600834735e-05
1846,2.7362284527043812e-05
1847,2.4130382371367887e-05
1848,2.86478825728409e-05
1849,3.0637722375104204e-05
1850,2.6425375835970044e-05
1851,2.618981852720026e-05
1852,2.952799513877835e-05
1853,2.8580872822203673e-05
1854,2.7867463359143585e-05
1855,2.8215024940436706e-05
1856,3.030676998605486e-05
1857,3.0194254577509128e-05
1858,3.0475217499770224e-05
1859,2.6147534299525432e-05
1860,2.6891822926700115e-05
1861,3.223256499040872e-05
1862,2.7488293198985048e-05
1863,2.8200280212331563e-05
1864,2.5695113436086103e-05
1865,3.074706910410896e-05
1866,3.2127642043633386e-05
1867,2.8192693207529373e-05
1868,2.9912185709690675e-05
1869,2.960422534670215e-05
1870,2.858534389815759e-05
1871,2.9388542316155508e-05
1872,2.8262937121326104e-05
1873,2.891921940317843e-05
1874,2.8835256671300158e-05
1875,2.9487770007108338e-05
1876,2.6401747163617983e-05
1877,2.8069145628251135e-05
1878,2.254697392345406e-05
1879,2.604834662633948e-05
1880,2.27178188652033e-05
1881,2.6144725779886357e-05
1882,2.3756336304359138e-05
1883,2.3626353140571155e-05
1884,2.388325628999155e-05
1885,2.693433634703979e-05
1886,2.652901821420528e-05
1887,2.854213016689755e-05
1888,2.7717926059267484e-05
1889,2.6248719223076478e-05
1890,2.2642085241386667e-05
1891,2.323356966371648e-05
1892,2.251060686830897e-05
1893,2.4764985937508754e-05
1894,2.6529702154221013e-05
1895,2.6800013074534945e-05
1896,2.541064350225497e-05
1897,2.910741386585869e-05
1898,2.4162720364984125e-05
1899,2.7787169528892264e-05
1900,2.6314084607292898e-05
1901,2.8902682970510796e-05
1902,2.5964707674575038e-05
1903,2.652824332471937e-05
1904,2.6442079615662806e-05
1905,2.6408897610963322e-05
1906,2.677876727830153e-05
1907,2.7752701498684473e-05
1908,2.6083904231199995e-05
1909,2.820110967149958e-05
1910,2.7167561711394228e-05
1911,2.6674739274312742e-05
1912,2.6245697881677188e-05
1913,2.5992156224674545e-05
1914,2.6163403163081966e-05
1915,2.7062760636908934e-05
1916,2.5788212951738387e-05
1917,3.08680537273176e-05
1918,2.925493572547566e-05
1919,2.9512186301872134e-05
1920,2.8710979677271098e-05
1921,2.958215009130072e-05
1922,2.6574605726636946e-05
1923,2.8662883778451942e-05
1924,2.7958483769907616e-05
1925,2.838214459188748e-05
1926,2.5287667085649446e-05
1927,2.8654929337790236e-05
1928,2.5347746486659162e-05
1929,2.8081432901672088e-05
1930,2.5186847778968513e-05
1931,2.9028949938947335e-05
1932,2.580579894129187e-05
1933,2.9174070732551627e-05
1934,2.7104129912913777e-05
1935,2.815300649672281e-05
1936,2.5396000637556426e-05
1937,2.7437588869361207e-05
1938,2.6367264581494965e-05
1939,2.8245727662579156e-05
1940,2.5205887141055427e-05
1941,2.9768107197014615e-05
1942,2.9117147278157063e-05
1943,3.0848896130919456e-05
1944,2.904475695686415e-05
1945,3.054583430639468e-05
1946,5.940869959886186e-05
1947,2.8600710720638745e-05
1948,2.5515018933219835e-05
1949,2.5670229661045596e-05
1950,2.5032988560269587e-05
1951,2.639097692735959e-05
1952,2.519417103030719e-05
1953,2.5550312784616835e-05
1954,2.489886355760973e-05
1955,2.684209175640717e-05
1956,2.6616224204190075e-05
1957,2.4452650905004703e-05
1958,2.6672756575862877e-05
1959,2.553211925260257e-05
1960,2.4920611394918524e-05
1961,2.790399048535619e-05
1962,2.7237152607995085e-05
1963,2.7289894205750898e-05
1964,2.751264037215151e-05
1965,2.977492658828851e-05
1966,2.929100264736917e-05
1967,3.0739654903300107e-05
1968,3.023202771146316e-05
1969,3.0631905246991664e-05
1970,3.0381392207345925e-05
1971,3.034148357983213e-05
1972,3.076018037972972e-05
1973,3.090033715125173e-05
1974,3.0113809771137312e-05
1975,2.9879549401812255e-05
1976,3.109157478320412e-05
1977,3.095799547736533e-05
1978,3.160264895996079e-05
1979,3.1900141038931906e-05
1980,3.147431925754063e-05
1981,3.3781270758481696e-05
1982,3.452111559454352e-05
