,canada
1800,3.968465556170031e-09
1801,0.0
1802,5.467003205694709e-08
1803,0.0
1804,6.500766591699403e-09
1805,0.0
1806,2.4569997147949607e-09
1807,6.4066285609953866e-09
1808,5.453227647223002e-09
1809,8.144328234038767e-08
1810,8.787291783107776e-09
1811,1.647542324789697e-09
1812,7.59884244416753e-09
1813,3.051127128728126e-09
1814,8.203437928955282e-09
1815,1.336766253245969e-08
1816,5.431423311108574e-09
1817,2.047789671166811e-08
1818,2.5687715066169403e-08
1819,6.656045048458736e-09
1820,5.997164986837333e-09
1821,1.0025952512648928e-08
1822,7.364574727830586e-09
1823,3.611225096733506e-08
1824,8.09891798070339e-09
1825,6.113676231933596e-09
1826,1.0815632833782729e-08
1827,1.4082601751397306e-08
1828,9.749493656840968e-09
1829,8.792569872184686e-08
1830,1.0979913867004143e-08
1831,1.1584577741530211e-08
1832,3.148287675003303e-08
1833,1.534403182290589e-08
1834,6.502625993221045e-09
1835,1.1324877924323573e-08
1836,3.464087017235329e-09
1837,2.5001117620604418e-08
1838,1.1729675897242942e-08
1839,1.0508564685096644e-08
1840,7.589258110840547e-09
1841,2.404260968091876e-08
1842,1.1139871247678457e-08
1843,6.031760335645231e-08
1844,1.0776552095137504e-08
1845,1.4899782740940282e-08
1846,1.3311629132317648e-08
1847,2.5711399231909127e-08
1848,2.2424224255246372e-08
1849,2.8305697341579616e-08
1850,1.7393768203533e-08
1851,9.953156521191886e-09
1852,1.2037656205166058e-08
1853,5.648919110257111e-09
1854,3.542501758602157e-08
1855,8.848275001582806e-09
1856,1.5539507458584012e-08
1857,4.1714535825576604e-08
1858,2.3520783543062862e-08
1859,1.4611448939660932e-08
1860,1.9205556256451928e-08
1861,1.7338656732590607e-08
1862,2.388432029931664e-08
1863,1.3235959883672876e-08
1864,1.4234643685995252e-08
1865,1.404100480328907e-08
1866,2.004991017656721e-08
1867,2.2746943884044413e-08
1868,1.857515208314453e-08
1869,2.9109669341664812e-08
1870,4.416313004185213e-08
1871,9.724138827493789e-09
1872,6.650428652221763e-09
