,january
1800,3.7700422694797453e-07
1801,1.3042921409578412e-06
1802,8.705151230969932e-07
1803,1.4667584764538333e-06
1804,8.093454653135268e-07
1805,5.409219738794491e-07
1806,8.230949219978356e-07
1807,1.38596726628748e-06
1808,9.597680445949663e-07
1809,1.4424509799937368e-06
1810,1.0720495993155055e-06
1811,4.479667495616013e-06
1812,5.293859999255801e-07
1813,3.1579165238326823e-07
1814,3.773581340738019e-07
1815,3.7763646787425387e-07
1816,5.526473501049622e-07
1817,3.5690050026460085e-07
1818,2.906767804233823e-07
1819,1.118215564588354e-07
1820,1.559262869932354e-07
1821,9.274005918769035e-08
1822,9.047906246451021e-08
1823,7.531983214903448e-08
1824,1.16984374187723e-07
1825,9.345190932208425e-08
1826,5.997760155196374e-08
1827,3.4737084320113354e-08
1828,4.60885161146507e-08
1829,5.8893625975997566e-08
1830,1.5371879769077168e-08
1831,2.0079934159866752e-08
1832,3.345055787917772e-08
1833,1.6678294301186725e-08
1834,2.080840388885008e-08
1835,1.668929350273629e-08
1836,8.082869484837829e-09
1837,1.2791270265211097e-08
1838,1.7594514289953622e-08
1839,2.206798654924569e-08
1840,1.843105579268922e-08
1841,1.1219884576973982e-08
1842,1.538363214592664e-08
1843,2.2222273798888637e-08
1844,1.1756238649240913e-08
1845,2.17111129074965e-08
1846,1.422967343955861e-08
1847,4.207320003501991e-08
1848,2.0088368302140225e-08
1849,1.369630453496029e-08
1850,2.2060389071043573e-08
1851,1.7226618354015955e-08
1852,1.655177683801412e-08
1853,1.0965549357422333e-08
1854,3.217501642893694e-08
1855,1.3095446504962638e-08
1856,3.513279978051287e-08
1857,1.2726468767709775e-08
1858,1.984566111445929e-08
1859,1.9829823116879197e-08
1860,1.4151462224276656e-08
1861,1.6532208491071287e-08
1862,2.5163837236164e-08
1863,5.0809010332386606e-08
1864,3.04463192435378e-08
1865,3.744267829119963e-08
1866,4.7451454321389974e-08
1867,5.340586639590583e-08
1868,6.315551814850551e-08
1869,1.4059351371997764e-07
1870,1.264396445321836e-07
1871,1.2735485199755203e-07
1872,1.3965900791390595e-07
1873,1.9513244353674963e-07
1874,1.8916560406978533e-07
1875,2.7720213324755605e-07
1876,2.70603720764484e-07
1877,3.087853599481605e-07
1878,2.7687394776876317e-07
1879,3.0374263815247105e-07
1880,2.524908779832913e-07
1881,2.959071139230218e-07
1882,3.927455054508755e-07
1883,3.0018964025657624e-07
1884,3.511041199999454e-07
1885,3.253273632708442e-07
1886,4.110411566671246e-07
1887,3.096857028594968e-07
1888,3.530971923737525e-07
1889,4.7604157771274913e-07
1890,4.903647550236201e-07
1891,4.40038320448366e-07
1892,5.312691655490198e-07
1893,5.283764039631933e-07
1894,4.679835399201693e-07
1895,5.346663556338171e-07
1896,7.312856951102731e-07
1897,9.842989356911858e-07
1898,7.195034754658991e-07
1899,5.411596362137061e-07
1900,5.945304906163074e-07
1901,6.26916516921483e-07
1902,6.446265956583375e-07
1903,6.036304966983153e-07
1904,6.115398036854458e-07
1905,5.756418772762117e-07
1906,5.222779577707115e-07
1907,5.587650662164378e-07
1908,5.960760631751327e-07
1909,6.301256689766888e-07
1910,6.610451350752555e-07
1911,6.33205161193473e-07
1912,6.139163701845973e-07
1913,5.827457130180846e-07
1914,5.929438771090645e-07
1915,5.61501565243816e-07
1916,5.097351163385611e-07
1917,5.307101105245238e-07
1918,4.979416416972526e-07
1919,5.089034971206274e-07
1920,5.890048555556859e-07
1921,5.829317615280161e-07
1922,6.311471452136175e-07
1923,4.005069627055491e-07
1924,2.686064135559718e-07
1925,2.694801537472813e-07
1926,2.0934267297434417e-07
1927,2.818977122842625e-07
1928,2.0258357835700735e-07
1929,2.498373703474499e-07
1930,2.424138472179038e-07
1931,2.441299216116022e-07
1932,3.315220737931668e-07
1933,2.437668626953382e-07
1934,2.5689985250210157e-07
1935,2.384894344231725e-07
1936,2.6336425662520924e-07
1937,2.4377644081141625e-07
1938,3.4517950098233996e-07
1939,2.3318018804729945e-07
1940,2.3187504893940059e-07
1941,2.993544683249638e-07
1942,2.371653806676477e-07
1943,2.388713937762077e-07
1944,2.7084914222541556e-07
1945,2.6048834911307495e-07
1946,4.903157559965621e-07
1947,3.163278279316728e-07
1948,3.2163279684027657e-07
1949,2.394345131051523e-07
1950,3.358748017490143e-07
1951,3.528755883053236e-07
1952,2.717754910008807e-07
1953,3.347109611695487e-07
1954,2.473262838975643e-07
1955,2.930232199105376e-07
1956,3.4484941124901525e-07
1957,2.570775734511699e-07
1958,7.045366032798484e-07
1959,2.7283485337648017e-07
1960,4.4228374918020563e-07
1961,3.119225766567979e-07
