,b
1800,7.740491855656728e-05
1801,6.384955486282706e-05
1802,8.95621269592084e-05
1803,0.0001679885172052309
1804,5.84678964514751e-05
1805,8.749868720769882e-05
1806,9.158220927929506e-05
1807,6.8187880970072e-05
1808,6.530603423016146e-05
1809,8.333276491612196e-05
1810,6.412086804630235e-05
1811,6.512899562949315e-05
1812,7.032474968582392e-05
1813,6.421249418053776e-05
1814,6.902208406245336e-05
1815,6.138430762803182e-05
1816,6.795117951696739e-05
1817,7.651127816643566e-05
1818,6.553070852532983e-05
1819,7.81805720180273e-05
1820,6.201908399816602e-05
1821,6.690317968605086e-05
1822,7.694192026974633e-05
1823,7.492260192520916e-05
1824,6.546355143655092e-05
1825,7.23579796613194e-05
1826,8.741784404264763e-05
1827,6.835131353000179e-05
1828,6.699586083414033e-05
1829,7.698226545471698e-05
1830,6.640578794758767e-05
1831,5.8258839999325573e-05
1832,0.00012363423593342304
1833,7.114159961929545e-05
1834,7.473273581126705e-05
1835,6.389853660948575e-05
1836,7.666197780054063e-05
1837,6.349295290419832e-05
1838,7.404416828649119e-05
1839,6.467181083280593e-05
1840,5.864057311555371e-05
1841,6.54584146104753e-05
1842,6.394657248165458e-05
1843,5.742182838730514e-05
1844,6.310013850452378e-05
1845,6.445049803005531e-05
1846,6.902447057655081e-05
1847,7.011638808762655e-05
1848,6.171894347062334e-05
1849,6.723790284013376e-05
1850,6.283180846367031e-05
1851,6.65288171148859e-05
1852,8.044163405429572e-05
1853,7.050183194223791e-05
1854,7.19053132343106e-05
1855,8.242309559136629e-05
1856,7.940114301163703e-05
1857,7.610322063555941e-05
1858,7.696367538301274e-05
1859,7.230196933960542e-05
1860,8.131397044053301e-05
1861,7.173728226916865e-05
1862,6.533256964758039e-05
1863,6.289130396908149e-05
1864,6.719107477692887e-05
1865,6.223830860108137e-05
1866,7.151134923333302e-05
1867,7.6711927249562e-05
1868,7.343191100517288e-05
1869,6.657907943008468e-05
1870,7.3357077781111e-05
1871,7.412867853417993e-05
1872,7.537651254097e-05
1873,7.361105235759169e-05
1874,8.881694520823658e-05
1875,7.512779848184437e-05
1876,7.726896728854626e-05
1877,7.762668974464759e-05
1878,8.679492748342454e-05
1879,8.730427362024784e-05
1880,8.753286238061264e-05
1881,8.533859363524243e-05
1882,8.370904834009707e-05
1883,0.00010011738777393475
1884,8.211770909838378e-05
1885,8.610534860054031e-05
1886,8.1454731116537e-05
1887,9.871007932815701e-05
1888,0.00010568617290118709
1889,8.657081343699247e-05
1890,9.236325422534719e-05
1891,8.776420872891322e-05
1892,7.78247049311176e-05
1893,8.661937317810953e-05
1894,8.509987674187869e-05
1895,8.850529411574826e-05
1896,8.839354995870963e-05
1897,0.00010628758172970265
1898,9.876167314359918e-05
1899,9.665119432611391e-05
1900,0.00010940414358628914
1901,9.338228119304404e-05
1902,9.69762695604004e-05
1903,0.00010752895468613133
1904,9.664260142017156e-05
1905,0.00010310835932614282
1906,9.474452235735953e-05
1907,0.0001049034544848837
1908,0.00010988835856551304
1909,0.00010677458340069279
1910,0.00010780902084661648
1911,0.00011768806143663824
1912,0.0001265787723241374
1913,0.0001121828900068067
1914,0.00011142423318233341
1915,0.00011153792002005503
1916,0.00011714379070326686
1917,0.00011202127643628046
1918,0.00012029457866447046
1919,0.0001162006810773164
1920,0.00011849868315039203
1921,0.00012868145131506026
1922,0.00013073853915557265
1923,0.00013219327956903726
1924,0.00013428785314317793
1925,0.0001452396681997925
1926,0.00014012759493198246
1927,0.0001535533956484869
1928,0.0001349193771602586
1929,0.00014031714817974716
1930,0.00015670647553633898
1931,0.00015010972856543958
1932,0.0001665547169977799
1933,0.00017364585073664784
1934,0.000167800608323887
1935,0.00017008632130455226
1936,0.00020065015996806324
1937,0.00018083068425767124
1938,0.00019175164925400168
1939,0.00021232719882391393
1940,0.00020719041640404612
1941,0.00022789508511777967
1942,0.00020921663963235915
1943,0.0002237287990283221
1944,0.00021486425248440355
1945,0.00021867996838409454
1946,0.00022422822075895965
1947,0.00021717300114687532
1948,0.00022370887745637447
1949,0.0002433649788144976
1950,0.0002226560318376869
1951,0.0002299050393048674
