,features
1800,2.7021282221539877e-05
1801,2.1630186893162318e-05
1802,2.098488221236039e-05
1803,1.8448306946083903e-05
1804,2.2814439944340847e-05
1805,2.0530724214040674e-05
1806,2.2732161596650258e-05
1807,2.174409746658057e-05
1808,2.1220326743787155e-05
1809,1.9066777895204723e-05
1810,2.149810825358145e-05
1811,2.0716197468573228e-05
1812,1.8357535736868158e-05
1813,2.0683590264525265e-05
1814,2.3050019080983475e-05
1815,2.5936607926269062e-05
1816,2.0227978893672116e-05
1817,2.646183202159591e-05
1818,2.6235267796437256e-05
1819,2.7984675398329273e-05
1820,2.9300948881427757e-05
1821,2.9548988095484674e-05
1822,2.7309946744935587e-05
1823,2.797770684992429e-05
1824,3.1089944968698546e-05
1825,2.8836464480264112e-05
1826,2.9753806302323937e-05
1827,3.315138383186422e-05
1828,3.065418059122749e-05
1829,3.24047650792636e-05
1830,3.109658064204268e-05
1831,3.48850226146169e-05
1832,2.9999737307662144e-05
1833,3.475623088888824e-05
1834,3.5821016354020685e-05
1835,3.583012585295364e-05
1836,3.501499304547906e-05
1837,3.45527078025043e-05
1838,3.7167825212236494e-05
1839,3.6172583349980414e-05
1840,3.4157081245211884e-05
1841,3.823255974566564e-05
1842,3.8830406992929056e-05
1843,3.7034478737041354e-05
1844,3.797754834522493e-05
1845,3.744187779375352e-05
1846,3.730331809492782e-05
1847,3.836187534034252e-05
1848,3.834869494312443e-05
1849,3.902488242601976e-05
1850,4.037475446239114e-05
1851,3.9595572161488235e-05
1852,3.913818363798782e-05
1853,3.748589369934052e-05
1854,4.026036913273856e-05
1855,3.8313384720822796e-05
1856,3.82798898499459e-05
1857,3.988616663264111e-05
1858,3.803935396717861e-05
1859,3.89736051147338e-05
1860,3.849837958114222e-05
1861,3.678981011034921e-05
1862,3.852540976367891e-05
1863,3.811188071267679e-05
1864,3.741299224202521e-05
1865,3.794152507907711e-05
1866,3.512009061523713e-05
1867,3.6474888474913314e-05
1868,3.580050906748511e-05
1869,3.714672493515536e-05
1870,3.70498419215437e-05
1871,3.783473948715255e-05
1872,3.6958372220396996e-05
1873,3.871486842399463e-05
1874,3.83358565159142e-05
1875,3.923771873814985e-05
1876,4.0185608668252826e-05
1877,3.9075534004950896e-05
1878,3.9547201595269144e-05
1879,3.900141382473521e-05
1880,3.975018626078963e-05
1881,3.819360790657811e-05
1882,3.9962036680663005e-05
1883,4.043075750814751e-05
1884,3.898758222931065e-05
1885,4.084582542418502e-05
1886,4.100270234630443e-05
1887,3.840658246190287e-05
1888,3.9972106606001034e-05
1889,4.1097355278907344e-05
1890,4.415836156113073e-05
1891,4.3310883484082296e-05
1892,4.549789082375355e-05
1893,4.667596294893883e-05
1894,4.6091987314866856e-05
1895,4.587339935824275e-05
1896,4.583805275615305e-05
1897,4.6068747906247154e-05
1898,4.645947410608642e-05
1899,4.56174930150155e-05
1900,4.748558421852067e-05
1901,4.660773993236944e-05
1902,4.820087997359224e-05
1903,4.737904600915499e-05
1904,4.70472987217363e-05
1905,4.904876186628826e-05
1906,4.71856546937488e-05
1907,4.818896559299901e-05
1908,4.851333505939692e-05
1909,4.8511854402022436e-05
1910,5.0105089030694216e-05
1911,4.946983608533628e-05
1912,5.096470704302192e-05
1913,5.050613981438801e-05
1914,5.0506292609497905e-05
1915,5.031861292081885e-05
1916,5.04805902892258e-05
1917,4.804394848179072e-05
1918,4.712359805125743e-05
1919,4.968457142240368e-05
1920,5.126267933519557e-05
1921,5.087088720756583e-05
1922,5.10700156155508e-05
1923,5.0921877118526027e-05
1924,4.871693818131462e-05
1925,4.860279295826331e-05
1926,4.991000605514273e-05
1927,5.0005306547973305e-05
1928,5.180342122912407e-05
1929,5.091772254672833e-05
1930,5.095020242151804e-05
1931,4.853411519434303e-05
1932,5.008602965972386e-05
1933,5.083806172478944e-05
1934,4.9753551138564944e-05
1935,5.279304969008081e-05
1936,4.8157224227907136e-05
1937,5.014528505853377e-05
1938,4.912282383884303e-05
1939,4.647848254535347e-05
1940,4.753297253046185e-05
1941,4.376483411761001e-05
1942,4.37069138570223e-05
1943,4.224123767926358e-05
1944,4.579532105708495e-05
1945,4.631845513358712e-05
1946,4.8641573812346905e-05
1947,5.027474617236294e-05
1948,5.2722814871231094e-05
1949,5.753494406235404e-05
1950,5.5043135944288224e-05
1951,5.241627150098793e-05
1952,5.39347565791104e-05
1953,5.803906969958916e-05
1954,6.094860873417929e-05
1955,5.8195466408506036e-05
1956,6.122483318904415e-05
1957,6.0788483096985146e-05
1958,6.224272510735318e-05
1959,6.325752474367619e-05
1960,6.352409400278702e-05
1961,6.132436101324856e-05
1962,6.247129203984514e-05
1963,6.303824193309993e-05
1964,6.343222048599273e-05
1965,6.155439768917859e-05
1966,6.297005893429741e-05
1967,6.122088962001726e-05
1968,6.392042996594682e-05
1969,6.354416836984456e-05
1970,6.303937698248774e-05
1971,6.401077553164214e-05
1972,6.72336682328023e-05
1973,6.625396781601012e-05
1974,6.85015766066499e-05
1975,6.855709943920374e-05
1976,6.813724030507728e-05
1977,7.039216143311933e-05
1978,7.096970512066036e-05
1979,7.159435335779563e-05
1980,7.470003765774891e-05
1981,7.66770463087596e-05
1982,7.79712208895944e-05
1983,8.12580474303104e-05
1984,8.125166641548276e-05
1985,8.228532533394173e-05
1986,8.541571878595278e-05
1987,8.48842246341519e-05
1988,8.351037104148418e-05
1989,8.138944394886494e-05
1990,8.314744627568871e-05
1991,8.289881225209683e-05
1992,8.383514068555087e-05
1993,8.425474516116083e-05
1994,8.57454288052395e-05
1995,8.356828038813546e-05
1996,8.61037042341195e-05
1997,8.69075593072921e-05
1998,8.67549970280379e-05
1999,8.541974966647103e-05
2000,8.346090908162296e-05
2001,8.349680865649134e-05
2002,8.524837903678417e-05
2003,8.853396138874814e-05
2004,8.766564860707149e-05
2005,8.851913298713043e-05
2006,8.672292460687459e-05
2007,8.497891394654289e-05
2008,8.22743313619867e-05
2009,8.074670768110082e-05
2010,8.116312528727576e-05
2011,8.414355397690088e-05
2012,8.81502783158794e-05
2013,8.542461000615731e-05
2014,7.812339754309505e-05
2015,7.821403414709494e-05
2016,8.25650931801647e-05
2017,7.865492079872638e-05
2018,7.830100366845727e-05
2019,8.236189023591578e-05
