,image
1800,3.344622746226378e-05
1801,3.286249193479307e-05
1802,3.685601404868066e-05
1803,2.8562888473970816e-05
1804,3.282886973465793e-05
1805,2.9343498681555502e-05
1806,3.5159664548700675e-05
1807,3.5990302421851084e-05
1808,3.24067150359042e-05
1809,3.6037748941453174e-05
1810,3.510230089887045e-05
1811,3.506464418023825e-05
1812,2.367545857850928e-05
1813,3.0482286092592403e-05
1814,2.9666913178516552e-05
1815,3.859076969092712e-05
1816,2.7450412744656205e-05
1817,3.237848068238236e-05
1818,3.126465162495151e-05
1819,3.237233977415599e-05
1820,3.217239282093942e-05
1821,3.489908704068512e-05
1822,3.609378109104e-05
1823,3.1531151762465015e-05
1824,3.411444413359277e-05
1825,3.2900312362471595e-05
1826,3.386276512173936e-05
1827,3.2934513001237065e-05
1828,3.305432983324863e-05
1829,3.618308255681768e-05
1830,3.668681893032044e-05
1831,3.501322862575762e-05
1832,2.6141118723899126e-05
1833,3.407242184039205e-05
1834,2.808874342008494e-05
1835,3.3923373848665506e-05
1836,3.0594237614423037e-05
1837,3.008099702128675e-05
1838,2.9769917091471143e-05
1839,3.474079130683094e-05
1840,3.220881262677722e-05
1841,3.11902113026008e-05
1842,3.335754809086211e-05
1843,3.176673999405466e-05
1844,3.284154081484303e-05
1845,3.338573151268065e-05
1846,3.0742059607291594e-05
1847,3.25323999277316e-05
1848,3.1675619538873434e-05
1849,3.262962127337232e-05
1850,3.334088614792563e-05
1851,3.272980757174082e-05
1852,3.0603860068367794e-05
1853,3.123785791103728e-05
1854,3.2486364943906665e-05
1855,3.0779610824538395e-05
1856,3.0406086807488464e-05
1857,2.7952628443017602e-05
1858,2.866558679670561e-05
1859,2.8555989047163166e-05
1860,2.852227225957904e-05
1861,2.5302342692157254e-05
1862,2.6073574190377258e-05
1863,2.6938167138723657e-05
1864,2.5290217308793217e-05
1865,2.6652165615814738e-05
1866,2.479204886185471e-05
1867,2.6394367523607798e-05
1868,2.442508593958337e-05
1869,2.7893256628885865e-05
1870,2.5624598492868245e-05
1871,2.7895102903130464e-05
1872,2.5382470994372852e-05
1873,2.575541293481365e-05
1874,2.3417054762830958e-05
1875,2.410741217317991e-05
1876,2.3313152269111015e-05
1877,2.143999699910637e-05
1878,2.3505923309130594e-05
1879,2.1532723621930927e-05
1880,2.4002047211979516e-05
1881,2.466925434418954e-05
1882,2.2925143639440648e-05
1883,2.5337940314784646e-05
1884,2.3062391846906394e-05
1885,2.16569551412249e-05
1886,2.0843248421442695e-05
1887,2.0414696336956695e-05
1888,1.9452851120149717e-05
1889,2.007253897318151e-05
1890,2.2070089471526444e-05
1891,2.2166930648381822e-05
1892,2.2545231331605464e-05
1893,1.9610661183833145e-05
1894,2.015627069340553e-05
1895,1.964013972610701e-05
1896,2.0448393115657382e-05
1897,1.9264269212726504e-05
1898,2.0165660316706635e-05
1899,2.1134392227395438e-05
1900,1.9993362002423964e-05
1901,1.9010281903319992e-05
1902,1.77073416125495e-05
1903,1.800215250113979e-05
1904,1.648050601943396e-05
1905,1.6603338735876605e-05
1906,1.603195778443478e-05
1907,1.6609028534730896e-05
1908,1.6833038898766972e-05
1909,1.6011621482903138e-05
1910,1.5602552593918517e-05
1911,1.5337474906118587e-05
1912,1.3955793292552698e-05
1913,1.4334156730910763e-05
1914,1.3516576473193709e-05
1915,1.261567376786843e-05
1916,1.2736171811411623e-05
1917,1.2689159120782278e-05
1918,1.2883109775430057e-05
1919,1.2961866559635382e-05
1920,1.3593547919299453e-05
1921,1.367076129099587e-05
1922,1.4025944437889848e-05
1923,1.571104621689301e-05
1924,1.4451024981099181e-05
1925,1.4772888789593708e-05
1926,1.5074562725203577e-05
1927,1.642477400309872e-05
1928,1.5103909390745685e-05
1929,1.4401833141164389e-05
1930,1.5536928913206793e-05
1931,1.3857446901965886e-05
1932,1.456626250728732e-05
1933,1.358137797069503e-05
1934,1.4735474906046875e-05
1935,1.5562054613837972e-05
1936,1.5214475752145518e-05
1937,1.5304914995795116e-05
1938,1.5707611964899115e-05
1939,1.5630987036274746e-05
1940,1.5160480870690662e-05
1941,1.4502704289043322e-05
1942,1.6312831576215103e-05
1943,1.4357561667566188e-05
1944,1.7189557183883153e-05
1945,1.5795112631167285e-05
1946,1.7151289284811355e-05
1947,1.8155118596041575e-05
1948,2.078170837194193e-05
1949,2.0305598809500225e-05
1950,2.274085818498861e-05
1951,2.017794940911699e-05
1952,2.3312932171393186e-05
1953,2.282678906340152e-05
1954,2.278958163515199e-05
1955,2.3092623450793326e-05
1956,2.4875613235053606e-05
1957,2.4503659005858935e-05
1958,2.594245052023325e-05
1959,2.9827240723534487e-05
