,pc
1800,3.6113036117058073e-07
1801,3.3619951977925666e-07
1802,3.5745790682994993e-07
1803,2.824014302404976e-07
1804,2.7303218530505546e-07
1805,2.491887869382481e-07
1806,3.071249636832363e-07
1807,4.783615850101341e-07
1808,2.799323510771501e-07
1809,4.253149086252961e-07
1810,2.592250893940218e-07
1811,2.1253295301448816e-07
1812,1.8870457552111475e-07
1813,1.495052259770091e-07
1814,1.9524182448549254e-07
1815,5.764804313912464e-07
1816,2.4441405344077793e-07
1817,1.5212152959520608e-07
1818,1.3249452024410857e-07
1819,1.371145259554396e-07
1820,1.2953876193932956e-07
1821,1.0025952690284612e-07
1822,1.3361442086079478e-07
1823,1.2794053816378437e-07
1824,1.4398077041732904e-07
1825,9.170513948220105e-08
1826,3.1561984314976144e-07
1827,9.67005320262615e-08
1828,6.647382377877875e-08
1829,8.958467390129954e-08
1830,8.198335876841156e-08
1831,9.885506102591535e-08
1832,7.870718832236889e-08
1833,1.187494618193341e-07
1834,1.1509648345509049e-07
1835,2.837180090864422e-07
1836,1.044999606847341e-07
1837,8.43060945499019e-08
1838,8.797257322612495e-08
1839,1.455436233754881e-07
1840,7.426631043472298e-08
1841,8.708767751386404e-08
1842,7.16134564981985e-08
1843,7.248694089412311e-08
1844,6.906790162020116e-08
1845,1.7666884843947628e-07
1846,7.573858340492734e-08
1847,7.058947915083991e-08
1848,8.362367509562318e-08
1849,7.167732718471598e-08
1850,1.4763490696623194e-07
1851,1.113987906364855e-07
1852,1.4482804999715881e-07
1853,1.2161790152731555e-07
1854,1.3780007179775566e-07
1855,1.2529157800145185e-07
1856,1.2364043300294725e-07
1857,1.3150685163054732e-07
1858,1.33039435468163e-07
1859,1.4611448762025248e-07
1860,1.3174337709642714e-07
1861,1.3104799734264816e-07
1862,1.3520231334496202e-07
1863,1.0844948405974719e-07
1864,1.0359656954506136e-07
1865,1.8838348125882476e-07
1866,1.7343171521133627e-07
1867,1.7604156710149255e-07
1868,1.9658702399283356e-07
1869,2.5300639094893995e-07
1870,1.7967740006952226e-07
1871,1.9918799409879284e-07
1872,1.9064562195580947e-07
1873,2.1021085672146e-07
1874,1.1815749445531765e-07
1875,1.3501778539648512e-07
1876,1.3625756878354878e-07
1877,1.4882897403367679e-07
1878,1.5921655460715556e-07
1879,1.5750612192277913e-07
1880,1.5927477647892374e-07
1881,1.8008424262916378e-07
1882,1.4370526457696542e-07
1883,1.705832204379476e-07
1884,1.451701763244273e-07
1885,1.6538608349492279e-07
1886,1.5627658456196514e-07
1887,1.5890080362623848e-07
1888,1.4505833689781866e-07
1889,1.8269182078256563e-07
1890,2.2651563824638288e-07
1891,1.8807479307270114e-07
1892,1.4069473763811402e-07
1893,1.319170195301922e-07
1894,1.4141670590106514e-07
1895,1.5682917364756577e-07
1896,1.3253543329483364e-07
1897,1.3422960876141588e-07
1898,1.3678717891707493e-07
1899,1.50314576785604e-07
1900,1.4382123936229618e-07
1901,1.1124138410423257e-07
1902,1.2851732833496499e-07
1903,1.7102020422044006e-07
1904,1.3914990404373384e-07
1905,1.5102162365110416e-07
1906,1.60220281486545e-07
1907,1.298421352657897e-07
1908,1.5080671289524616e-07
1909,1.4650801460902585e-07
1910,1.559804019279909e-07
1911,1.601506482984405e-07
1912,1.6939615932187735e-07
1913,1.4607209664063703e-07
1914,1.508777955905316e-07
1915,1.495319565947284e-07
1916,1.7514950911845517e-07
1917,1.8999975281985826e-07
1918,1.7929468754118716e-07
1919,1.425561890755489e-07
1920,1.6883176101600839e-07
1921,1.9256577843407285e-07
1922,2.1578529185717343e-07
1923,1.531541187205221e-07
1924,1.4975053375110292e-07
1925,1.7649766448357695e-07
