,post
1800,4.439125405042432e-05
1801,4.835602521779947e-05
1802,4.618356251739897e-05
1803,4.709476343123242e-05
1804,5.2233659516787156e-05
1805,5.7070308685069904e-05
1806,5.240780228632502e-05
1807,4.506849654717371e-05
1808,4.674506635637954e-05
1809,4.682807775679976e-05
1810,4.6336852392414585e-05
1811,4.711476867669262e-05
1812,4.87339093524497e-05
1813,4.9689129809848964e-05
1814,5.51320263184607e-05
1815,4.945700857206248e-05
1816,5.0687398470472544e-05
1817,4.890414493274875e-05
1818,4.829290264751762e-05
1819,4.937187986797653e-05
1820,5.139570566825569e-05
1821,4.8722369683673605e-05
1822,5.0885002565337345e-05
1823,5.523316940525547e-05
1824,4.989653461962007e-05
1825,5.302041972754523e-05
1826,5.645072087645531e-05
1827,5.975811291136779e-05
1828,5.7074423239100724e-05
1829,5.4793468734715134e-05
1830,5.144016176927835e-05
1831,4.9528702220413834e-05
1832,4.7880537749733776e-05
1833,5.2886207413394004e-05
1834,5.857825817656703e-05
1835,6.201324140420184e-05
1836,6.032996316207573e-05
1837,6.349934847094119e-05
1838,5.903370038140565e-05
1839,5.848594446433708e-05
1840,6.0495061916299164e-05
1841,5.956957465969026e-05
1842,5.387294731917791e-05
1843,5.7849869335768744e-05
1844,5.5663342209300026e-05
1845,5.949440674157813e-05
1846,5.9959711506962776e-05
1847,5.734343358199112e-05
1848,5.911726475460455e-05
1849,5.751900243922137e-05
1850,5.723016511183232e-05
1851,5.989388591842726e-05
1852,6.230766302905977e-05
1853,6.304127600742504e-05
1854,7.420696056215093e-05
1855,6.666467379545793e-05
1856,6.737457442795858e-05
1857,6.616491009481251e-05
1858,6.937418220331892e-05
1859,6.94551708875224e-05
1860,6.810863123973832e-05
1861,6.686391134280711e-05
1862,6.794406363042071e-05
1863,6.830823258496821e-05
1864,7.786587229929864e-05
1865,6.631215364905074e-05
1866,6.359898543450981e-05
1867,6.505823694169521e-05
1868,7.37012451281771e-05
1869,6.785928417230025e-05
1870,6.803421274526045e-05
1871,6.875907274661586e-05
1872,6.607173418160528e-05
1873,7.035057205939665e-05
1874,6.931924872333184e-05
1875,7.060799543978646e-05
1876,7.299173739738762e-05
1877,7.003891369095072e-05
1878,7.216946687549353e-05
1879,7.448725227732211e-05
1880,7.791203097440302e-05
1881,7.646442827535793e-05
1882,7.253229705384001e-05
1883,6.820612907176837e-05
1884,6.933764962013811e-05
1885,7.179049134720117e-05
1886,7.033391011646017e-05
1887,6.964959902688861e-05
1888,7.261470454977825e-05
1889,7.211034971987829e-05
1890,7.00689633958973e-05
1891,7.660711708012968e-05
1892,7.359452138189226e-05
1893,7.548840949311852e-05
1894,6.954887794563547e-05
1895,7.70591213949956e-05
1896,7.155041384976357e-05
1897,7.901098433649167e-05
1898,7.779514999128878e-05
1899,7.440802437486127e-05
1900,7.245027518365532e-05
1901,7.298104173969477e-05
1902,7.648464088561013e-05
1903,7.464108057320118e-05
1904,8.660677849547938e-05
1905,7.044561789371073e-05
1906,7.975600601639599e-05
1907,8.031079778447747e-05
1908,8.055394573602825e-05
1909,7.567057764390483e-05
1910,7.679701957385987e-05
1911,8.729488763492554e-05
1912,8.137247641570866e-05
1913,7.809332601027563e-05
1914,7.929880666779354e-05
1915,7.157585787354037e-05
1916,7.829413516446948e-05
1917,7.32347252778709e-05
1918,6.709113222314045e-05
1919,6.835121166659519e-05
1920,6.455903348978609e-05
1921,6.560614565387368e-05
1922,6.909216608619317e-05
1923,6.606821989407763e-05
1924,7.025070954114199e-05
1925,6.583565846085548e-05
1926,6.973860581638291e-05
1927,6.862081500003114e-05
1928,7.598349475301802e-05
1929,7.482492947019637e-05
1930,7.589877350255847e-05
1931,7.06012942828238e-05
1932,7.296583498828113e-05
1933,7.019646727712825e-05
1934,7.398807792924345e-05
1935,6.794664659537375e-05
1936,6.858676351839676e-05
1937,8.35472164908424e-05
1938,7.052690489217639e-05
1939,7.048797851894051e-05
1940,7.031469431240112e-05
1941,7.64454816817306e-05
1942,9.075504931388423e-05
1943,0.00011484947754070163
1944,0.0001277429109904915
1945,0.00010190551256528124
1946,7.768508658045903e-05
1947,7.432389247696847e-05
1948,8.077082020463422e-05
1949,8.386463014176115e-05
1950,7.63306234148331e-05
1951,7.593516784254462e-05
1952,7.850168913137168e-05
1953,7.311729132197797e-05
1954,7.604732672916725e-05
1955,6.954311538720503e-05
1956,7.023011858109385e-05
1957,6.807505997130647e-05
1958,7.11859975126572e-05
1959,7.24593410268426e-05
1960,7.625139551237226e-05
1961,7.430789264617488e-05
1962,7.329735672101378e-05
1963,7.266236934810877e-05
1964,7.474316953448579e-05
1965,7.265408203238621e-05
1966,7.4095580202993e-05
1967,7.288416236406192e-05
1968,7.49774553696625e-05
1969,7.516958430642262e-05
1970,7.295941031770781e-05
1971,7.333140820264816e-05
1972,7.28610175428912e-05
1973,6.954975106054917e-05
1974,6.827156175859272e-05
1975,7.040505443001166e-05
1976,6.95219641784206e-05
1977,6.885154289193451e-05
1978,6.952204421395436e-05
1979,6.983458297327161e-05
1980,7.015794108156115e-05
1981,6.969510286580771e-05
1982,7.118622306734324e-05
1983,6.88035215716809e-05
1984,6.909266085131094e-05
1985,7.596529758302495e-05
1986,7.24058918422088e-05
1987,7.388785888906568e-05
1988,7.328311039600521e-05
1989,7.292598456842825e-05
1990,7.465892849722877e-05
1991,7.624227873748168e-05
1992,7.589386950712651e-05
1993,7.544724940089509e-05
1994,7.481744250981137e-05
1995,7.726949115749449e-05
1996,7.649481267435476e-05
1997,7.78942703618668e-05
1998,7.819228630978614e-05
1999,7.947495032567531e-05
2000,7.904576341388747e-05
2001,7.927176920929924e-05
2002,8.211129170376807e-05
2003,7.854700379539281e-05
2004,8.145510219037533e-05
2005,8.13491569715552e-05
2006,8.051671466091648e-05
2007,8.131418144330382e-05
2008,7.994618499651551e-05
2009,7.703645678702742e-05
2010,7.616103539476171e-05
2011,7.039628690108657e-05
2012,7.213078788481653e-05
2013,7.64689248171635e-05
2014,7.239421393023804e-05
2015,7.537857163697481e-05
2016,8.135975804179907e-05
2017,7.347536302404478e-05
2018,7.141772221075371e-05
2019,7.228674076031893e-05
