,research
1888,1.3564580513047986e-05
1889,1.4323154573503416e-05
1890,1.5802319467184134e-05
1891,1.5693187378928997e-05
1892,1.4721651496074628e-05
1893,1.5841553249629214e-05
1894,1.814166535041295e-05
1895,1.6524949387530796e-05
1896,1.593218075868208e-05
1897,1.583909397595562e-05
1898,1.663290458964184e-05
1899,1.535664159746375e-05
1900,1.8544616978033446e-05
1901,1.8635646483744495e-05
1902,1.969145523617044e-05
1903,1.9493267245707102e-05
1904,1.868591243692208e-05
1905,1.8965447452501394e-05
1906,2.025269168370869e-05
1907,1.9504173906170763e-05
1908,1.983316360565368e-05
1909,2.0116125597269274e-05
1910,2.269212382088881e-05
1911,2.2045549485483207e-05
1912,2.306498572579585e-05
1913,2.718261930567678e-05
1914,2.496557863196358e-05
1915,2.7165375286131166e-05
1916,3.0320981750264764e-05
1917,3.311213731649332e-05
1918,3.642002775450237e-05
1919,4.50676707259845e-05
1920,4.5378987124422565e-05
1921,4.804108539246954e-05
1922,4.644713771995157e-05
1923,4.902669752482325e-05
1924,4.961485319654457e-05
1925,5.6512730225222185e-05
1926,6.238927016966045e-05
1927,7.103360985638574e-05
1928,7.432433631038293e-05
1929,7.475849997717887e-05
1930,8.011340105440468e-05
1931,7.456485036527738e-05
1932,7.317575364140794e-05
1933,7.550883310614154e-05
1934,7.939472561702132e-05
1935,7.780895248288289e-05
1936,8.121559949358925e-05
1937,8.694593270774931e-05
1938,9.35536008910276e-05
1939,8.973523654276505e-05
1940,9.364406287204474e-05
1941,8.53609453770332e-05
1942,9.129647514782846e-05
1943,8.856315253069624e-05
1944,0.0001092998863896355
1945,0.00012297839566599578
1946,0.0001380057801725343
1947,0.0001464005617890507
1948,0.000146102873259224
1949,0.00014780952187720686
1950,0.00014180118159856647
1951,0.0001458557671867311
1952,0.0001427959359716624
1953,0.00015947839710861444
1954,0.00017019882216118276
1955,0.00017521339759696275
1956,0.00018698548956308514
1957,0.00018908522906713188
1958,0.00020388035045471042
1959,0.00021843210561200976
1960,0.00022513812291435897
1961,0.00022290233755484223
1962,0.00023152587527874857
1963,0.00023069065355230123
1964,0.00023707604850642383
1965,0.00025169632863253355
1966,0.00023620802676305175
1967,0.0002404678234597668
1968,0.00023155842791311443
1969,0.00023564702132716775
1970,0.00023983303981367499
1971,0.00024029215273912996
1972,0.00024141574976965785
1973,0.0002486110897734761
1974,0.00025215791538357735
1975,0.0002594820107333362
1976,0.00027624869835563004
1977,0.00027050587232224643
1978,0.0002842737012542784
1979,0.0002668841043487191
1980,0.00026799540501087904
1981,0.00026313800481148064
1982,0.0002720096381381154
1983,0.0002643904881551862
1984,0.00026861438527703285
1985,0.00027772164321504533
1986,0.0002906131849158555
1987,0.0002772787120193243
1988,0.0002731996064539999
1989,0.0002737121540121734
1990,0.00028135449974797666
1991,0.0002692424750421196
1992,0.00026266678469255567
1993,0.0002655952703207731
1994,0.0002683439233805984
1995,0.0002578916901256889
1996,0.00024337224022019655
1997,0.000248591648414731
1998,0.0002460441901348531
1999,0.0002444524725433439
2000,0.00023782288189977407
2001,0.00023672808310948312
2002,0.00024122580362018198
2003,0.0002427924337098375
2004,0.0002453906927257776
2005,0.00024806667352095246
2006,0.00024164911883417517
2007,0.0002374226605752483
2008,0.00022736340179108083
2009,0.0002215698768850416
2010,0.0002230968966614455
2011,0.0002128235064446926
2012,0.00023199981660582125
2013,0.0003155546437483281
2014,0.00022086627723183483
2015,0.00023744397913105786
2016,0.0002460843534208834
2017,0.00021752246539108455
2018,0.000202398921828717
2019,0.00022364940377883613
