,of
1800,0.037687405943870544
1801,0.03876008838415146
1802,0.04023577645421028
1803,0.04038967192173004
1804,0.03909982740879059
1805,0.039680443704128265
1806,0.039406947791576385
1807,0.03993035852909088
1808,0.038073696196079254
1809,0.039145663380622864
1810,0.03851170092821121
1811,0.038663916289806366
1812,0.04008525609970093
1813,0.04007905721664429
1814,0.04071567580103874
1815,0.04104909673333168
1816,0.03967376798391342
1817,0.04128120467066765
1818,0.04085580259561539
1819,0.04147598519921303
1820,0.039729420095682144
1821,0.03903990611433983
1822,0.039663560688495636
1823,0.03970307856798172
1824,0.03923988342285156
1825,0.03936602920293808
1826,0.040074218064546585
1827,0.04043613374233246
1828,0.04058096185326576
1829,0.04119112342596054
1830,0.040528420358896255
1831,0.040579717606306076
1832,0.040443483740091324
1833,0.04057935252785683
1834,0.04066278785467148
1835,0.04043610021471977
1836,0.040829483419656754
1837,0.040363967418670654
1838,0.04049377143383026
1839,0.040141649544239044
1840,0.04020046442747116
1841,0.04019838199019432
1842,0.04018360748887062
1843,0.039984580129384995
1844,0.03976071998476982
1845,0.040226634591817856
1846,0.04012766480445862
1847,0.04012889042496681
1848,0.040221892297267914
1849,0.04025689885020256
1850,0.03992760181427002
1851,0.03999413177371025
1852,0.03965577855706215
1853,0.039225514978170395
1854,0.039827022701501846
1855,0.03971602022647858
1856,0.03976762294769287
1857,0.039079830050468445
1858,0.039683543145656586
1859,0.03935687616467476
1860,0.03884650766849518
1861,0.03935347869992256
1862,0.03871077299118042
1863,0.039193131029605865
1864,0.03839169815182686
1865,0.038480762392282486
1866,0.0383380688726902
1867,0.0385168120265007
1868,0.03847157955169678
1869,0.03810713067650795
1870,0.038412272930145264
1871,0.03857316076755524
1872,0.038182128220796585
1873,0.03866729885339737
1874,0.038415033370256424
1875,0.03856632113456726
1876,0.03856261074542999
1877,0.03871152177453041
1878,0.03843944892287254
1879,0.03830506280064583
1880,0.03808289021253586
1881,0.03819352015852928
1882,0.037822455167770386
1883,0.03767037391662598
1884,0.037813473492860794
1885,0.037894923239946365
1886,0.03791391849517822
1887,0.03761843964457512
1888,0.03746122121810913
1889,0.03757816553115845
1890,0.03787163645029068
1891,0.037782687693834305
1892,0.03753107413649559
1893,0.03758198767900467
1894,0.03773121535778046
1895,0.037813302129507065
1896,0.03754695877432823
1897,0.0378708578646183
1898,0.03759198635816574
1899,0.03681394085288048
1900,0.03705984726548195
1901,0.03762243315577507
1902,0.037528712302446365
1903,0.037711311131715775
1904,0.037593938410282135
1905,0.037812694907188416
1906,0.03769364580512047
1907,0.03792630508542061
1908,0.037550073117017746
1909,0.03772081434726715
1910,0.037822872400283813
1911,0.038077808916568756
1912,0.03759833425283432
1913,0.037744373083114624
1914,0.03770110383629799
1915,0.03785652667284012
1916,0.03761913627386093
1917,0.037807855755090714
1918,0.03769924119114876
1919,0.03781091049313545
1920,0.03764544054865837
1921,0.0378246046602726
1922,0.037705011665821075
1923,0.03747215494513512
1924,0.037366583943367004
1925,0.03746481239795685
1926,0.037938639521598816
1927,0.03761649131774902
1928,0.03743913397192955
1929,0.03767653554677963
1930,0.037673916667699814
1931,0.03771679475903511
1932,0.037847455590963364
1933,0.038120247423648834
1934,0.037778958678245544
1935,0.03770053759217262
1936,0.03723888471722603
1937,0.037672918289899826
1938,0.037577074021101
1939,0.03755146637558937
1940,0.037114109843969345
1941,0.03700150549411774
1942,0.036709003150463104
1943,0.03666641190648079
1944,0.03623499721288681
1945,0.03651971369981766
1946,0.03623480349779129
1947,0.0366535484790802
1948,0.036392003297805786
1949,0.036649323999881744
1950,0.036441344767808914
1951,0.03605141490697861
1952,0.0359131321310997
1953,0.03600476309657097
1954,0.03614194691181183
1955,0.035922203212976456
1956,0.03580176830291748
1957,0.03574322909116745
1958,0.03579411655664444
1959,0.03621256723999977
1960,0.0359777957201004
1961,0.03597200661897659
1962,0.03595235198736191
1963,0.03592372685670853
1964,0.035877492278814316
1965,0.0357992947101593
1966,0.03555476292967796
1967,0.03563220053911209
1968,0.035545092076063156
1969,0.035376738756895065
1970,0.03500998392701149
1971,0.03523122891783714
1972,0.034745652228593826
1973,0.03442827984690666
1974,0.034275367856025696
1975,0.03425442427396774
1976,0.03401121124625206
1977,0.03368208557367325
1978,0.03333626314997673
1979,0.033243682235479355
1980,0.032970935106277466
1981,0.032678112387657166
1982,0.03252914175391197
1983,0.032224755734205246
1984,0.031615957617759705
1985,0.031699154525995255
1986,0.03156694769859314
1987,0.0314909927546978
1988,0.031223276630043983
1989,0.03083687275648117
1990,0.030900392681360245
1991,0.030672378838062286
1992,0.03053589165210724
1993,0.03016907349228859
1994,0.030005477368831635
1995,0.030131641775369644
1996,0.029952533543109894
1997,0.029748892411589622
1998,0.029785865917801857
1999,0.029640812426805496
2000,0.029263252392411232
2001,0.029078371822834015
2002,0.029000069946050644
2003,0.02886630780994892
2004,0.028761839494109154
2005,0.028636937960982323
2006,0.028617627918720245
2007,0.028353096917271614
2008,0.028113283216953278
2009,0.02728605456650257
2010,0.02648564614355564
2011,0.025351552292704582
2012,0.026189148426055908
2013,0.026684070006012917
2014,0.024869846180081367
2015,0.025252198800444603
2016,0.026009589433670044
2017,0.025264084339141846
2018,0.025005823001265526
2019,0.02539115399122238
